page 1	日工展開幕告各界人士書
page 9	建校委會決定義映展開籌募聘理民府及當地首長為顧問
page 9	汲水摩打吃番引起墨七覬覦
page 9	一男子押候待審判
page 9	石鼓洲緊張一幕
page 9	一煙民要求离院不獲與院方沖突拒捕逸去
page 9	廈村祝天后誕金龍定期開光點睛典禮
page 10	容納筲箕灣船隻
page 10	柴灣避風塘擴建
page 10	住客艇戶徙鯉魚門大廈柴灣N座徙置新廈落成
page 10	民眾安全服務處通告
page 10	消防輔助隊通告
page 10	無法投遞電報待領
page 11	但慶文等五人被控
page 11	搗亂新雅夜總會
page 11	損毀傢俬達五千五百元均不認罪准以千元保釋
page 11	申領身份證
page 11	填報失實
page 11	兩偷渡客判罰款
page 11	最新式自動百葉簾電鈕控掣開合自如
page 11	由一五三五○○一號至一五六○○○○號
page 11	記得換身份證
page 11	港府任免令
page 11	許寶林署任副華民司
page 13	身穿旗袍栩栩如生
page 13	香港小姐在英展出
page 13	西潦涌至暫救一時
page 13	澳門面臨水荒將進一步制水
page 13	攝影官退休
page 13	存水量共有卅七億加侖
page 13	飛仔懷刀騷擾漁民
page 13	劉某簽保守行為
page 13	筲箕灣增電話六千具四星期後可安裝使用
page 13	大丸公司今明舉行週末星期特價酬賓
page 13	日本油研油壓机祥和貿易公司總代理
page 13	第一衣著今日誕生開服裝業新派作風
page 13	紐約美孚總公司執行副總裁抵港
page 14	花墟甲組足球聯賽
page 14	警察隊
page 14	五一七
page 14	日本拳擊代表隊
page 14	埠際賽
page 14	傑志
page 14	華足聯
page 14	夏令盃
page 14	世運田徑賽
page 14	蘇聯
page 14	華体聯隊
page 14	巴西馬杜里拉隊
page 14	學界籃球賽
page 14	台熊貓壘球隊
page 14	美海軍隊
page 14	拉曼杯
page 14	亞洲少年足球賽
page 14	緬甸
page 14	馬
page 14	青少杯乒乓賽
page 14	朱有蘭乓團決賽
page 14	朱兆璋
page 14	黎春宜
page 14	潘碧泉
page 14	泳聯
page 14	港日拳賽
page 14	女皇杯學籃賽
page 14	大同
page 14	仿林
page 14	九龍杯賽
page 15	本年度聖佐治日
page 15	童軍今天大會操
page 15	下午四時假九龍木球場舉行港督戴麟趾爵士檢閱並頒獎
page 15	九龍獅子會例會
page 15	史隆講電視前瞻
page 15	對此事業的發展有精闢見解
page 15	奮興會徵求今結算晚八時招待各長員
page 15	當代長笛王郎寶
page 15	明晚大會堂演奏
page 15	由名鋼琴家梅雅麗夫人伴奏
page 15	本港基督教文社
page 15	成立小組委會
page 15	籌組文化協會
page 15	主日復興佈道會
page 15	續在永華戲院舉行
page 15	青山獅子會各首長
page 15	歡宴國際獅子總會亞洲區理事奎利努
page 15	香港西區扶輪社餐會
page 15	鄭郁郎講公共關係
page 15	文藝全才佘雪曼
page 15	新界藍地妙法寺
page 15	內明書院定期舉行演講比賽
page 15	在大會堂八樓
page 15	佘雪曼書畫盛展
page 15	今日續展下午四至五時揮毫
page 15	拘道堂祈雨
page 15	王季遷畫展今最後一天
page 15	信義宗社會服務處工藝部發出小冊子
page 15	英國的成人教育
page 15	良好的工業和科學教育﹐固受重視﹐對滿足家庭生活興趣的教育﹐也不予漠視﹒住校制教育﹐更是英國成人教育的特色
page 15	學校舉行開放日之目的
page 15	教育司署有闡釋
page 15	旨在使各界有機會訪問該校  並了解學校各種情況
page 15	喇沙書院在粉嶺
page 15	興建喇沙中學
page 15	短期內興工明年九月開學
page 15	教師會開收第二期帛金
page 15	社會經濟發展與教育
page 15	大專學生公社
page 15	今晚唱片欣賞
page 15	孔聖堂講座蘇文擢主講
page 15	留加同學會餐舞會執鬧
page 15	萬里書局出版數學公式手冊
page 19	改善青年就業問題
page 19	必須從基本補救
page 19	工友就業座談會
page 19	認真選擇職業幸毋急功近利工作三心兩意結果一事無成
page 19	刻苦耐勞腳踏實地
page 19	洋行雜役奮斗成功
page 19	列舉實例足供參考
page 19	青年工人喜習技術
page 19	學徙制度有待改善
page 19	青年能力非高又怕工作辛勞求職無人荐引四出碰壁糟糕
page 19	技術工人吃香
page 19	青年就業慎加選擇
page 21	學生課外活動漸受官校重視
page 21	利用週末或課餘時間進行  有集郵﹑種花﹑養魚等組別童軍活動更見成功  教育界認為應推廣至每一類學校  使學子輩精神有所寄託  而矯正阿飛風气
page 21	遍訪美國大學三十餘家
page 21	聯合書院校長鄭棟材昨返港
page 21	認為美國高等教育  有許多值得借鏡之處  昨到機場歡迎之鄭氏親友甚眾
page 21	清華學術講座明請
page 21	孫祖瑞教授主講
page 21	戰後香港之紡織業
page 21	私立中校聯人舉辦
page 21	學生作文比賽五月三日舉行
page 21	該會對教育報告書將提出研究
page 21	崇蘭中學歡筵區煒森氏榮休
page 29	青年工人技術優秀出路較廣待遇較佳
page 29	經驗技術同等並重切勿好高騖遠
page 29	青年工人有共同感覺
page 29	就業並不困難難在合乎理想
page 29	拆鐵業職工會
page 29	昨祝會慶新員新職
page 29	工總今日舉行專題演講比賽
page 29	青年工人
page 32	武則天
page 32	邵逸夫
page 32	蘭閨淚影
page 32	新馬
page 32	查寶
page 32	陳寶珠
page 32	七寶金剛劍
page 32	于素秋
page 32	大飯店
page 32	合家歡
page 32	惡夢驚魂
page 32	五鼠鬧東京
page 32	夷光
page 32	白冰
page 32	鄭君綿
page 32	李紅
page 32	李香君
page 32	法蘭奇連
page 32	貓王
page 32	自由萬歲
page 32	無情寶劍有情天
page 32	芝蘭怨
page 32	四幕粵語話劇
page 32	首演獲好評
page 32	明後晚繼續演兩場
page 32	香港中國美術會
page 32	徵集文圖編印專號月底截稿下月出版
page 32	彩色攝影學會月賽評判結果
page 32	鯉魚門華嚴閣
page 32	清明法會免費附薦
page 32	以馬內利會定昨夕
page 32	舉行按立牧師聖禮
