page 1	聯大今日將通過阿刺伯國提案解中東糾紛哈馬紹下週二赴黎巴嫩安排英美軍隊撤出黎約
page 4	香港有許多繁盛的街道是准許單邊泊車的，例如中區雲鹹街，泊車的一邊是商店居多，而不准泊車的地方大部份是沒有商店的，這樣泊法對商店方面多少總有阻的。為什麼不照歐洲國家的辦法，單日泊左邊雙日泊右邊，使大家都覺得公道。
page 4	大都市爭飯吃的人固然多，爭車位泊的人也不少，圖為一架大車正想退後泊位，一輛小車乘虛而入，各不相謢，常有爭執。駕駛者公說公有理，婆說婆有理，交通警伯是難判誰是誰非。
page 4	這個半殘廢的「不准停車」告示牌，作攤瘓狀態靠在地上，在這個地方泊車，不知到底是准還不准。
page 4	這一張是私家車強佔行人路。行人不能在行人路上行，迫得行在車的馬路上，馬路既不夠潣，大巴士一來隨時都會橫成交通失事的慘劇。
page 4	在車房門上雖然寫明不可泊車，但是有人好少理，照泊可也？政府停車雖有兩座，現在開辦一座，但是它的「車泊滿」的滿字是很少見到的，原因是這停車祗是便利一般在附近辦事或渡海者，許多人泊了車之後，仍要另找交通工具才去得到目的地政府為什麼不在各區多設停車。
page 4	這張照片的題目是「我地都劃番一份」，據記者所知，香港有幾位官員，在辦公室的建築物旁邊路上，是劃定了他們的泊車位的，但是有些街道，（政府的街道）也有人「照辦煮碗」，劃了白界，寪上自己私家車的號碼，便當作自己的私家車的佔領地，偶然有別架車泊了那位置，他竟指指地下的汽車號數，聲大夾惡，還說別人佔了「他」的車位，是豈有此理。
page 4	有白界的泊車位之後面的第一個位，在沒有阻交通與及沒有危險的可能性的環境之下，泊「一陳間」，不知交通　能否
page 4	由大道中想轉出德轉道，要由乍畏街經過仔沙街，禧利街才可以由急庇利街轉出交咸東街，經過了一段文鹹街才可以由禧利街另一段轉出德轉道，如果文鹹東街至禧利街一段不准泊車改作雙裎，便當得多了。
page 4	汽車泊在馬路兩旁騎樓下，有些不顧公德的人，從樓上拋下煙頭、垃圾，使不少汽車蒙受其難，泊在路中是好辦法，不過駱克通兩排汽車當中剩出一條小路，不知作什麼用途，香港吋金尺土，這除路人不會行，直不　泊
page 4	全僑襄助公立僑校
page 4	粵共採取櫰柔政策發放沿海漁民貨款修正管制漁民船苛例
page 4	呲叻政府空投傳單勸促馬共份子立即出山投誠
page 4	旅加華僑未婚妻申請赴加護照獲准放寬限制
page 4	選舉女皇籌募經費
page 4	穗發現炸彈案圖炸中共要員事後封鎖交通一畫夜
page 4	哥華選裔女皇籌募僑校教育經費
page 4	當選女皇公主簡介
page 4	粵共指責農民消極
page 4	助教興學意義深長
page 5	廠商會行將召開會員座談會商談挽救工業危機籲請當局從速設工業貨機構英倫組香港工業宣傅公司請支持
page 5	有關條例請譯中文
page 5	請設工業貨機構
page 5	泰興工業原料店焚燒廿分鐘，已成一堆廢物。
page 5	工展攤位收費擬減
page 5	會員廠兩家被迫遷
page 5	出席曾議會董名單
page 5	工業化學原料
page 5	多為危險品物
page 5	火中爭相逃命
page 5	目前課差餉的物業估價大十七年前十倍九龍分量接近香港方面
page 5	爆炸引起烈火侯王道泰興公司轉瞬變成火海左鄰石里樓上均遭波及有損失
page 5	車衣工場遭殃
page 5	冰 出現火人
page 5	八十四位小姐服務人正式入隊
page 5	貨船機件失靈查出兩個蛇客
page 5	想知道更多民困徵求更多會員尤其是女性會員
page 5	霉顯德請民支持
page 5	鍾愛理遜爭女權
page 5	莫華燃要加強呼籲
page 5	巴士度爭辯護權利
page 5	陳樹桓請助漁民
page 6	香港皇家海軍發言人談話有關中共船隻侵入港海說未獲證實
page 6	組織香港漁民安全自衛隊網領日內可分呈有關當局
page 6	高院破產庭批准恆生公司申請頒勤業布廠清盤令勤業布廠現存資產約廿六萬元負債總額共約二百二十五萬元
page 6	新法書院否認參加慰問培僑員生事
page 6	感情破裂拒絕拍拖李仲文一怒刺傷陳寶英判由懲教官監視行為二年
page 6	小孩子闖禍爸爸要流血
page 6	廣華醫院留產孕婦吳金一胎產三嬰後一病去世嬰父梁蘇希望各界首長仁翁將三嬰收容撫養圖為現在廣華醫院護養中之三嬰
page 6	廣華醫院苦命產婦吳金一胎產三嬰後身故梁蘇既悲喪妻更苦三嬰無人照料懇求善心人士領養俾三小生命能有所托
page 6	電車傷女童黃霞女出院
page 6	戴麗娥何其忍心！關閉廚門掌摑女僕破碗一割臉破血流
page 6	來港避難婦人向丈夫之老友索還萬元存案方志清夫人勝訴
page 6	被害人之父黎業作供
page 6	飲半瓶臭水意圖輕生鄺嫦屍諫丈夫不要返回大陸
page 6	十七歲年涉嫌姦三歲幼童案中證人九名作供完畢表面證據成立詳臬定讞
page 6	牛頭角海灘拘捕被告
page 6	童向母哭訴臀部痛楚
page 6	張天聞法醫檢驗經過
page 6	存無任何收據，保管人亦非近親，事情似乎極不尋常；但，諸葛勞士法官說：「在本案的特別情形下，本席不只認為原告可能如此做，而且認為事實上曾經 」
page 6	柴灣一住戶四母子中毒
page 6	涉嫌闖事麗宮樓佔士董定期審訊沒收保令已獲撤銷
page 7	飛機降落地區界九一起禁泊船一切船隻須經黑白掛燈浮標之南行駛欲經以北抵達官塘油倉須先獲得許可
page 7	一九二三皇仁班友大同酒家聚餐
page 7	一九二三皇仁書院預科班同學聯誼
page 7	台北救濟逃港學生
page 7	舉辦水上超幽大會顧問分訪各有關團體
page 7	虛雲和尚法相
page 7	美援助中國知識人士協會包機運流亡人士赴美共八十一名準九月十三日起程
page 7	虛雲老和尚之法相
page 7	大小滘金竹排一帶地底蘊藏鐵業人士計劃開採
page 7	政府擬在長沙灣填海
page 7	庸社行友明日遊河九月中旬遊覽路
page 7	金邊經濟特使團由西貢乘法航機抵港
page 7	希望獄中戒毒，道人如願以償
page 7	潛回犯奱水上老鼠被發現後圖借水遁卒被警探捕獲
page 7	中總今日開票產生百名會董
page 8	足總埠際小組昨開會夏仙當選主委調查巴隊實力
page 8	華協會昨開重要會議通過修章改制案理事改為執委理事長改稱主席
page 8	公開乓乓高國賽中華今戰公民另有男雙打兩
page 8	曲棍球總會舉辦男女組賽下月十日截止報名
page 8	銀牌水球淘汰賽中今對防甲防乙出戰西
page 8	中
page 8	防甲
page 8	中華會足球部石振達昨當選選聘周年顏成坤為會長
page 8	台純德女籃勁旅昨午大軍犯港籃球聯會經編定賽程淡江未飛越再賽三場
page 8	十六歲的澳洲游泳怪傑約翰干動斯（中），八月十六晚在東京明治神泳池，四百公尺自由式賽，打倒日本之驕子山中毅，其逋率為四分二六秒一，速率難比世界紀錄四分二六·秒七為優，但仍不及他本人一月時之四分二一·秒八。日本之山毅右之速率為四分二七佔二一秒居第二名。
page 8	西
page 8	防乙
page 8	奧馬作新翁下月三日為子完娶
page 8	九龍盃小球今有兩場
page 8	澳洲游泳隊廿六抵港在港連續表演兩晚節目豐富好手畢集參加表演人員大會昨予公布
page 8	第一日秩序
page 8	泳總昨召開會議編定待澳隊秩序議渡海泳賽日期澳洲隊赴大陸之行可能取消
page 8	前夕台淡江籃球隊戰順聯隊圓為兩隊健兒於賽前合照留念
page 8	第二日秩序
page 8	余日記盾今賽昨果
page 8	下亞運會耶加達預料中共不參加
page 8	足總聯賽小組今討論昇組香港會空軍嘉山三隊均欲踢甲組將予定梁兆綿任主委呼聲高
page 8	海龍潛水會定期潛水獲魚
page 8	華泳埠際小組今日召開會議
page 8	楓盃籃球賽今開抽籤會議
page 8	南華籃球隊明征澳門
page 8	南華二次水藝會今晚舉行賽全部共十二個項目
page 8	為國際童軍大會籌自由中國籃球隊將赴岷戰菲選手我籃協已接納邀請十月前往
page 8	選主委王仙翁奇兵突出薦炮手莫哥仔讓德可風
page 8	歐洲田徑錦標賽蘇選手奪十項冠軍成績僅七八六五分既不及楊傳廣更瞠乎強生之後西德阿文哈里百公尺締十秒三
page 8	德國聯隊因奏國歌發生問題
page 8	夏令籃複賽今抽簽分組
page 8	黃飛鴻門人明晚祝宗師 
page 8	港九排球聯會廿六開執委會
page 9	舊九龍巡理府夷平上海街成直人車減少危儉
page 9	【特訊】位於九龍油地上海街之舊九龍巡瑪府，由於時代慶遷，此幢有數十年歷史之古舊建築物，因狠有「阻街」之不便，由工務局交由榮利建築公司將之拆卸，俾上海街行車路可拉直行走，不須拐彎，以免危險。此座古老建築物，從本年六月二十五日開始拆卸，榮利公司每天動用男女工友數十人，除二十餘天下雨不能工作外，其餘之日子，由工友努力從事，現目此幢古老舊樓業已夷為平地，該處為之改觀，路人經此，衹見「瓦渣」一大堆，而上海街今後亦可望通，公司一接到工務局通告，隨開始擴展路面工程。至於擴展工程，大約順時月餘至兩月可竣工，此段路面活約六十尺，包含兩旁十尺之行人路，將來落成，行車經此不須拐彎云。見圖。
page 9	德總領尾酒會中德星讚中國旗袍
page 9	害虫為患嚴重當局全力撲滅
page 9	香港布廠商會註冊為責任社團九龍華商會全體理監事歡宴黃篤修赴歐洲考察
page 9	龍華商宴黃篤修
page 9	黃族宗親會關懷四遺孤派員善撫尉
page 9	德國領事招待德國電影界酒會，圖中左起，電影女星馬拉蓮駐港總領事鮑鼎根嘉仕伯夫人與捷成洋行總經理韓仕文。
page 9	酒樓商會選出委員
page 9	零 米商奉准註冊
page 9	小兒麻痺症有三人喪生
page 9	荃灣僭建屋多鄉會今日討論
page 9	每分鐘洗二百五十 一副巨型洗樽 器，這是一部特製的機器，包括高度鍋輪，用以清除機裏的污物。該副巨型的洗樽機，每分鐘可洗二百五十個撙，五個特別的浸水池與及一個分離的鍋爐。放人洗刷的樽，經過該機器，可把樽的內部和外部洗刷乾淨，最後，並用冷的清水淨。該機器五十呎長，十三呎六吋，高度為十六吋，在載滿樽的時候，該機器（連樽）的重擾是八十八噸，每天工人的工作時數二萬二千小時。見圖
page 9	柯蔡宗親會新會所週日開幕籌辦濟陽中學推出委員
page 9	宗親同鄉
page 9	濟陽中學籌辦委員
page 9	楊氏宗人認捐獎學
page 9	新興鄉會月底會慶
page 9	美國伊州人士組織攷察團來香港遊覽
page 9	大埔七約今日會議研究組鄉事會問題
page 10	港督柏立基爵士關懷工人生活參觀三家工廠昨晨港督往新界參觀中國染廠、南華鐵工廠、及誠信工廠，對工人生活、工人福利、及工廠設備、工作過程、產銷情形垂詢甚詳。
page 10	工友互助的力量一個工友因家運不齊，由妻病而至妻喪，儥台高築，羅掘俱窮，如果不是獲得工友們捐援助，也許他對妻子的喪費大成問題。自經過一役，他才體驗到工友間互助力量的偉大！
page 10	九龍巴士工友推行康樂活動廿四銀樂隊演奏，廿六參加「工人樂圓」游藝錄音節目。
page 10	機器加上防攔工人也有責任應注意安全不要怕麻煩
page 10	港督昨晨參觀三家工廠港督柏立基爵士，昨晨往新界參觀三家工廠。圖自上而下：（一）港督參觀 工廠時，對工人製做樟木槓情形深成興趣。（二）港督在參觀南華鐵工廠時，對工人生活、工作過程、及染廠產銷情形般般垂詢。（三）港督在參觀中國染廠時，誠廠員責人向港督解釋廠內設備及產 概。
page 10	馮海朝訪美歸來暢談美國工運印象據指出：美國工會組織健全、制度良好、工資優厚、工時含理，尤其對工人福利事業認辦理，值得香港效法之虎甚多。
page 10	照顧老年工友發工人養老金
page 10	家庭人口計劃工友應有預算已婚的工友，每因家庭人口太多而負但不易；為使家庭生活符合預算，節是一個補救的辦法。
page 10	製麵工友把麵粉放在打麵機上，這是製麵的第一步工作。
page 10	發展家庭工藝有裨工人生活改善工人生活之道，不一而足，如能勵工友家屬從事家庭工業，重手製的藝術品或裝飾品，對家計當有所補助
page 10	工作過度疲勞影響生產效率
page 10	保持工人健康勞資充分合作
page 10	住在徒置區的工友們希望電話公司安裝公電話由於現目各徒置區內，尚未有公電話之設，工友在遠蘺居址的工工作，如遇有重要的事情，無法與家人聯絡 。這，盼望有關當局，不以注意。
page 11	職業婦女托兒煩惱希設價兒望廉托所各大徒置區有急切需要可在大廈天台開設收容
page 11	鴨再下降鮮魚價亦跌
page 11	食用物價
page 11	世界修髮冠軍來港在港表演藝術梳髮
page 11	西區婦女會派發糧食包情形
page 11	五八年新嘉坡小姐洛杉磯受熱烈招待
page 11	新嘉坡小姐玉照
page 11	今年才廿六歲，是瑞士蘇黎世大學最年的博士，數學有湛深造詣，天才橫溢，共有兄弟八人，均飽受高等教育，他是恆生銀號副董事長梁植偉之令姪·可謂一門俊傑了！
page 11	我國最年數學尃家梁鑑添博士
page 11	慶賀乞巧節長洲前昨兩晚極熱鬧
page 11	天氣酷熱影傳染病略增約多四倍餘以腸熱病一項最多
page 11	東區婦女福利會太極拳班招學員定於九月一日開課
page 11	西區婦女母親會請家庭指導會王羽佳夫人講「節育問題」
page 11	響應小童建廈舉行各國兒童服裝展覽
page 11	西區婦女母親會由家庭指導會演講節育問題今晚替三位副主席洗塵
page 11	在酷暑中怎樣預防生病
page 11	花帶式秋裝宜於出席晚會
page 11	花帶式秋裝背面圖
page 12	尖沙咀街坊會今日宴何蔭璇柴灣三屆新員明日就職
page 12	培正道東段坭污堆積街坊會呼籲從速清理
page 12	蘭克公司在港籌備柏「香港輪渡」新片製片經理由英來港部署
page 12	蘭克公司製片經理約輪德克等抵港，與歡迎者合影。左起：講利、史滔爾、諾斯小姐、英活德、史東去人、約翰德克。
page 12	三團體贈醫藥今休假九天因舉行孟蘭勝會
page 12	荃灣救傷隊昨行開班禮
page 12	香港仔兒童福利院收容漁民孤兒發動徵求孤兒義父母
page 12	石澳漁民釣得魔鬼魚重六十餘斤
page 12	冷氣機發出聲浪過高鄰人不能安睡豪華餐廳持牌人趙強被控法官裁定有罪但輕判儆誡
page 12	鄰居訴苦夜不能入睡致體重減輕
page 12	聲浪太高深宵始停止談話要大聲
page 12	龍總商會廿五會議
page 12	美國在港設玩具廠
page 12	當家子涉嫌變為K友被控七項罪名憑惡勢力勒索
page 12	法官反對黃水作供
page 12	燒香燭唸出毒誓
page 13	高等教育發展曙光！香港大學草擬五年發展計劃完成後收容總額將為一千八百名較目前增八百名計劃內包括創辦「經濟社會學院」內設六個學系
page 13	學生健康狀表現殊不良好本年第二季內接受體格檢驗之學生共一九六七九名有缺點及須醫治者一四一一九名
page 13	中小學畢業生相差數字甚鉅三年來小學生增加五七一一八人中學生增加僅三三五九人
page 13	立基學校贊幼稚園第二畢業生與師長合攝
page 13	大埔文明學校被飭停辦事理民府及教署詳細解釋原因完全為兒童之安全想將撥欸興建新校舍
page 13	龍城街坊會新校新生報名明日截止
page 13	衣公校監鄧漢封氏來函
page 13	最後一課
page 13	畢比漫筆
page 13	香港工尃學院畢業試已放榜建築系機械工程系薄記系速記系畢業生及得獎名單全部公佈報務員執照考試成績同時公佈
page 13	建築系：
page 13	須於明年補考者：
page 13	補考合格者：
page 13	補考不合格者：
page 13	獲香港建造商會獎金者：
page 13	獲「亞士葛」將金者：
page 13	機械工程系：
page 13	須於明年補考者：
page 13	補考合格者：
page 13	補考不合格者：
page 13	商科：簿記系：
page 13	速記系：
page 13	德信學校幼稚園全體畢業生與師長合攝
page 13	導草中學初中第十七畢業生與師長合攝
page 13	秘魯僑商伍尚棟公子伍榮潤君赴美深造知交親友置酒餞行李蓮賦詩相贈藉壯行色
page 13	約大同學會週末野餐會假亦柱聖士提反男校舉行
page 13	永康中學第九屆幼稚園畢業生與師長合攝
page 13	羅顯勝法官之女公子羅凱倫昨赴英學法律【特訊】本港巡理府法官羅顯勝之女公子羅凱倫小姐，於昨日下午五時，乘英海外航機由港經星加坡飛往英國。羅小姐在港農習法律多年，此次赴英，將人英國 臣威爾頓法律學院深造半年，並考察英國法界業務，約一年後由英返港其父羅顯勝法官及羅夫人暨親友等昨均在機送行。圖為羅凱倫小姐及羅顯勝夫婦合攝
page 13	導草附小第廿二畢業生與師長合攝
page 13	漢東學校第十一高小畢業生與師長合攝
page 14	世大服務會年會港聯會秘書出席黃世哲被委派赴加參加大會會後並將在歐美考察各地之大學服務情形港聯合委員會傅尚霖博士蟬聯主席
page 14	學校消息
page 14	保寧園
page 14	德明中學
page 14	野聲書院
page 14	民生書院
page 14	定名宗旨
page 14	獎金來源及學額種類
page 14	崇基學院
page 14	王宇博士明天在孟氏教育會演講題為「近年來物理學之發展」
page 14	香港華僑日報發動：讀者獎學金詳章經公佈為限於家境無力升學之莘莘學子請命！請社會人士、學校、團體鼎力支持！
page 14	申請手續
page 14	港僑夜校小學第七畢業與師長合影
page 14	調查
page 14	停止補助
page 14	考勤
page 14	申請日期
page 14	附條
page 15	新界北約童軍今起舉行大露營喑學校弱能童軍活動近
page 15	弱能童軍主要目的
page 15	由弱能的兒童組成
page 15	天主教香港教區露德朝聖團第一組出發二組下月由白主教領導
page 15	白利登神父昨蘺港返墨
page 15	威利士在九輪社講工程師職業須有優異學職費富經驗
page 15	介紹喑校的童軍
page 15	（蕭雲氏最近雕刻之「人類之智慧」大壁畫）
page 15	贈陳本照視學
page 15	奇涯廬
page 15	題珠 集
page 15	題素名居士鶴鶉
page 15	六月初一日偕諸生游鯉門天后宮
page 15	自嶺南新村沿山路入茶果嶺
page 15	靜盒近詩
page 15	中國聖樂學院敦請蕭雲厂講演藝術近作「人類之智慧」大壁畫
page 15	寬讓法師出殯佛徒千人執紼預知時至圓寂前寫生本無生囑咐佛教人士急辦佛教醫院
page 15	致送祭品及執紼者
page 15	孟蘭法會
page 15	正道堂
page 15	紫竹林
page 15	籌組國際孔學總會本港孔團均表贊同但待徵集各地意見
page 15	佛教四到凡千人
page 15	外國人學習中國畫加拿大人葛敦珠MRS·L·W· GORDON
page 15	（葛敦殊女士作畫時姿熊）
page 15	文學世界刊行中國戲劇尃號
page 15	定西長老發籠法語
page 15	沙龍意義
page 15	沙龍組織
page 15	沙龍成績
page 15	沙龍定例
page 16	意客郵亞洲廿四晨泊埠廿七日開星洲轉返熱那亞
page 16	勿地打馬士基今午到港廿三午轉印尼各埠
page 16	漢陽提前今到廿四轉進 南廿三由印尼返廿六開上海轉日本
page 16	日昌丸廿六午到翌轉菲島
page 16	寶隆洋行總代理寶星輪船公司闢星西南非祁利維亞巨輪下月首航該行為慶祝新闢航線起見昨特設酒會招待有關貨商
page 16	寶康改廿三到廿四轉暹
page 16	獨星航輪昨經抵港今日開環球各埠
page 16	邊羅文廿三收貨廿五開星英京歐洲
page 17	韓突在港搜求半製原毛首批訂單達十餘萬磅毛屑人造絲鐵釘等新賈盆續寄到
page 17	鎊值上升供應轉豐美鈔市悠悠下降去息三角收市價五八０·六二五K金亦順最低成二五三·一二五
page 17	本港藥材生意每愈下大陸淮水牛七降低
page 17	新暹眉豆登場
page 17	台灣幫落行松香響盤石羔豆類交投甚
page 17	市價上升港糖市仍定
page 17	一批不廠新式機器拍賣成價廿六萬五如新置值八十萬元
page 17	本港產製品輸出國別統計
page 17	印尼工商民族化擴大僑商處境將更感困難外僑登記延至本月底截止
page 17	港產棉紗局部調低係因本銷積弱不振十支粗紗勉強稱旺
page 17	台報降印尼低
page 17	大陸米酒上市傾銷日甚本港蒸房大受威脅
page 17	本港股市勢略轉穩價格硬郎
page 17	英五金訂盆多報堅企
page 17	星客吸納瓜子翻醒
page 17	黃闆紙旺月屆迫交投暢盛去年市曾告暴漲
page 17	世界人造膠產量飛晉加國首次削價
page 17	華僑經濟行情
page 20	就讀人數年比年提高書籍生意呈一枝獨秀學生購賈高潮九月中旬才會和緩趨勢使然英文書籍入不斷增多舊書攤亦為不少賈家挑選的對象
page 20	大陸松闆突再大跌價港市木闆價頗受影響木箱用闆應用松闆者日多原枝大林木來存疏做價仍難振作林木材在港一般用途均退減
page 20	日本五金跌風又發生
page 20	各地金融物價
page 20	台北證券市
page 20	暹生油多到市價驟告急落煉豆油仍乏力
page 20	日本匯銀行調整利率美元利率輕微上升英鎊利率則告減低
page 20	加幣續跌菲幣報順
page 20	爭秋奪暑的百貨市場這是黃不街的時期，但是百貨公司陳列像與天氣競爭那樣，洋洋大觀，尤以趨向「月下貨」的削價求沽，最惹人注意。
page 20	英產鐵片外銷仍不振上半年僅十七萬噸
page 20	台北行情
page 20	曼谷米價報起米商辦運近多完全無利昨交投大陸米為主
page 20	紐約股票市工業類最佳部份賈家尚抱觀望共成出二四六萬股
page 20	土產品輸美數字零星金山庄普淡
page 23	佐治尼德身入香國
page 23	人的鏡頭。
page 23	「慾海尤物」
page 23	電影連圖故事花都春夢法國薩岡又一名著改編樂聲百老匯兩院獲影權
page 23	（三）幾天後，杜曼妮又以畢特蘭的介紹，會見洛克太太法蘭該，法蘭該沒有兒女，十分歡喜杜曼妮。
page 23	「日本逃亡記」　影帝參加演出
page 23	粵片消息
page 23	格連福特硬派片「絕嶺追」夠刺激
page 23	七彩巨片梁祝恨史連圖故事何必玉珮傷心見願教魂魄伴粧前（十一）十八相送時，英台曾贈蝴蝶珮與山伯，以留紀念，實則暗為訂婚禮物，山伯乃將蝴蝶珮交還英台，以免觸景傷情，英台堅請山伯仍佩在身中。山伯以大好良緣，已成泡影，深受刺激，回家成病，藥石無靈，但意仍未息，終於拘恨而死，噩耗傳至英台耳中，亦一慟幾絕，意殉情。
page 23	差利與小孩子是窮人的心聲
page 23	領班今在港演出（廿二）日起領導鳳華年劇團，在本港高陞戲園演出，今晚先演六國大封相，纜演中盧迅新編名劇「丹鳳京華」。查黃嘉鳳嘉華姊妹，早年蜚聲港九，前年應星洲班政家之邀聘，赴星馬各地演出，足歷遍馬來亞聯邦，一去兩年餘，極受當地觀歡迎，於最近返港後與留港紅伶少新權、紅艷紅、白戲由五毫至三元半，夜戲由七毫至四元七云。（圖為黃嘉鳳（右），與黃嘉華（左）戲裝）
page 23	銀城飛絮
page 23	陳思思與貓
