page 1	"社評從立法院的大赦案說起"
page 4	"本港三大社會問題失業房屋和失學杜會福利部祕書對記者談"
page 4	"環亞公司飛艇昨晨已被發現迫降地點在馬尼刺西北面機件已修好即飛回馬尼刺"
page 4	"九龍城居聯會昨選舉理監事"
page 4	"偷餅兩個青年入獄"
page 4	"工商展覽會青年會正積極籌備各廠商均踴躍參加"
page 4	"林達帶煙土在車站失風"
page 4	"飲食業茶樓組新職員昨選出"
page 4	"這叫做虐待畜牲一車裝豬五十九隻司機孫成被罰五百"
page 4	"廠商聯會昨會議若非會員工廠自製產品該會不發給國貨證明書"
page 4	"傢私業商會明天舉行開幕禮"
page 4	"英殖民部大臣"
page 4	"赤柱難童營望各界捐款"
page 4	"華商會新人昨就職新任理事長高卓雄接任後致詞主促進埠際貿易加強工商聯絡"
page 4	"獻像待涼秋陳仲池昨天表示"
page 4	"身懷刀槍兩人就捕"
page 4	"洛克道上破獲私寨"
page 4	"報名選美今天截止"
page 4	"囚犯逃監逃不脫結果多坐半年牢"
page 5	"湛江一度被攻入後治安當局亡羊補牢黃鎮球令部屬隨時戒備保警十六團短期內成立"
page 5	"七月洪汎期屆西江水位上漲水利局認為可平安度過"
page 5	"朱克勤案原告被傳但不到案官司可能不了了之"
page 5	"穗社會局開出名單請各機關查照執行"
page 5	"台北通信焚車案餘波未已台灣零拾之十"
page 5	"生十四日寄馬來入口法最近有變動未滿十六歲者始可免證入口"
page 5	"黃花崗附近辦兒童新村"
page 5	"美化荔枝灣穗市府別有閑情工務局草擬計劃"
page 5	"旱水蟲災先後至興寧元氣已大傷"
page 5	"清理田賦整理沙田由各縣府統籌辦理"
page 5	"瓊島發現鼠疫流行臨高縣裏"
page 5	"從黃埔到廣州內港瀝滘水航道將浚深挖出的泥用來填平小河"
page 5	"駐大沙頭站關員昨天還沒有復工"
page 5	"一五三旅從韶關移駐廣州"
page 5	"房屋獎券銷路不佳穗市出動卡車宣傳"
page 5	"歙縣有人憂時笑死"
page 5	"葉林九日寄穗市西堤火警"
page 5	"揭陽興寧交通斷絕公路橋梁六外被毀"
page 5	"韶關近郊劫車案二十蒙面人持械攔劫一人被擊斃懸首示眾"
page 5	"資興發怪水晒柴壠受災"
page 5	"不滿處理局政策打爛了豪華客廳北平一軍官大鬧敵產處理局"
page 5	"坐牢三年韶經濟漢奸疑案林鏡明無罪獲釋"
page 7	"滬七月初旬出口結匯四四七萬美元冰蛋桐油最多台砂棉布棉紗等次之"
page 7	"黃金美匯背道而馳大戶忽收忽放散戶跟蹤定金困難美匯需求減少"
page 7	"星洲漁業的危機"
page 7	"人心看好市場堅穩"
page 7	"非法經營金鈔穗昨破獲兩案經移送地方法院究辦"
page 7	"海南鐵砂將售英商"
page 7	"市勢漸趨活躍金商轉移陣地散戶無從捉摸人心忽冷忽熱"
page 7	"駐日商務專員與輸管會訂定處理商人對日貿易辦法申請輸日物資應附有關文件"
page 7	"岑載華表示銷歐貨樣不符是代理商所為不顧商德廠商受害"
page 7	"股票仍淡價多堅穩成交七七萬餘元"
page 7	"國幣內匯盤穩申匯盤省匯升現鈔跌"
page 7	"金融市場早穩午揚米與紗布稍為回升結匯證價二八五萬結匯牌價昨又調整"
page 7	"滬物價漸趨平穩穗米紗布稍上揚澳玄素紡市秀俏汕廈金鈔再回漲"
page 7	"行局匯率昨起修正"
page 7	"京滬銀根仍奇緊各種物價已回降上半月生活指數工人一三八萬倍職員一○七萬倍"
page 7	"香港鴨蛋上海皮蛋暢銷星市"
page 7	"九龍關公布關稅減讓貨品經已分別實施"
page 8	"世運各國選手陸續開赴英倫糧食問題先謀解決畢梨爵士呼籲親善"
page 8	"美國選手士飽馬騰奧林匹克村儲糧極豐富"
page 8	"復旦大學"
page 8	"中西泳賽展望接力泳香中頗有把握女百碼泳難獲好成績"
page 8	"籃聯體協今天會議籃聯下午六時集合"
page 8	"南華女子部續設訓練班南華體育會本屆女"
page 8	"世運足球隊在印遭敗績"
page 8	"體育建國李惠堂在星演講"
page 8	"遠征日記二"
page 8	"中健杯乒乓賽今晚揭開戰幕"
page 8	"綱球戰續"
page 8	"法派學生二人來華研究學術"
page 8	"慈善水陸遊藝會明天在鐘聲舉行"
page 8	"港九各校動態"
page 8	"華僑大學分區招生香港華僑工商學院"
page 8	"新美人魚不參加"
page 8	"南華女子部續設訓練班"
