page 1	"社評國貨工業的出路"
page 4	"四邑災民急待振救台開新等縣在港人士募捐新會商會已匯去二萬餘元"
page 4	"歹徒淋鏹水婦人受殃冒名收報費騙子入獄"
page 4	"淩卓華否認在警署口供"
page 4	"探目作供搜捕經過"
page 5	"香港戰後第一次日貨鋼條盤口出現索價每擔四一元半五金商訂購法貨多聞訊大為震動鋼條市道不振今後前途更趨險惡"
page 5	"海南島鐵砂日本製鋼條"
page 5	"港韓貿易活躍輸出洋紙西藥工業原料輸入魷魚海產人參藥材"
page 5	"澳洲生產和貿易鳥瞰下"
page 5	"股市晨靜午挺青洲英坭活躍成交一三○萬餘元"
page 5	"穗行莊休假金鈔價平穩"
page 5	"金融市場依然沉寂申匯買賣稀黃金實銷少"
page 5	"九龍關通告山羊毛荊樹皮按減讓表納稅上月十四日起施行"
page 5	"滬市一般銀錢行莊結算盈餘數字驚人明盈暗虧實力削弱"
page 5	"廣州物價趨穩汕金鈔百貨漲廈梧米布回降"
page 5	"輸入及國產報紙統由中信局購配"
page 5	"廈門四月份進出口貨值統計入超額四六四億餘元"
page 5	"貿易方式物物交換"
page 5	"港府公布魚鮮價格"
page 5	"梧州物價一致下降"
page 5	"輸管會工作團業返滬將致力華南土產出口"
page 6	"今晚嘉山籃球演好戲星島新軍迎戰世運隊八時開始接觸門票分兩種"
page 6	"迎人散記"
page 6	"本報歡宴世運選手"
page 6	"港全運足球隊月內將南征先派員赴菲接洽"
page 6	"世運隊酬酢程序七月三日下午十時"
page 6	"老惠歸鴻第十二函"
page 6	"利便僑生升學教部擬定辦法"
page 6	"穗市各大學介紹二"
page 6	"學生服務"
page 6	"傑志征澳今日啟行"
page 7	"歸國僑胞紛紛出洋由港赴美船票預訂一空粵省僑務處長由譚維藩接充"
page 7	"物價波動生意難做廣州商人叫苦連天各大小行莊都虧損很大食米走私港澳近又增加"
page 7	"要漲大家都漲公路運費加了百分之百招商局運費加百分八十貨西棧倉租索性一加四倍"
page 7	"韶關通信曲江參會的馬後炮"
page 7	"神交在祭壇上被擄去惠陽上楊圍發生的事情"
page 7	"交部重視黃埔築港工程七千餘億經費可望核准"
page 7	"加強粵漢路運輸力百輛貨車已到漢口蒲圻大橋正在換鋼梁"
page 7	"粵漢路改進路政一日起縮短行車時間"
page 7	"汕頭女侍五人互保"
page 7	"東莞太平鎮作闢埠準備"
page 7	"遮浪灣發現盜船遮浪市商民罷市"
page 7	"潮汕出現武裝搶穀隊深夜裏出動偷割稻穀"
page 7	"光一日寄高要邊境共軍設班訓練青年"
page 7	"開平二十墟成賭徒樂園"
page 7	"白楊史東山新閨怨"
page 7	"談慾燄情花"
page 7	"影壇短訊"
page 7	"因為一條小狗一個店員被抓"
page 7	"走私鎢砂惠陽附近緝獲卅擔"
page 7	"開平二七墟成賭徒樂園"
page 7	"釋放犯人"
