page 1	社評國內工商業現狀
page 3	美國務院否認派代表赴蘇京
page 3	東京寡婦多境遇甚悲慘
page 3	相活活不了相嫁嫁不出
page 3	裕仁生日宮殿開放岳母到訪房內加牆
page 3	加強對蘇冷戰戰略馬歇爾又在用腦筋傳即與西歐領袖會商策畫
page 3	暹人受報紙之騙麕集蘇使館候振
page 4	內河輸業商會解體削價競爭又見復活
page 4	旅港澳紐人士紀念總督昨晨領導獻花
page 4	相當丟人的啟德飛機場
page 4	安撒克日安菜克日的故事
page 4	屈臣氏覓定新址將築流線型工廠
page 4	世界學聯會主席布力文女士抵港時間所限已不預備去內地對各地學潮她非常表同情
page 4	槍殺四學童正在調查中
page 4	聖約翰一支隊榮獲總會獎章
page 4	九龍兩商團合併說華商會理事長否認
page 4	赤柱海面發現男屍頸部腳部有繩勒痕被子上有久留田三字
page 4	香港的扒手一
page 4	工務局招標承建碼頭衛欄
page 4	中環數餐室內將裝公用電話
page 4	欖鎮同鄉會昨舉行會員大會
page 4	中英聯誼會舉行交響樂演奏下星期五在聖士提反
page 4	工人跌入溝中受重傷而暈厥
page 4	兩男服拉素都被送醫院
page 4	山邊木屋林立當局注意衛生
page 4	航空站苦力千多人被拘追查旅客失物
page 4	法機改期返港
page 4	祈禱時信女失手袋巴士少的士釣泥鯭公婆事警察可以管
page 5	香港年來工業全貌一九四七年全年共八八三家一九四八年三月一一四三家
page 5	去年增加三六五家工作類別
page 5	今年三月增加二六○家
page 5	經濟要談
page 5	台灣電力公司借款充實設備投資福州電氣公司
page 5	開放自備外匯政院批令緩辦
page 5	紗布南運今起解禁
page 5	台產酒精運銷香港台糖運銷香港南洋
page 5	台鹽萬噸運日易貨
page 5	高雄水泥產量激增日內運菲六千餘噸
page 5	台灣扶植民營工業公布貨款辦法貨款原則採重點主義
page 5	廣州商情一週又一次大漲小回
page 5	禁紗南運以後
page 5	輸管制度需改善
page 5	日本三月份紗布產量激增紗五萬七千餘捆布三千萬平方碼
page 5	印度定購日本繭絲
page 5	日本紡錘交換印煤運港萬五千錠運滬二萬餘錠
page 5	上海豆餅星洲暢銷
page 5	廣州商情金鈔平穩物價微降
page 6	世運選手最後勝利七比三贏了全運隊天氣不好球迷不踴躍門票收入約萬元左右
page 6	雨中賽球難評長短七球之失門將無過
page 6	張邦綸勇救十二碼球
page 6	參加全運單位分別啟程往滬記者登記決展期三天
page 6	暹華首次參加全運特派代表昨天抵港明天飛滬辦理註冊手續全體運動員月底可動程
page 6	女子游泳獲分有望
page 6	乒乓選手今出發先赴台灣比賽後轉滬女子組奪標希望濃厚
page 6	全運會與世運會五
page 6	東方足球隊今午征澳
page 6	德華杯小球賽記者戰球證下午五時在修頓球場賽後郭德華夫人發獎
page 6	粵穗淘汰選手要求參加全運一百零二人簽呈當局五代表今晨謁宋主席
page 6	足球聯賽乙組亞軍星島海軍今天決戰
page 6	單打網球準決賽葉觀雄對蔡天福
page 6	足球勝利盾五一再決賽
page 6	全運足球選手今晚正式產生
page 7	粵公路處撥二百億元修復東南兩公路幹線
page 7	良民竟得奇禍弟兄一死一瘋開平一傭工以匪嫌被殺其兄氣瘋了眾人抱不平
page 7	証既未發何來檢查潮汕鄉民不堪騷擾粵五區各縣檢查身份證許多人莫名其妙地被扣
page 7	江門武劇看霸五戲出事水兵保醫大打
page 7	山西組織瀨漢隊感化懶漢使勤力田感化不了的服兵役
page 7	參議會為首領導故都湧反加價潮市民堅決反對國營事業加價要政府減價否則照舊價付費
page 7	新會鉅竊案萬餘美鈔不翼而飛縣府職員涉嫌被捕
page 7	貪官劣政碑四川灌縣縣長調職縣民募捐為豎豐碑
page 7	學生請願巡行家長啼笑皆非鶴山縣中學要求增收學米
page 7	察東南流亡　人民奉令空室清野難民隊伍累萬盈千
page 7	曲江公務員活不下去了發出清算之聲呈現怠工之象
page 7	西安富人多百億富翁有五十餘
