page 1	社評徹底整理現行法規立法院應先做的一件事
page 6	世運隊在萬隆兩次獲勝
page 6	世運籃球代表隊十九日赴滬比賽世運籃球規則有修改
page 6	國立中山大學罷課潮平息畢業考試定期舉行
page 7	偷雞警神演大悲劇一家三人全部死光彌月嬰孩被失主溺斃煮雞鍋內夫婦兩人見狀先後都懸梁自殺
page 7	青年軍復員紀念日青年軍大打出手汕潮路車站被毀員工受傷三輛汽車被打得不成樣子
page 7	澳穗長途電話即將開始裝置
page 7	鄉民械鬥殃及電輪泰山輪在鐵崗被襲
page 7	台北通信包毅德的赴宴臺灣零拾之一
page 7	洞庭湖畔災民多秋收絕望春荒嚴重石首一帶共軍嘗試渡江
page 7	一切都是麵不談法幣了太原市上如此
page 7	高雄大選花國總統
page 7	台北考察團五日到汕頭
page 7	生六日寄北江暢通輪隻復航
page 7	燒死十六個人燒掉兩千多億上海漢口路之火損失重大
page 7	新長沙公司案王耀武電宋子文王東原說是與他無涉並請徹查
page 7	故都之夏紅了櫻桃綠了芭蕉街頭風景粉腿白鞋
page 7	四川一項建設消息都江電廠之電開始輸到成都
page 7	無聲的中國無聲的賣報
page 7	北平富人吝嗇鬼多多請減免救濟特捐
