page 1	社評結匯證明書市價的合理變動
page 5	菲律賓的對外貿易馬尼拉特約通訊
page 5	限制美貨入口傳說尚未證實多數美貨由港轉來星馬樹膠輸美甚鉅
page 5	米糖田料淡生仁生油俏
page 5	英輸美黃金達二億美元
page 5	穗米回紗挺布穩澳米麵淡生油俏汕頭生油紗布揚南寧米油糖鹽疲
page 5	銀根鬆濫異常行局恢復貸款美鈔攀升國幣再跌
page 5	滬物價總指數達九十萬餘倍比前週增加二千倍
page 6	老天有意作弄嘉山賽球因雨中止黑白戰南華球迷敗興第三節未完黑白領先
page 6	場地濕滑無法施展妙技客軍吃虧不小
page 6	十九比十南華落後
page 6	世運隊在泗水一勝一和在萬隆兩戰詳情
page 6	五比三勝意尼聯
page 6	世運籃球隊將抵星南馬人選集中訓練
page 6	南華會員初選昨天開票結果
page 6	六比零勝隆選隊
page 6	一個美國人主張取消世運會
page 6	足球總會今日會議
page 6	黑白第三戰港聯隊出師
page 6	體協分會章程修改完竣
page 6	團體網球賽今天兩場
page 6	義網球選手擊敗丹麥
page 6	日游泳選手破世界紀錄
page 6	嶺東中學舉行十八週年紀念
page 6	真光明日舉行校慶紀念
page 6	平振亞排球隊籌備二度征滬
page 7	新兵逃亡引起混戰平漢路上旅客遭殃漢口附近出事死傷數十
page 7	清遠徵兵糾紛高平鄉長被擊傷事擴大縣參議會表示拒送壯丁
page 7	澳屏十日寄連縣大裏峽電船被劫殺了三水手搶去百億元
page 7	被人誤會為麻瘋台山一歸僑慘死刀槍下打得一塌糊塗
page 7	區海天案兇手曾得二百港紙
page 7	賭徒躲進棺材裏鼓浪嶼捉賭趣事
page 7	哀哀湖南新兵患病難行竟被活埋偶去小便慘受刀劈
page 7	關於楊妹的笑話湖北有人致函重慶衛生局長主張以香花供楊妹任人膜拜不應該抹口紅扮成人間妖婦
page 7	廣瓊鐵路宜即興築
page 7	台山一鄉民被抓去處死
page 7	楊妹思鄉關心她的一豬一雞和另外的五擔高梁
page 7	挖空肥皂裝進烟土漢破獲一運毒案
page 7	一胎三男一胎三女長沙婦人各有千秋
page 7	湖南選災國大歸來選舉無效一人在省夜半失蹤
page 7	台北通信一個女人的悲哀台灣零拾之三
page 7	上士盲充少將騙了四千多億最後終於不免一死
page 7	故都龍鳳鬥蛇被喜鵲啄死
page 7	湖北省府保衛公文 
page 7	漢奸請覆判文長七萬言
page 7	送殯的人先進墳墓縝江怪事一宗
