page 1	"社評青年的情緒"
page 4	"反對美扶日委員會昨日通過兩項文件將分別向港政府及顧維鈞大使遞請求書"
page 4	"外部特派員約會反扶日會負責人"
page 4	"請求香港政府協助工業生產財政援助減低原料配價"
page 4	"香港小姐領獎"
page 4	"新界寧靜"
page 4	"致書顧維鈞大使請發表嚴正主張並附菲律賓大使演辭"
page 4	"發給國防獎章當局公布辦法"
page 4	"青年會舉行電影晚會香港中華基督教青"
page 4	"船塢華員所提要求海軍總監昨天答覆發佔領期補薪須由倫敦批准"
page 4	"省港輪又起競爭"
page 4	"殺人罪未成立又被控勒索罪"
page 4	"華興輪的加入打破昔日平衡"
page 4	"本港房地物業稅稅務局限期完納"
page 4	"英贈艦兩艘將過港各僑團籌開歡迎會"
page 4	"藏械之外再控行劫三人昨被判刑"
page 4	"女人的事兩個斬一個一個丟耳朵"
page 4	"姪兒沒出息偷叔叔東西"
page 4	"索勒阻街女郎兩被告昨交保"
page 4	"澳門小姐失事原因當地還在繼續調查女乘客屍已漂流來港"
page 4	"新型飲料拉蘇混橙汗吃後大懊悔"
page 4	"競建摩天樓渣甸公司擬建廿五層大廈不讓中國銀行專美"
page 4	"薩公獎學金存入農民銀行"
page 4	"活特案死囚今日可覆判 "
page 4	"嘉馬拉馬戲班從今天起減價"
page 4	"港府新聞處長將由夏蒙繼任"
page 4	"十四歲的兒童寄信向人勒索父親出庭自認家教過嚴法庭輕判責打他八籐鞭"
page 4	"抱女跳海控罪更改"
page 5	"在國幣市況反覆下港金融界注視穗澳滬管制嚴厲套匯風險大省港間通匯西紙可直兌"
page 5	"近日僑匯有轉移穗廈趨勢"
page 5	"金市晨升午後回降定金謠言又有新傳說昨美匯開市一路搶高"
page 5	"柏林和緩金市回瀉"
page 5	"穗市昨緝獲地下錢莊三宗人犯二十餘名粵漢車上十四位乘客帶超額現鈔四十餘億"
page 5	"台幣匯率今再提高一比一二五七元"
page 5	"普益商會向洋行要求恢復戰前交易辦法入口洋貨以九九扣佣金依倉期久暫按九八找現"
page 5	"穗嚴厲查緝市場金鈔黑市暫銷戢港幣穩黃金續昇"
page 5	"暹金續跌汕匯再降"
page 5	"西貢米價上漲五成"
page 5	"特種台糖轉旺臺灣價報漲兩英鎊星庄扒吸四五千包"
page 5	"私套港匯破獲八家"
page 5	"銀根緊俏異常行局差進萬億物價一致回降"
page 5	"滬米麵紗人絲升穗出口物資微跌澳港幣值七角五廈金鈔物價回降"
page 5	"股市益淡成交愈少總數一六萬餘元"
page 5	"七天內出貨雙九八找現"
page 5	"業務大減支出增加續據陳氏語記者稱"
page 5	"梧州特約通訊半年來梧州的出口貿易"
page 5	"美股票升"
page 5	"穗央行副理袁家麟飛滬商改善結匯技術問題"
page 5	"穗米價漲"
page 6	"舉世矚目的田徑競賽"
page 6	"籃聯錦標大勢已定本屆冠軍將屬南華南華中華昨晚同告捷"
page 6	"恩平籃球隊今夕戰港青"
page 6	"小型球總會明天開會議"
page 6	"英共和聯邦各大學舉行六屆會議香港有兩位代表出席"
page 6	"南華勝公民"
page 6	"中華擒黑貓"
page 6	"世運籃球隊勝暹華紀詳暹好手星散致遭慘敗"
page 6	"清華大學"
page 6	"世運會選手誓詞由英國代表宣讀世運火炬向溫布萊進發"
page 6	"一泳將被取消資格"
page 6	"倫敦城市裝飾一新"
page 6	"英國招待印緬選手"
page 6	"港九學校動態"
page 6	"中山大學頒發畢業證書"
page 7	"省參會昨開駐委會順利通過田賦徵率決定每元收七市斗五升李偉光等說為了軍事只好忍痛"
page 7	"吳履遜案掀起巨波渝英奇被嚴厲指責省參議會接受陳偉烈等請願決轉請綏署省府查辦喻英奇"
page 7	"潮汕已經等於淪陷穗市潮州同鄉會招待新聞界又大大地指責了喻英奇一番"
page 7	"惠陽劫車案多"
page 7	"十五歲的小孩也被拉充壯丁穗參會請市府徹查"
page 7	"特捐分文未得籌募會請核減配額"
page 7	"改選於法無據穗臨參會改選問題各駐會委員表反對將開全體大會決定"
page 7	"編訓一團兵保衛廣州市"
page 7	"綏靖座談會昨天再度舉行決重配兵力整頓電訊"
page 7	"米糧走私又告活躍"
page 7	"東南兩公路幹線橋梁涵洞已完成廣州至湛江海豐月底都可通車"
page 7	"上海石翁仲搬家被拆送宋公園躺著休息拆遷時還有人趕去膜拜"
page 7	"電影鏡頭何思源機場吻太太"
page 7	"徐州喜劇一女三婿"
page 7	"在拆遷中的石翁仲"
