page 1	社評如何處理日本與美國人談對日政策
page 5	國幣內匯頹勢滬金鈔價迴旋上升結匯證書報九六萬
page 5	我國白銀存量五至十億盎斯美白銀協會估計
page 5	京市銀樓昨晨復業銀元市價波動烈
page 5	法有罷工潮金鈔均報昇美國市場英鎊尚穩
page 5	紡織品外銷會擬訂本年紗布外銷計劃外銷總額佔全國產量百分之二十預計可得價款七千五百餘萬美元
page 5	南銷棉織品應注意整飭質劣價高尺寸不足
page 5	桐油略疲豬鬃堅挺十四日紐約行市
page 5	穗金融波動結匯證書未有成交傳說外匯牌價挂高
page 5	台幣匯率今起調整一比四七七元
page 5	本報滬館座談會討論結匯證明書延長證書有效期間證書市價接近黑市
page 5	行局匯率昨起修正
page 5	滬紗漲米麵穩穗物價起落微澳門米價上升汕米麵生油挺
page 5	日貨運港銷售大部尚可獲利棉織品稍有虧折
page 5	汕頭米市混亂突破千五百萬
page 5	四月份僑匯二五一億元比三月份減四二億
page 5	漢口退票少日用百貨漲食米高叫千萬
page 6	港全運隊嘉山喪師三十比十四黑白隊大獲全勝女子賽香島勝南華廿四比九香島不失冠軍本色
page 6	黑白四戰四捷
page 6	女子先打頭陣陳明節打得好
page 6	馬來亞聯軍備戰世運隊
page 6	老惠歸鴻第八函
page 6	世運隊在馬加撒擊破第一關戰和壠選隊詳情
page 6	毅進歌詠團徵求團友
page 6	國軍走樣瓜分八球
page 6	團體網球賽今有劇戰
page 6	真光校慶舉行紀念感恩會
page 6	蘇可能參加下屆世運會
page 7	更能經幾番風雨潮汕歉收可慮東風吹損禾花粵北大雨洪毀路
page 7	為了房屋糾紛銀行職員竟也打單冒充海外飛虎黨韶關農民銀行被捕一人
page 7	佛岡俘獲共軍三名用來生祭
page 7	潮汕米價漲韓江人販多
page 7	生十五日寄汕頭市議長被指為惡霸一區長大登啟啓事
page 7	治安堪虞雷雨莫演
page 7	喻英奇的一套要士紳回鄉助戰避居港穗的限半月還鄉揭陽五經富一大戶被捕
page 7	故都大學教授致書司徒反對美國現行扶日政策
page 7	旅行支票當用大鈔上海皮鞋千萬一雙
page 7	寧波搶米風潮波及全市一瘋子用糞汁向各米店投擲三十九家被搶損失千億以上幾十個人受傷一人被米壓死
page 7	瘋漢大呼米商漲價太高不顧窮人死活
page 7	下午四點鍾搶米潮初起
page 7	全面搶風黃昏開始
page 7	群眾星散之後當局下令戒嚴
page 7	故都戾氣兇殺案一日一起
page 7	何思源妙論一篇猶太人罪該萬死
