page 1	"社評看下半年總預算"
page 3	"誰在擴張軍備軍備委會中美蘇激辯"
page 3	"流沙墮簡大世界小新聞"
page 3	"美國防部長返華府傳將參加白宮重要會議他正談判美加聯防突被召回"
page 3	"杜魯門將休假準備競選活動九月六日發表重要演說"
page 3	"美傘兵演習在日本北部舉行"
page 3	"高踞煙囱苦勸復工攜帶幼女環球飛行"
page 3	"路透社記者在匈京被捕"
page 3	"越盟作戰三年胡志明即發表演說越盟當局聲明保護華僑"
page 3	"對日委會開會二十七秒結束"
page 3	"關稅協定會議在日內瓦舉行"
page 3	"菲島槍聲又起民抗軍與警察發生衝突"
page 3	"印尼獨立紀念荷警槍擊青年"
page 3	"暹羅馬來邊境英機炸死暹人"
page 3	"甘地被剌以後印度萬人被捕現仍有五百餘人未獲釋"
page 3	"緬局嚴重政府亟待外援"
page 4	"香港的幾種住宅屋頂村落潮惠館騎樓底下"
page 4	"屋項上的小村落"
page 4	"歐洲人已准保中國人不准保被告律師認為歧視控方說是環境特殊"
page 4	"被告的理由"
page 4	"控方的理由"
page 4	"健康村居民雖已無家可歸不忘敬祀鬼神"
page 4	"海軍船塢輪機被盜中西職工六人涉嫌"
page 4	"少女請求解除婚約未婚夫竟然下毒手"
page 4	"自殺失事"
page 4	"肺病纏身跳海自殺"
page 4	"主日國語禮拜"
page 4	"簡文舒畫展"
page 4	"聯合國文教組織顧問郭有守歸國過港他曾旅行一萬四千哩考察過中東遠東各國"
page 4	"沒偷成東西帶人去打架兩人涉嫌被控"
page 4	"工商出品展覽會明日舉行聯誼會"
page 4	"怡保首任領事馬天英過港赴任"
page 4	"警署內隨地便溺一西人昨日被控"
page 4	"旅業評價委員會歡迎市民提建議"
page 4	"港九工團聯合會加聘籌備委員"
page 5	"黃金盤昇美匯徘徊傳西貢每盎斯漲一美元多方極為興奮逢低吸進"
page 5	"曼谷金市續呈疲淡"
page 5	"申匯跌破五關現鈔企穩期鈔下降"
page 5	"曼谷汕匯先漲後跌"
page 5	"京銀根緊物價趨軟"
page 5	"越南的生產與貿易中"
page 5	"台糖有盤到港糖價昨呈疲軟平均每擔跌六元多"
page 5	"行局匯率部分修正比週前均減低"
page 5	"爭取華茶出路我茶葉界電美交涉"
page 5	"穗外匯牌價昨又告調整"
page 5	"銅鐵行商會請求放寬五金出口昨晉謁工商統制官請求"
page 5	"出口茶貸款額增加每擔增至五千六百萬"
page 5	"鉛水新線價跌十八號以上每擔跌五元八至十六號按價反提高"
page 5	"滬百貨價回漲穗五棓子價跌汕頭物價續升"
page 5	"股市平淡成交二四萬餘元"
page 5	"湛江市場混亂商業頓成蕭條商店倒閉十分之一"
page 5	"倫敦銀價跌一便士"
page 5	"美農部預測本年大豐收"
page 5	"一至七月底台省對外貿易入超一百八十餘萬美元輸出糖八百八十餘萬元"
page 5	"汕頭商情一週物價空前狂漲"
page 5	"港幣價騰飛破百五萬關"
page 5	"百貨商場瘋狂報起"
page 5	"漲風威脅民生實施緊急管制"
page 5	"省銀行穗匯處江蘇組昨成立"
page 6	"足球領隊容啟兆談出席世運觀感我國體育普遍萎靡人進我退說來慚愧"
page 6	"中健會泳池下週開幕"
page 6	"我足球隊在暹再捷"
page 6	"中華文法學院港區定期考試"
page 6	"世運代表一批過港籃球選手今天到達港籃聯會二次下戰書"
page 6	"基本籃球隊竟胎死腹中朝鮮籃球隊將來港可能在此比賽兩場"
page 6	"湛光盃賽今日兩場"
page 6	"香港足球近事胡好今年有新計劃"
page 6	"美國棒球大王今日舉行葬禮"
page 6	"趙家軍戰滅火局"
page 6	"國際大學會議閉幕議決成立大學協會及大學局設置臨時委會負責籌備工作"
page 6	"象社籃球隊戰仿林校友業餘體育團體象社"
page 6	"小型奧林匹克會美選手包辦冠軍"
page 6	"全亞運動會我決定參加"
page 6	"南華會舉辦石澳賞月會"
page 6	"遠征日記十一"
page 6	"北平學生家長呼籲防止學潮"
page 6	"獎勵優秀學生協公社舉辦獎學金廿二日舉行發獎典禮"
page 6	"蘇德日將參加下屆世運會"
page 7	"募集特捐計劃完成一變再變之後已經變質廣州工商界要出一半錢要員配額只占八分之一"
page 7	"省立學校收費提高以米價為標準折收國幣姚寶猷昨在省參會駐委會報告說今天教育已成為可憐的一環"
page 7	"儼如塞翁得馬廣州得到濬涌美援人民平添一筆負擔市府要徵同樣數目的錢"
page 7	"關於藝專風潮姚氏說校長很窮"
page 7	"議員們質詢說收費不當"
page 7	"教育重要並不緊要"
page 7	"用霸王水的在廣州很多穗市自來水管理處計劃供給河南食水"
page 7	"省參會駐委討論徵率案決將反對意見轉政府酌情辦理並聯名函覆劉經畫等有所聲辯"
page 7	"省府電呈總統請減徵借徵率"
page 7	"鬼節在廣州燒衣的人滿街都是禁者自禁燒者自燒"
page 7	"省參議員呼籲莫亂逮捕士紳宋子文邀晤陳述經調停吳履遜案糾紛"
page 7	"聯勤總部穗收支處下月成立孫以勤奉派為處長"
page 7	"廣九路上走私風仍熾粵海關天天都緝獲走私米"
page 7	"暹壓迫我僑胞省參會昨電政院請即作嚴正交涉"
page 7	"曾三省之家被洗劫一空"
