page 1	"社評欣逢新印度周歲"
page 6	"下屆世運在芬舉行"
page 6	"世運漫談"
page 6	"二百公里自由車賽法國選手奪得第一"
page 6	"田徑對抗美勝英國"
page 6	"遠東國家參與世運最後一天競賽結果一勝二敗"
page 6	"瑞典榮獲足球冠軍三比一擊敗南斯拉夫丹麥勝英國得第三名"
page 6	"男女團體健身操芬捷分得第一名米薩柯華病逝倫敦消息傳來多人下淚"
page 6	"匈選手葛萊維區獲個人軍刀錦標"
page 6	"勵進團水運會昨圓滿結束全場冠軍劉帝炳黃玉冰"
page 6	"拳擊賽冠軍有主"
page 7	"勸募特捐方式又變寓攤派於自由認捐歐陽駒枕心配額太多不易募有人想捐但又怕被稱為豪門"
page 7	"收回田賦徵率原議留穗省參議員提出要求否則就要罷免駐會委員"
page 7	"反對由他反對田糧處準備開徵說那是參議會自己的事"
page 7	"穗市公用事業有着許多計劃"
page 7	"陳榮煇談四邑災情早造損失四成人民盼減田賦"
page 7	"背道而馳粵漢鐵路減價廣九車票獨加"
page 7	"挽留引退教授藝專又起風波為貼標語一學生被打"
page 7	"華振中明天接事"
page 7	"收買黃豆以備災荒糧部撥款給穗市府"
page 7	"紐約的綁架案"
page 7	"陳公俠新職受任省軍區副司令"
page 7	"桃園結義遺風劉關張三族開代表會百餘村代表會於石龍"
page 7	"穗金管局的收獲本月上旬破案多起何華昌金鋪奉令停業"
page 7	"四萬袋麵粉糧部核准到漢口買"
page 7	"海口一小學生跳樓自殺之前叫妓飲酒原因是無錢可升學"
page 7	"如願以償廣州市府請補助得了二萬五千億"
page 7	"二區綏靖會議今日在韶舉行"
page 7	"廣州修痲瘋院打算在十一月完成明年開始收容病人"
page 7	"曲江抗糧一幕催糧不得抓人老母數十壯丁奮力奪回"
page 7	"  埔廣德鄉數十商人被拘墟上空寂無人"
page 7	"梅縣捉人六人全是青年男女"
page 7	"汕頭市府平價禁止買空賣空"
