page 1	"社評先要節流"
page 4	"颱風離港到瓊崖這次最大風速在四十哩以上本港空運水運並未受大影響"
page 4	"炸燬房屋如何清理清理委員會正擬意見書下星期內便可呈給港督"
page 4	"澳門小姐失事原因有關方面積極研究乘客黃志達屍體已撈獲"
page 4	"運輸輔助隊可以領薪金 "
page 4	"工商展覽會報名者甚多"
page 4	"警署懸賞二千元捉拿截劫巴士匪"
page 4	"如何防白蟻請你聽廣播"
page 4	"港督接見華商會新人表示食糧配給價將來可減低他不承認本港工商業不景氣"
page 4	"女賣票員楊婉文手袋被搶復受傷"
page 4	"啤酒等貨品公價已取消"
page 4	"僑商討論輸管制度一致認為應該改善"
page 4	"衛生局幫辦詹臣因受賄嫌疑被控工役胡惠全亦被解案"
page 4	"自找麻煩無票乘船結果被罰"
page 4	"活特被殺案是否再上訴被告律師正考慮中高路雲說不久便可決定"
page 4	"鋼筋需要多有人將設廠"
page 4	"利昌當鋪昨晨被劫四賊持械由天台入內劫去物品值五千多元"
page 4	"施諦文夫婦抵港明天離港轉馬賽遊玩再回英渡三個月假期"
page 4	"盜竊留入指紋終被警探抓到"
page 4	"被辭退的幫辦控告港府背約昨由高等法院首次提審雙方律師均就法例辯駁"
page 4	"何碧雲損失不貲身帶金圓一百多枚被緝獲後全部充公"
page 4	"織布商會新人選出"
page 5	"黃金跌破三三零元美匯低沉交易稀疏國內銷力弱市場心理看淡"
page 5	"港商對外匯統制意見加強輸入許可管制貨物輸出必受影響"
page 5	"桂林米價千百六萬"
page 5	"陳啟天表示同意紡織工業政策代紡代織自紡自織自由內銷統一出口"
page 5	"大戶拋出市場看淡"
page 5	"暹米十萬噸交換日機車"
page 5	"國布在暹步升棉紗銷途仍滯"
page 5	"荷印布市回醒星市日布活躍"
page 5	"菲金漲至一一七披索"
page 5	"穗市金融趨穩百貨未見回跌"
page 5	"梧州漲風瀰漫市場陷入混亂狀態一般物價約漲倍半"
page 5	"梧州一旬經濟梧州通信"
page 5	"南京市場百貨轉軟"
page 5	"股市先淡後旺成交總數五四萬餘元"
page 5	"國幣匯市盤穩"
page 5	"英鎊黑市對九七五法郎"
page 5	"墨重訂外匯比率"
page 5	"穗銀根緊申匯轉低"
page 5	"白麻渴市價格攀高"
page 5	"經濟通訊一二八期發刊"
page 6	"我世運足球隊抵英當地人士認為是可怕的一隊李惠堂盼先與他國選手觀摩"
page 6	"游泳池的水每滴都可喝"
page 6	"愛丁堡公爵參加火炬跑"
page 6	"星跳高選手個人一單位"
page 6	"我足球隊在印勝回教隊經過三比一演出得好評"
page 6	"學生服務武漢大學"
page 6	"今天籃球聯賽中華戰青年兩場乙組賽同日演出"
page 6	"教師會中文部首屆委員產生"
page 6	"世運前奏曲二"
page 6	"秘魯游泳隊家加比奧橫渡直布羅陀海峽"
page 6	"港九學校動態"
page 6	"恩平籃球隊今日戰鐘聲"
page 7	"本年徵實不提前了省府原有提前意但現已打銷和去年一樣從十一月起開徵糧串手續決定予以簡化"
page 7	"催徵吏大不易為三十六年度徵賦期中一百餘人被殺或被擄"
page 7	"南路早造收成好西江北江還不太壞東江韓江只有五成"
page 7	"廣州拆牆事件市府拆除大沙頭站圍牆路局要求暫緩未獲允許據說這牆將來還要修的"
page 7	"不革命引起爭論民社黨中委與公評報記者舌戰"
page 7	"共軍搶割早稻豐順曾有激戰"
page 7	"穗臨參會反對改選昨開臨時全體會議商討對策要求中樞解釋改選有何根據"
page 7	"南路共軍有多少一說逾四千一說僅千餘"
page 7	"保警十六團在潮安訓練"
page 7	"粵東新兵多是瘦丁"
page 7	"新會突爆發大械鬥三江趙姓龍泉高姓開火五千人以機槍鋼砲互轟永祥艦去彈壓也被擊傷"
page 7	"不願做保長海鹽有人跳河拒選"
page 7	"廣西禁煙南甯設禁煙督辦署督辦一職屬韋雲淞"
