page 1	暑期談學生
page 6	復興健身院招收新生
page 6	樓文敖出國問題要等郝更生解決
page 6	世運會舉行前英召開體育會議我國由董守義等出席
page 6	團體網球賽昨天四戰今日兩場
page 6	公開乒乓球賽月底截止報名
page 6	拳王決賽因雨順延
page 6	連瀛洲返星談回國觀感祖國體育水準比馬華高希望海外僑胞時常聯繫
page 6	反對增加學費日本學生罷課
page 6	同濟中學舉行游藝會
page 6	老惠歸鴻第十一函
page 7	災歉頻仍饑民遍野嶺東百姓紛紛逃荒惠來潮安兩縣情形最慘許多人早已吃樹皮草根
page 7	得天獨厚菴埠內洋等鄉競舟慶祝豐收
page 7	汕頭童竊剃髮為記
page 7	大埔理髮業決改收實物服裝業也跟著來
page 7	赤溪海面沉一鹽船淹死乘客七人
page 7	式文廿一日寄揭普交界之處沉船溺死卅人
page 7	福建省要陸沉南普陀四大金剛出走廈門街頭巷尾謠諑紛紛
page 7	上海人口已過五百萬
page 7	梧州查戶口抓人去當兵
page 7	喻英奇的又一套查封共軍產業並拘家屬
page 7	坐飛機販人口汕頭破獲一宗
page 7	漢屏十九日寄粵北大雨交通阻滯
page 7	光廿三日寄涂思宗上京
page 7	光廿三日寄匪徒夜入曲中以劍嚇詐女生
page 7	潮安龍美堤崩潰菴埠一帶農田被淹沒汕頭近郊澄海數村也都進水
page 7	生廿三日寄大埔的老百姓要向縣府繳械
page 7	海口光明問題電燈公司改組巳四次無法對付用霸王電的
page 7	西安闊人避暑跑進王寶釧的窰洞中
page 7	澳門點滴
page 7	林同濟表示無意去官做
page 7	不食女子何多康定也有一個張黛琳不肯進醫院
page 7	大水沖倒龍王廟拉差拉到自家人漢口一班長被軍人擊斃
page 7	廿二日寄鄂省共軍逾五萬設有十一專署五十五縣府張篤倫在湖北省參會報告
page 7	信不信由你長沙一項荒誕傳說
page 7	閩南雲霄不靖城區每日下午戒嚴商店多已自行停業
page 7	上海車夫叫價以大餅做標準
page 7	美國的議員們
