page 2	"社評這樣的教育應該改變了"
page 6	"暹羅米糧統制近年內難開放暹緬越剩餘的米量距世界所需求尚遠"
page 6	"且說資金逃港下"
page 6	"亞洲缺米六百萬噸"
page 6	"全國棉田估計棉田三九五萬市畝存棉一四六萬市擔"
page 6	"從八月初起日本對外貿易即可取消限制"
page 6	"三十七年存棉估計"
page 6	"穗市田料回升澳黃金港幣挺桂林米價下跌"
page 6	"申匯昨市又告狂瀉現鈔期鈔同趨疲軟"
page 6	"馬來亞六月份椰油出入口統計輸來香港一六四噸"
page 6	"椰油椰乾"
page 6	"紅茶綠茶"
page 6	"黃豆慘落豆仁銷旺"
page 6	"星市白糖轉佳豆類多趨疲弱"
page 6	"股市平穩匯豐續升成交二八萬餘元"
page 6	"我國豬鬃出口銷美國佔半數去年輸出九百餘萬磅由香港轉英數量銳減"
page 6	"汕頭市場營業困難"
page 6	"桂林米價昨告回跌"
page 7	"世運會今天在英揭幕各項比賽定翌日開始第一天節目我有四項參加籃球初賽我隊對智利交鋒"
page 7	"王正廷昨廣播"
page 7	"愛爾蘭兩項泳賽不准參加"
page 7	"籃球賽抽籤結果四組名次已排定"
page 7	"開幕前夕的變化保加利亞宣布退出羅馬尼亞亦有謠言"
page 7	"東方國家參加世運奪取錦標仍待努力"
page 7	"國際體育會議促進人類幸福我出席代表談話"
page 7	"歐洲國家健兒在熱浪下苦練"
page 7	"溫勃萊售票處大受市民包圍選手全宿舍發現共黨標語"
page 7	"火炬越過比法昨遞達多維爾"
page 7	"滬華聯隊在菲大捷"
page 8	"大鈔昨已在穗出現央行開始發行二萬五千元關金穩定多日的金融市場因此波動"
page 8	"央行遲遲始換小鈔穗市參會表示憤慨"
page 8	"省參議會開駐委會檢討治安物價問題決約集留穗各參議員座談治安與穗參會聯合發起物價平抑會"
page 8	"徐景唐辭職民政廳長繼任人選傳已內定華振中兼"
page 8	"穗配售米下月份的價格由宋子文決定"
page 8	"蔣夢麟離穗"
page 8	"穗臨參會改選問題五參議員起草呈文已獲通過希望中央重加考慮明白解釋"
page 8	"救濟特捐快要募了綏署昨又開了一次會"
page 8	"振款都是小鈔開平鄉長搖頭"
page 8	"看殺人被擠死恩平城裏的事"
page 8	"粵東的最大走私口岸暴發戶的海門原來不過是一漁村現在卻儼然成小型都市了販夫走卒也在抽高夫力"
page 8	"飛天老虎在澳被判入獄廿二月"
page 8	"每縣幾億元農貸有何用瓊島全島共二百億"
page 8	"颶風襲穗塌屋坍牆三人慘被壓死多人受傷各地電信線路多被摧毀"
page 8	"下學期的學費據說要以港幣白米折價大學可能收米八百市斤"
page 8	"粵海關緝私緝獲三百捆捲煙紙"
page 8	"沒有人性的騙子向熱腸人耍手段新會兩個小教太倒霉了"
page 8	"馬思聰月底舉行演奏會然後去滬轉南洋"
page 8	"颶風侵襲之際澳門沉一花艇一男一女隨波而去"
