page 1	社評再論結匯辦法的改變
page 4	華商會選票昨發出高派候選人名單已擬好革新派中人說不感興趣
page 4	復員津貼勞工處昨公布
page 4	有功人員三十八名昨由港督主持授勳
page 4	尖沙嘴停車場昨重新劃分
page 4	誰疑有亂葬兩處可查詢
page 4	藥行商會職員昨天就職
page 4	李炳受勳
page 4	青山道船廠多已拆遷香港鈔廠即可興建建築費三百萬元年底可稍具規模
page 4	勇救多人的張安
page 4	九龍公地一段下星期一拍賣
page 4	赤糖何價本月起每磅三毫五
page 4	藏機槍一挺入苦獄三年
page 4	沒有男人的集會時裝表演會明在大酒店天台舉行因為只有女服所以不請男賓參加
page 4	立法局定今天開會債務條例提出首讀佔領期間婚姻法例等亦提會討論
page 4	蘭度爾將在會中提議主向國務大臣申請停止對港財政控制
page 4	汕頭街私寨案李三妹只認是流娼歐少英昨到庭自首
page 4	搭線的人忽然截線一班水客被騙萬多元黃國光在粵南旅店開房設局收了帶貨按金後便逃之夭夭
page 4	沙頭角擄人勒贖案嫌疑犯徐樹洪受審據供另有六人同往行劫
page 4	查出兩隻死豬罰了三個男子
page 4	永豐街附近危牆倒塌
page 4	深夜擁抱婦人男子鄺瑞判罰
page 4	為省兩毛錢被罰四十塊
page 4	矮仔錦挾恨尋仇發冷鬼右手被斬傷者母親請求警署緝兇
page 4	中國關員醉酒打人
page 4	下體私藏黃金廿餘女人被捕多人被送瑪麗醫院檢查
page 4	西營盤竊匪十多人落網
page 5	對於結匯新辦法本港僑匯顧慮仍多認為未能達到納僑匯於正軌目的
page 5	香港進出口商品目下在觀望階段
page 5	僑匯旺盛游資回調內匯攀升勢所必然恐懼英鎊貶值減低港幣信心
page 5	內匯呈穩挺金鈔均猛降上海退票極多銀根緊俏依然
page 5	滬進出口公會協議設立結匯證買賣場所並劃一出口價格
page 5	進口商好景不常將有二百家倒閉過去靠買賣輸入證為業
page 5	金融市況淡出口物資升
page 5	棉紗來價低本港配價減卅二支紗沒人問津
page 5	香港郵匯局匯款的人多
page 5	黃金漲跌反覆失常滬穗港匯一齊下降克利浦斯今日發表聲明可能對市場起重大影響
page 5	貢紙趨活躍股票成交旺
page 5	滇幫拋出潮幫買入
page 5	工商供應處又禁止星鐵出口卅號星鐵每張跌四毫
page 5	匯豐再升英坭不弱
page 5	玻璃紙價一蹶不振
page 5	中信局停止收購工作
page 5	復興廣東糖業話今昔四
page 5	全國省銀行第七屆年會昨晨在滬揭幕
page 5	市場傳說多黃金上落大
page 5	配合外匯新措施進口仍採限額制輸出入管理另訂辦法
page 5	汕頭銀根奇緊再禁息單行使如違處死刑或無期徒刑
page 5	滬米麵紗布回跌穗出口物資上昇汕食油降米紗揚
page 5	指定銀行昨日開會
page 6	雙打網球冠軍決賽林李出馬戰兩徐今天下午在木球會場舉行木球會友單打同日爭冠軍
page 6	男女混合雙打兩場結果香港木球大勝西洋會婦女游樂贏九龍木球
page 6	全運觀感錄
page 6	菲華記者筆下的滬菲籃球戰菲隊失敗皆因輕敵上海勝在拼的精神
page 6	公開籃球比賽今晚三場開火
page 6	球國閒談
page 6	梁寒淡考察歸來建議改善市教列舉改善要點十二項
page 6	世運隊又傳捷報一球勝吧城華聯
page 6	粵省水運會擬八月舉行西郊泳場五日開幕
page 6	教部通令省市廳局收集教育先進事畧
page 6	中學男女分校下期不擬實行教育部主管當局談話
page 6	光華乒乓賽陳炳基冠軍
page 7	汕赴暹新客將滿額各方表懷疑有關當局請僑委會調查僑務局長被控貪污瀆職
page 7	粵境的鎢礦走私比去年增了一倍鎢砂私價高於公價一倍半
page 7	廈門通信反美扶日在廈門
page 7	小孩子幹得好事打單信索五億元被責罵之後氣憤出此昆明警察人員啼笑皆非
page 7	東莞妙罰大掃除不潔住戶罰掃把和垃圾籮
page 7	吳滿有被俘
page 7	汕頭苛稅傳要復原
page 7	如此美國人觀舞發脾氣上海反美扶日插曲
page 7	汕頭的人大吃其蛇蛇肉價錢便宜
