page 1	社評美援與西歐的經濟復興
page 6	我世運隊旗開得勝八比零大勝菲華聯菲華聯是出席全運代表隊昨晚第二戰對馬尼拉選手
page 6	張馮將參加港菲埠際賽
page 6	昨宵九場拳鬥培靈擊敗麥美蓮六個回合培靈獲全勝多夫對蘇沙爭持甚烈
page 6	港區全運選手第二批今啟程
page 6	星島勝水兵獲乙組聯賽亞軍
page 6	學籃初級賽今日兩場
page 6	全運各項裁判主要名單公布
page 6	中山大學學生向校方提四項要求就業旅費增發三十倍
page 6	學生康樂活動明日分區舉行麗池優待學生入場
page 6	各地選手分批抵滬
page 6	聯勤總部全運選手前日由京報到
page 7	鶴山縣境迭遭襲擊沙坪不分晝夜都在戒嚴禾穀被攻一參議員被擄
page 7	老隆已復舊觀去年一把火全鎮精華盡燬三個月努力市容逐漸復興
page 7	新豐共軍活躍富紳走避他鄉
page 7	廈大罷課三天聲援川大華大同學並要求撤換王陵基
page 7	天上的錯天大的錯空軍誤烽撤退人員榮陽氾水間一慘事
page 7	這一頁歷史不能忘記景山東麓祭崇禎今年是他殉國的三○五年幾位老先生奉命簡單致祭王克敏當年曾經禁止立碑
page 7	高雄新軍卅一軍已成立
page 7	反加價虎頭蛇尾北平國營事業到底贏了決定先照新價繳了再說
page 7	北大紀念五四將有八天熱鬧
page 7	皖省當塗驚人事件縣長宣佈正副議長是共黨議長在京表示決搞垮縣長
page 7	景德鎮的瓷器每月出口二千億元五萬多人靠它生活
page 7	如此催徵吊死糧戶
page 7	長沙一會黨案龍頭大哥被捉官方說他準備造反
page 7	高材生大學生太原的新名詞
