page 1	社評論港日貿易與香港商業的前途
page 3	安理會中印尼指摘荷蘭無信斥其企圖絞殺印尼共和國
page 3	法內閣危險期未過皮杜爾或將被迫辭職
page 3	好朋友換妻一筆糊塗帳私生女控父一件妙官司
page 4	反對戰時債務法例華商總會提出呈文發言人昨概述反對理由
page 4	三起招標
page 4	本港現行制水一時難以解除九月底前必須下雨五十吋方足
page 4	風狂雨暴過端陽龍舟競賽都改期
page 4	反對扶日大會當局批准舉行
page 4	沙頭關碉堡下週起修理
page 4	婦女節制會昨舉行茶會
page 4	東華三院總理聘書已經發出
page 4	便利赴台旅客中航公司交涉成功取消各種繁瑣手續
page 4	油蔴地避風塘拆遷破船障礙物
page 4	國語演講比賽今天報名截止
page 4	馬調士來港警務處公布交通秩序
page 4	錦田農業試驗場一孩子被人帶走
page 4	漁政人員貪污案餘波
page 4	沈家忠證供被控有虛偽
page 4	遺囑作證人發現靠不住
page 4	中了馬票變了人茶博士毆姘婦
page 4	巴士中途機件損壞中華公司被判賠款
page 4	外籍砲兵偷竊商店被判入苦獄
page 4	台灣內幕影展
page 4	大婦掩襲姘婦姘婦虛報失竊
page 4	冒騙鉅款案兩宗法庭昨分別判決
page 4	偽造一張支票騙去了八千元
page 5	仰光日來金融市場成牛皮狀態商業不景氣香港貨進口商平平黃金曾升至一四五盾民匯徘徊四五盾間緬甸國營彩票生意清淡反映購買力薄弱
page 5	輸管會昨公布三月進口結匯金額附表一類貨品一百零三萬美元附表二類貨品六百十七萬美元附表三類貨品一百五十萬美元
page 5	輸管會組織工作團前來廣州廈門台灣
page 5	中行國外部經理談辦理僑匯問題沒有理想辦法希望市價接近黑市
page 5	滬結匯證書賣價五四萬
page 5	外幣餘額昨日提高
page 5	國行派員去津解決結匯問題
page 5	港金銀貿易場業務蒸蒸日上會員各派盈餘千五百元並定十五日改選理監事
page 5	黃金美匯靜中透穩國幣內匯全面退潮滬金鈔漲勢正方興未艾港節後現鈔將大量流來
page 5	全國小麥產量比較去年略減糧部擬定購儲計劃
page 5	武漢銀根緊糧食金銀漲商場平安渡過節關
page 5	沒落中的蕪湖米市上蕪湖特約通訊
page 5	台幣匯率昨起掛高一比四○一元
page 5	桐油出口限價取銷
page 5	星市國布跌價受新結匯辦法影響
page 5	農行舉辦茶葉貸款已貸出三十八億
page 5	穗米麵穩紗布回汕米麵油紗布揚梧州物價起落微
page 5	世界金價挺白銀需求滯每盎斯價四三萬元
page 5	穗市端節商場休假僅有零星小買賣
page 5	滬金鈔猛升行局差進多市面銀根仍呈鬆濫
page 6	港菲藍球大戰南華黑白嘉山會師今晚七時半開火門票二元四如遇下雨將取消比賽
page 6	南華實力不弱可與客軍一拚
page 6	廿四種不同語言廣播世運新聞
page 6	世運田徑代表樓文敖消極
page 6	傑志計劃遠征菲島覆電歡迎
page 6	郝更生在菲島接洽恢復遠東運動會世運籃球隊將在菲島比賽四場
page 6	介紹黑白遠征軍
page 6	世運序幕上
page 6	世運隊小勝群力一比零球迷失望吧城第三戰經過詳情
page 6	戰幕揭開
page 6	何應芬打開紀錄
page 6	春秋之筆國軍聯絡未見默契前鋒淩亂失機頻頻
page 6	再論群力
page 6	籃聯會昨開會議籌商應戰推派聯隊負責召集人各場裁判員亦經指定
page 7	福州破獲三騙奇案騙朋友騙妓女最後騙姦女學生自稱是孫科的女婿外甥兼義子冒充七省監察使七口公司經理
page 7	騙了朋友的錢當晚便去宿妓從此就住在私娼家裏
page 7	新會地院監獄囚徒組有聯社開設番攤牌九並賣鴉片犯人初來要被勒索港幣
page 7	這騙人的世界潮安鄉紳行騙冒充諜報隊長
page 7	葡國魂詩人祭日澳機關放假一天風雨中有人前往致祭
page 7	爭功吃醋保警打死鄉丁一案新會數鄉長提要求
page 7	恩平自衛隊第一大隊長被扣所部全被繳械了
page 7	新會害虫咬吃柑花
page 7	二十對一萬湘潭用銅元
page 7	增城怪誕傳說掃帝星臨正果墟是一個約莫十歲的少女扛著掃帚在瓦面上跳舞
