page 1	却說雷諾探險
page 4	海軍船塢裁員福利會呈文海軍總監請求答覆前提要求
page 4	九廣鐵路漸復正常碼頭上水客婆仍擁擠
page 4	牛頓即休假譚雅士代理
page 4	廣九路發售來回車票
page 4	趙聿修等組置業公司計劃建設深圳市場集資百萬元購地二百畝
page 4	聯星公司被炸二疑犯昨審結
page 4	二十歲的青年被控劫案纍纍被捕前還開槍抵抗
page 4	九龍庭審誼子傷父案誼父誼子誼母昨在法庭對質誼父說母子有奸情誼子說是為抱不平
page 4	監犯妻子哭泣法官大發慈悲給她一百元勸她早還鄉
page 4	利用養女偷竊江文夫婦坐牢
page 4	警士設陷阱捉住偷錢賊
page 4	兩大賭窟前晚被破獲
page 4	走私黃金百兩啟德機場昨破獲海關充公旅客逾額鈔票一個月來達四億餘國幣
page 4	汽車失事兩起司機被罸巨款
page 4	港九建設日見增加竊賊群趨偷磚防空洞舊磚拆光了又去轉未成建築物的念頭
page 4	二次大戰畫冊今起在港發售
page 4	渣甸街何來生銹子彈姘居男友被控告捲逃
page 5	黃金美匯再度上漲黃金最高三四七五元美匯最高五九一五元
page 5	申匯省匯跌股市變化少
page 5	最吃香的鈔票港幣流通在廣州
page 5	滬申新紗廠在港穗設新廠
page 5	十七家接受法貨定單洋行圓鐵需求殷鋼板喊價高關鍵在停供外匯與否
page 5	外匯牌價一致掛高美匯升六萬九千元英匯升二○七千元港匯一二六百元印匯一五四百元
page 5	建築材料渴市
page 5	呢絨價俏
page 5	中信局港分局推廣南洋易貨工作
page 5	國際匯票兌付辦法
page 5	外匯政策傳將改變
page 5	估計流通額一億元
page 5	監察人員有權檢查行莊賬冊
page 5	紡建訂購美棉經向美商訂三十萬包
page 5	行局差出多物價指數漲內匯匯率降
page 6	我國參加世運足球代表全隊十八人昨正式選定港區佔十一人馮景祥任隊長決定出國路程沿途賽廿九場四月廿九日出發七月可抵英
page 6	教育部最近訂定僑生升學保送辦法七月底以前彙送教部核辦港九澳僑生不許申請保送
page 6	傑志又過一關擊敗洋警察二比零傑志拉雜成軍
page 6	今年的世界運動會上
page 6	香港會揚威巴士遭慘敗
page 6	庇理羅士校友會昨晚改選職員
page 6	舉重名手劉牧赴穗參加預選
page 6	粵參加全選預選定本月十日開始
page 6	星島奏捷銅鑼灣大勝空軍七比一空軍不濟
page 6	昨晚游泳預選場面未見熱鬧黃婉貞僅作個人表演今晚續舉行三個項目
page 6	各地參加全運約五十單位籌備工作如期完成加設項目配合世運
page 6	許大偉不信任香港裁判戰黎東芬擊暈為勝許要比賽十五回合表示不再被人玩弄
page 7	城陵磯築港實現可期粵漢路支線本月興修
page 7	城陵磯築港後廣州上海獲益運輸距離及時間縮短運輸費用減少丈半多
page 7	興寧人檢舉卸任縣長童日蘇被控貪污四十餘億
page 7	浙贛鐵路三段論下浙贛鐵路週覽記之二
page 7	廣州舉辦犬類登記
page 7	宋子文即將訪湘解決城陵磯築港問題並商談湘米濟粵辦法
page 7	贊助孫科競選中山各界募款
page 7	想苟全性命於亂世河北出現青年老頭
page 7	閩菰業面臨危機盼政府貸款救濟
page 7	一家子糾纏不清三代人互打官司父親告兒子兒子告孫子老夫又被老妻控告重婚
page 7	男扮女裝嫁人丈夫換了兩個過了十年女性生活河北灤縣捕一奇犯
page 7	經理喪妻學徒補缺扮女裝同居
page 7	與一自衛隊員又發生了關係在去年樂亭撤守時
page 7	西德經濟現狀論
page 7	航空模型競賽
page 7	西德名人小傳
