page 1	社評矚望全運會
page 5	外匯政策應否改變貝祖詒與中外銀行研討外商銀行要求全部開放
page 5	輸管會穗辦事處答覆處理配額要點
page 5	東北流通券國內准兌換一比一一點五
page 5	申匯省匯狂瀉申匯最低五○二元省匯最低五八○元
page 5	昨日股市動向靡定
page 5	美參議員主張設立黃金自由市場旨在防止通貨膨脹
page 5	兩樹膠公司召開股東會報告上年生產概況
page 5	美匯美鈔急降美匯最低五五四元金單最低五四八元美鈔最低五四六元
page 5	我國紗布銷港前途黯淡市場受走私貨傾銷影響
page 5	台幣匯率昨又提高比五日高十元
page 5	金鈔跌價原因種種銀行界人士推測
page 5	英國無鐵釘盤口原來又是一幕騙局
page 5	美援購棉七千萬紡織界請求增加
page 5	英財相了表聲明歐洲復興方案對英鎊集團無惡影響
page 5	港華商銀行召開會議討論業務聯繫如何吸收僑匯
page 5	全國水泥產量月達十餘萬噸
page 5	西人搞騙案大戶放謠言港商變僑商
page 5	生絲輸美減日絲反增多
page 5	倫敦銀行家月刊稱法國缺乏英鎊
page 5	來途稀少上米價升
page 5	謠言孔多金市步瀉
page 6	大會場中形形色色王正廷臨場最早
page 6	一夜豪雨鉛華洗盡全運保項競賽成績優異男子田徑台灣省獲分最高雨後場濕網球賽暫停一天
page 6	昨日田徑賽中多項破全國紀錄徐天德百公尺成績很出色台省男女組奪標希望濃厚
page 6	女子推鉛球北平台灣兩選手均打破全國紀錄
page 6	舉重比賽馬來第一
page 6	女百公尺賽分十組舉行
page 6	世運隊在菲大勝埠際隊葉鄒黎何各進一球造成四戰四勝紀錄
page 6	菲島籃球隊大顯威風運用複式擋人法戰術六四比卅六打垮安徽
page 6	各場籃球戰績廣東香港均勝利
page 6	女子低欄
page 6	男子跳高
page 6	香港擊敗河南
page 6	警察足球隊大捷七比一勝四川隊趙富個人包辦七球暹華六比零勝福建
page 6	海軍全運代表隊連百餘人由隊長賈逾仁率領於四月三十日午由京抵滬
page 6	六千人大會操動作美觀操練簡單八萬觀眾齊聲叫好
page 6	排球賽開始台灣小姐勝安東滬寧兩軍均勝仗
page 6	選手們的動態
page 6	空軍步伐整齊香港派頭十足
page 6	學界籃球賽皇仁勇克喇沙初級組油麻地內鬨
page 6	台灣男女選手在上海中正公園體育場跑步姿勢
page 6	織造小球隊戰勝永安
page 6	觀眾不守秩序造成慘劇
page 6	公民籃球隊今日征穗
page 7	中山赤溪間海面不靖荔枝山附近出現大批海盜江門湛江一帶輪隻都停航
page 7	慰勞穀一日一變強徵隊亂拉壯丁三水各鄉搞得鷄犬不寧
page 7	開礦破壞風水棚廠被人燒光了佛山官窰醞釀械鬥
page 7	佛山求饒之聲議員請減徵兵配額
page 7	揭陽風聲鶴唳縣府下令戒備
page 7	一個月的薪水只夠買十斤米惠陽公務員啼笑皆非
page 7	大埔
page 7	新豔秋獄中稱病求釋
page 7	滇黔邊境多事圭山區有民主解放軍內有女學生化名朱大嫂屏邊蘭坪已為官軍收復
page 7	安徽的民主奇觀含山議長被打逃到蕪湖當塗參議會流亡於南京無為參議員曾集體出奔
page 7	屏邊失守情形陷城者打起光天化日旗自稱是公平主義的信徒
page 7	瓊島定安縣緊張鏡頭縣長游泳突抓住女屍
page 7	寶安保警叛變烏石鄉民倒霉奉令賠償官方損失
page 7	廉潔的姿態縣府關後門懷遠縣長表示決心
page 7	軍糧需要急長沙糧價漲
page 7	禪讓保長江華一宗希罕的事
