page 1	社評賀總統就職典禮文
page 3	菲總統作親善表示說兩排華法案太嚴厲將要求國會重予檢討
page 3	暹政府縱容暹軍人國防部各首長辭職軍隊迭犯罪且涉及劫金案鑾查納等以無法控制引退
page 3	荷蘭王宮失火房頂大部被焚毀
page 3	印荷宿怨解決有望印尼人民陣線發表聲明贊成成立合眾國的計劃
page 3	美原子能工廠工人下月罷工
page 3	對日和會澳洲贊成蘇主張四強應有否決權抗議美扶植日本復興
page 4	華商會推出監選員革新派人士都退席兩派辯論激烈會場掌聲不絕
page 4	開始推監選員兩派激烈舌戰
page 4	革新派會後發聲明陳述退出會場理由
page 4	監選員名單
page 4	許讓成大喊但沒有反應
page 4	時近端午節當局配糯米
page 4	海盜還在流浮山
page 4	總統就職典禮本港慶祝程序各界紛紛捐贈獎品禮品
page 4	華商會場點滴會場熱鬧驚動老婦民權初步看誰熟悉
page 4	今日遊行隊伍港府限制車輛每隊不得超過卡車二十五輛
page 4	維斯達返港
page 4	人力車夫請求減租勞工處認為不必要
page 4	夜間雇女工工廠被罰款
page 4	中醫生被控用西法打針律師辯護說是中國針炙
page 4	一個大學生行使他人支票說是女友給的昨被法庭判刑六月
page 4	跌下棉紗包壓傷三個人
page 4	時裝婦人疑患痲瘋
page 4	新界學童出走警署嚴密注意
page 4	菲華僑捐款助龍城居民
page 4	粉刷工人跌下斃命
page 4	屠房狗欄閒人免進
page 4	李樹芬飛美
page 4	為了搶水大打出手
page 5	黃金漲跌因素並存市場人心呈動搖勢息價去六分交收一萬一千五百兩
page 5	福建工業建設與資本近貌福州特約通訊
page 5	直接自日本辦貨的確有很多困難多由朝鮮和菲律賓轉口
page 5	九龍關公布關稅減讓表根據關稅貿易議定書
page 5	武漢金市瘋狂高攀
page 5	股市昨轉旺成交百十萬
page 5	各埠金鈔續升中國幣內匯疲軟期鈔昨交收七億元
page 5	海口銀根日來仍緊國中交運來千億元
page 5	管制國幣黑市有待香港協助如何密切合作正在洽商
page 5	對待日貨兩種態度
page 5	香港工商業往何處去
page 5	香港商場今非昔比
page 5	短期國庫券昨折扣掛牌
page 5	粵海關開始實施減低美貨進口稅廿二國家貨物同樣辦理
page 5	義紗抵港六百餘件價值八十餘萬元
page 5	全國行莊存款　額
page 5	上海物價一致回漲廣州食米紗布挺秀海口米降土產淡銷
page 5	民族工商業將何以自處
page 6	中山大學學潮未已文法師三院又罷課廿四個學會社團聯合聲援籌建泳場事件發生新問題
page 6	本年夏令足球賽借場有問題蔡惠鴻對記者表示無法解決勢將停辦
page 6	黃婉貞改今天返港
page 6	中山大學學術研究費本月起增發
page 6	龍虎鬥由港移穗國術協會開會討論
page 6	港穗澳三角埠際小球賽下月中旬恢復舉行小球會選出新職員
page 6	蔣主席夫婦接見全運華僑選手盼海外僑胞自愛自立自強
page 6	北大本年招生共分五區舉行
page 6	湘省教師請願要求待遇平等
page 6	昨宵籃球賽鐘聲勝青年會末場記者小勝志聯
page 6	談世運籃球組隊
page 6	基頻教育會議明在滬揭幕教學分會開檢討會
page 6	華北區籃球隊再戰受挫黑白六四比六零黑白險勝水真娘子軍輕取前線
page 6	教部召開會議審查化學術語
page 7	海南島上戰雲低迷樂東被困儋縣圍解
page 7	便衣人員闖入銀號捉去十六人全市震動江門為此曾戒嚴一晚
page 7	花園飯店以缽種烟九江破獲種毒案
page 7	賓雞失守前後的陝南上
page 7	佛山工業臨末路土布業半數關門紙傘業全部停工銅鐵業奄奄一息
page 7	光十五日寄污吏被擄要槍去贖
page 7	潮汕歸僑有家難歸還鄉之後備受敲詐番客費居然要到幾億元歸僑證要花港幣纔能領
page 7	聽說實騐土改南海大戶恐慌
page 7	湘桂邊境發現數百強徒
page 7	澳門自殺風益厲近數日一天一起
page 7	重慶查禁中庸道川西北紅燈教被打平綿竹一帶貧民吃觀音土
page 7	廣西風雨南寧大水淹沒船隻桂林雨後湖山生色
page 7	考騐楊妹六一結束考騐中發現一特殊現象空氣好時她的精神也好
page 7	溫嶺自衛隊跑上紅花山
page 7	太太當警察海寧縣有之
