page 1	社評新監察院的任務
page 5	梧州一週經濟可說明鬆暗緊出口衰落每下愈況
page 5	港幣跌銀根鬆
page 5	南京銀樓停市五洋繼續堅挺傳央行印萬元關金券
page 5	物價疲桐油漲
page 5	天津經濟戒嚴端節漲風稍殺食糧紗布均趨平穩
page 5	五月出口結匯統計
page 5	滬米價繼續堅挺穗米紗桐油步升汕米麵揚紗布穩
page 5	穗市金融市勢轉定港幣黃金均稍升
page 5	星港匯率起變動黃金回漲國幣穩尼加幣市勢呈牛皮
page 6	打破球壇的沉寂空氣中青球房黑白操兵世運大軍下月過港嘉山麓明晚戰幕初開
page 6	華都飯店客軍訪問記
page 6	客氣一番蔡領隊有點事出去
page 6	廣州中上教育近貌下
page 6	網球賽昨改期今天女子兩場
page 6	籃球頒獎賽改期舉行
page 6	世運足球隊勝吧城選手經過三比零世運隊控制全場英祺松生應芬各建一功
page 6	點將論英雄
page 6	金銀泳場揭幕游泳競賽成績
page 6	世運足球隊戰和三寶壟
page 6	下半場
page 6	全馬足球界精銳準備對抗世運隊籌組聯軍開始選將
page 6	老惠歸鴻第七函
page 6	港工業學校建築班招生
page 7	五邑各縣趕辦聯保檢查身份證流弊多
page 7	亂槍掃射電船三人慘被擊傷增城血案哄動全城
page 7	縣人治縣閩省府在試行
page 7	悅城龍母娘娘快要做生日了
page 7	攜帶逾額法幣入澳被罰葡幣一千餘元
page 7	天天七日寄宜山有虎患居民想遊神
page 7	新會數醫生收到打單信勒索幣五千元
page 7	鶴山暗殺記者案兇手一名已捕獲據供係縣黨部秘書主使兇手亦為黨部行動組員
page 7	合浦通信珍珠的故鄉
page 7	洋場迷信石翁仲被拆台仍有人去膜拜還有人願出錢替它搬家
page 7	蔣緯國升官
page 7	蘇北贛榆縣長掛冠坐人力車悄然南去
page 7	夏行秋令桂樹開花
page 7	徵特捐笑話百出北平城百餘富戶胡海門兄弟列名胡海星發表長信大訴其苦請何思源等節約莫坐汽車
page 7	不願被捉入營安化壯丁弔死
page 7	繞彎子說話先恭維後拒捐
page 7	船主看破紅塵慨捐千噸巨輪將自滬赴杭入山為僧
page 7	槍決毒犯一人而已武漢禁政側面觀
page 7	三千字長函胡海星妙文一斑
page 7	乾柴濕柴
page 7	願隨何鹿之後財產公諸報端
