page 1	社評中國的製藥問題
page 5	仰光一週金融動態節關將屆僑匯旺盛民匯牌價跌至四盾銀行牌價依舊卻比民匯貴三倍半
page 5	適應出口需要外匯牌價昨晨調整美匯升一五萬元英匯升四五萬元港匯升二八千元印匯升三三千元
page 5	試論我國化學肥料工業的前途上
page 5	首批美援物資棉花千二百包抵滬後由中紡保管中
page 5	穗市匯價同日掛高
page 5	銀根抽緊物價平疲滬京反應尚好
page 5	息單禁用後汕頭現鈔奇缺商界希望恢復押匯
page 5	台灣銀行發行大鈔分五百洋千元兩種
page 5	二號捆線准出口現價每擔約四十五元
page 5	四金管局擴充區局南昌擬劃歸漢局
page 5	美國產金各州代表提議設立黃金自由市場咸認具有反通貨膨脹的效果
page 5	滬物價穩雙馬紗上揚穗港幣貨回國幣貨挺梧州各種物價同步漲
page 5	調查各地農產農林部組四個調查團
page 5	百物步升麵粉最高
page 5	金潮澎湃一路領先
page 5	短期國庫券增發半用期利率保持市場水準
page 5	福州物價蠢動五月上旬銀根普遍鬆濫
page 6	足球總會七人特委提議建築足球場館可容觀眾一萬五千人總會今日將提出討論
page 6	港選手二批昨返港游泳健兒今日凱旋黃婉貞廿一日赴英倫
page 6	七人特別委員會第二項建議書觀眾的管制
page 6	今宵學籃有劇鬥保羅對喇沙保羅戰勝即獲冠軍同晚皇仁出戰培僑
page 6	世運隊在西貢戰和南圻甲十九日抵星洲預定比賽四場
page 6	大戰前瞻
page 6	人民體育的喁望
page 6	台杯賽巴西遭淘汰
page 6	華僑子弟免費學校建校經費不敷周埈年向僑商呼籲
page 6	華僑選手一批抵京
page 6	中山大學罷課潮問題越來越多
page 6	學生情緒仍未寧貼議決繼續罷課一週
page 6	中山大學學生黃霞溺斃今天追悼
page 7	海南徵兵越逼越緊許多壯丁棄家逃亡有的跑南洋有的逃上山
page 7	行總物資填海案廈門地院提起公訴了
page 7	煙賭遊行石龍煙鬼賭鬼出動
page 7	榆林港的滄桑戰前是冷落荒涼的孤港淪陷後因禍得福成巨埠戰後一切復原又蕭條了
page 7	封鳳子滬上完婚趙清閣為人作嫁
page 7	本月七日天忽變暴風雨遍襲湖南衡陽岳陽邵陽耒陽倒屋傷人瓦石滿天飛百年老樹連根起
page 7	榮譽教師鄂中小學校將公選
page 7	鄂省講習動員戡亂
page 7	河南參議員決誓死請命
page 7	鄂教廳整飭武漢學風決定的辦法有十二條向外勸募或演劇籌款都禁止
page 7	天南地北到處流浪
page 7	潮安蛙互鬥幾萬隻互相肉搏鳴聲悽哀死傷的都被拖去一個不留饒平也曾有同樣的事發生
page 7	湘省中學教員準備全體改行如果待遇不能合理調整的話
page 7	演講心慌怎麽辦
page 7	向香港教育當局建議
page 7	學習心得歷史上的年代怎麼記
page 7	值得推薦的書縱剖了的中國歷史介紹蒲仞的二千年間
