page 1	社評我們需要一個基本改革的經濟政策
page 3	新德里通信紅堡審判的序幕謀刺甘地的兇手該怎樣發落
page 3	美共和黨大會日內即將召開嚴防非黨員混入會場
page 3	聖地問題英美已獲默契蘇建議被否決
page 3	杜魯門手足無措自蘇聯向美國發動和平攻勢後杜魯門給對蘇關係弄得手足無措想不出對策來
page 3	用火箭投原子彈英澳正在研究中
page 3	太平洋美託管島嶼蘇主由安理會處理將再發動保留否決權鬥爭
page 3	三巨機失蹤之謎國籍不明去向不知
page 3	日本戰爭罪犯絞決幾名未定英首檢察官談片
page 3	南韓漁舟被炸美國表示遺憾
page 3	日人民負擔重本年每人要納稅四千餘元
page 3	德人要求統一千餘萬人簽署宣言爭取民族自決權利
page 3	西德幣制改革週內即將開始傳各銀行已收到新幣
page 3	為求議會批准法謀修改六國決議皮杜爾正向英美疏通 
page 3	蘇不承認六國決議指出違反波茨坦協定
page 3	蘇同意十國會議討論多瑙河通航問題
page 3	美擬建摩天樓高過蘇維埃宮英規定電影院少映荷里活片
page 3	蘇婦人與英籍丈夫離異美小孩要親生老母賠償
page 3	英重視緬總理聲明貝文約晤緬大使商談英駐緬總督說蘇聯勝利了
page 3	進出口貿易交由國家管制英將擴大清共各軍事部門決採行動
page 3	旅美僑商限制改善曾住過七年的有永久居留權離美返國可領再入境許可證
page 3	英蘇貿易談判即將恢復進行
page 3	莫理遜認失言邱吉爾頗得意
page 3	不聞此調久矣崛內又談中日親善
page 3	印荷爭端荷蘭不願政治解決拒絕美澳兩國建議
page 3	為了討好美國暹大捕我僑胞五十餘人被指為不良分子
page 4	經一小時餘激辯後償債法例三讀通過羅文錦周堎年極力反對無效周說僑商寧願接受法庭判決
page 4	軍票港幣比率蘭度爾說是好妥協
page 4	法例關係重大應有很充分的理由
page 4	有關債務法律律政司昨有所解釋
page 4	屏山拆毀房屋政府將予賠償
page 4	參加工展代表定十九日返港
page 4	出海漁船將有收音配備
page 4	閱兵禮今天補行交通路線有改變
page 4	無稅香水帶者有罪
page 4	謙士和考察歸來對盟總工作大為稱許港促進對日貿易盟總極讚賞加強推銷能力生意更有可為
page 4	據說思想有問題僑校教員被解聘
page 4	菜為甚麽貴連卡拉佛及牛奶公司都說他們有特別原因
page 4	陸存煊醫所昨晚被賊搶
page 4	限制日貨傾銷問題英殖民部將予討論工展代表團在英活動結果
page 4	華商總會訟案高庭今晨宣判
page 4	秘密煙窟西營盤紫薇街破獲一所
page 4	強徒淋鏹水一婦人受傷
page 4	建築業繁榮手紡業衰落
page 4	旅店呈報廿二截止逾期不辦將受處罰主管當局昨天發出布告
page 4	隱匿罪跡嫌疑青年男子被控
page 4	遞煙給肥婆蘇何庚元要罰款
page 4	港聞點滴
page 5	荷印加強貿易管制新興印尼輸入商代替華僑地位
page 5	華僑經商困難四點
page 5	荷印舊鈔解凍後荷幣升值成問題
page 5	華北游資南來目前已達萬億央行派員飛平處理
page 5	我國貨物輸馬銳減馬來商品輸華突增今年四月不到四千萬元原因是棉織品入口減少
page 5	中國輸入減少原因
page 5	穗市今日起實施新結匯辦法指定銀行議決兩點
page 5	近三年來雙方比較
page 5	出口業對結匯辦法提出六點改進意見結匯證市價應由指定銀行掛牌
page 5	特種外幣存單日內即行發出總額千餘萬美元
page 5	滬金鈔漲勢頓挫結匯證書八一萬申匯徘徊三元左右金市沉寂美匯靜閑
page 5	澳穗金價平滬金價稍升
page 5	滬物價一致小回穗茶油土生絲挺海口汕頭百物漲
page 5	瓊島生豬出口限定數額放寬每月增至八千隻
page 5	緝獲私貨全部沒收貨物十億金六十億
page 5	台灣水泥暢銷菲島五月達千三百萬噸
page 5	梧州一週經濟港幣小跌大漲
page 6	港菲籃球演壓軸戲黑白出師戰全運隊今晚仍在南華場交鋒賽前加插娘子軍表演
page 6	黑白大軍明晨征穗當地預排比賽四場粵省體總幹事林宏同來港
page 6	穗隊磨礪以須
page 6	世運點將錄一
page 6	團體網球賽昨天六戰今天三場
page 6	董守義函告蔡惠鴻世運隊行期請預編籃球比賽秩序十八日抵滬作戰三場
page 6	我旅英僑胞歡迎世運隊
page 6	達德學院定期招生
page 6	談談全運隊的戰略
page 6	七種畢業生學歷釋疑教部電覆台省教廳
page 6	仿林中學校友組織象社
page 6	全運獎章領取手續
page 6	蔣吟僧法庭告狀韓尼波昨被拘捕東青糾紛另起波瀾
page 6	恢復遠運先聲中菲兩國籌組運動會將於一九五零年舉行
page 6	全港中學生國語演講比賽昨天舉行頒獎典禮
page 6	美人魚暫停活動周淑嫻快請薑酌
page 7	瓊島風雲日緊文昌蓬萊市被攻佔石祿礦山員工糧食漸成問題了北黎一帶資委會人員惶惶不安
page 7	早造收獲鬥爭潮汕共軍準備大舉搶穀普寧縣府也多了一個
page 7	粵九區專署科長暴卒鄉人控告謂係族人謀財害命有人見其叔之妾以狗血淋墓
page 7	重慶通信經過考驗後的楊妹
page 7	粵三區新專員莫福如已上任
page 7	一特派員在澳被捕昨解出澳境由粵省軍警拘拿
page 7	揚州瘦西湖今年更瘦了
page 7	小學生做小偷新會警察一次抓到三個每人犯案至少都有三次
page 7	可憐的法幣五百萬元綑成一紮小孩子們常做球踢
page 7	江門四十四家錢莊奉令即刻停業清理
page 7	教育部對不住人陸志鴻解職後無錢離台魏道明知道了聘為顧問台大學生替他募捐旅費
page 7	桐江鰣魚第一條上市獻給父母官
page 7	無錫一議員如此不堪揩了妓女的油還打妓女被抓進警局便前倨後恭
