page 1	社評困惑中的英國工黨
page 4	崇正總會新職員就職
page 4	九龍人力車夫昨商討減租事
page 4	本季游泳第一犧牲者
page 4	ＸＸＸ入水能游出水能戰
page 5	港日貿易經營途徑因產量成本外匯關係日貨來港不多織物海產瓷器玻璃最影響香港市場
page 5	經濟要談
page 5	進口商人也有苦衷
page 5	我方需要美援物資開出二五八項目
page 5	進口結匯新辦法修正前後的內幕
page 5	外匯缺乏真正原因
page 5	合理合法尚待研究
page 5	國際貨幣基金會對於匯率問題的八點意見
page 5	梧州一週經濟港幣黃金暴漲牌價等於馬後砲炒買賽過踢皮球
page 5	週來物價又起波動
page 5	閩省財政難題全省全年收入不及浙之紹興
page 5	出口物資中純錫漲勢兇
page 5	起跌大的金鈔
page 5	申匯與穗市物價
page 5	減低關稅的實施
page 5	私套港匯的密碼黃豆代表港幣米字代表美金橫字代表金條
page 5	行局修正匯率
page 5	四月份的香港貿易數字
page 5	荷印僑商的厄運
page 5	四月出口結匯統計
page 5	暗息高倒風起
page 6	我世運隊軍心振奮昨日大勝馬來聯隊四比一永強松生文良各建功大軍提前今日飛赴爪哇作戰李惠堂盛讚星聯精神
page 6	新美人魚今晚表演
page 6	戰後談兵世運隊在越作戰三場分析當地球迷的觀察
page 6	西貢賽球花絮謝文良惹人愛載李惠堂激將成功座上球迷呼豬仔攝影記者滿場飛
page 6	當前童軍訓練問題下
page 6	兒童球賽昨天頒獎
page 6	中山大學學潮將告一段落校方處理態度強硬
page 6	足球友誼賽明星勝球證雷公嚇退楊工良
page 6	粵穗選手盡歸來各項成績總檢討收穫冠軍共六項
page 6	聯教組織派員來華調查教育重建工作參觀日程由教部擬定
page 6	國民學校基金籌集辦法修正
page 6	群英義學呼籲贊助
page 6	下屆全運在台舉行魏遒明表示接受選手榮歸民眾大歡迎
page 6	太古福利會續辦球賽
page 6	中健乒乓賽今夕八場
page 6	地方國民教育經費整理增籌辦法教部通令遵照施行
page 7	官方竟也岐視法幣不再罰款改罰實物穀米槍彈都成罰繳對象潮汕一帶有此奇怪規矩
page 7	遺書一封
page 7	中山新會邊區護航工作加強大鰲沙設護航機構
page 7	多雨的西安馬鴻達過境大受歡迎關麟徵還鄉閉門謝客
page 7	寶鷄之戰徐保師長死於鐵甲車裏所有銀行宿舍全被搶光
page 7	永昌電船沉於封川乘客廿餘溺死艙內
page 7	僑民師範易長
page 7	梧州一鎮長上任排場大
page 7	養得活人家救不了自己各方都到湖南買米糧價大漲湘人恐慌
page 7	澳門又有一青年自殺從國際酒店七層樓上跳下遺書文託在港朋友轉交其母
page 7	延豹廿日寄不花一文錢回到新加坡嶺東僑胞一批回星
page 7	十九日寄瓊島田獨鐵鑛改用新法開採石祿礦山籌劃復工
page 7	初步照料中的楊妹收入少支出多排出的小便遠超過吃進體內的生水
page 7	崇武海面緝獲日船載有大批走私物品
page 7	持菜刀戴面具學徒夜砍廚夫連環圖畫害了汕頭一小孩
page 7	孩子們打架竟動刀殺人海口一件兒童官司
page 7	包公案重見今日用鍘刀鍘死犯人死者的血並被用來誓山西孝義整肅風紀的故事
page 7	海口壯丁武裝逃亡截緝船隻反被擊退百餘新兵圖逃亡未果
page 7	桂陽保警一部叛變
