page 1	反對德萊柏計進
page 5	建築鋼條市勢穩證實法貨五金須付美元
page 5	英國五金少量成盤每擔三十四元
page 5	一外匯政策與貿易政策
page 5	二現行出口結匯的利弊
page 5	三輸入限額分配對工商業影響
page 5	穗米麵紗布茶油挺汕米紗揚麵油布回
page 5	星椰油重臨慘境原料來源短價格飛騰製成品難銷市勢不振
page 5	破獲秘密電台專收香港行情搜出商號名冊複本
page 6	全港團體網球聯賽今天下午揭開戰幕男女混合賽兩場舉行
page 6	香港不平凡的球賽港馬羽球對抗西洋會場擠滿了球迷港將水準低馬華全勝
page 6	世運足球隊抵星洲
page 6	第一週賽程
page 6	馬華籃球被輕視吳再興憤憤不平台灣選手一切表現都好馬華隊實在望塵莫及
page 6	男女混合雙打
page 6	我世運足球隊勝馬聯續詳鄒文治表演最佳
page 6	香港健兒榮歸協會定期祝捷
page 6	穗警二次出師一比一和澳聯
page 6	高級學籃賽今演壓軸戲
page 6	北大定期招生七月廿四日開始考試招生簡章已擬就公布
page 6	體壇即景
page 6	陸軍射擊徑賽大會昨在台舉行參加運動員二萬人
page 7	英德進行剷煙之戰西鄉一帶有煙苗數萬畝防軍進剿煙民退向陽山
page 7	成都通信笑的縣城哭的農村鬧紅燈教的川四北的綿竹是歷史上的名城以產種有綿毛的竹子著名可惜存種不多如今已成鳳毛麟角了
page 7	樂育文醫學院梅縣人士籌備設立
page 7	人命有價鄉民機鬥誤斃駐軍賠款一億數千萬元
page 7	粵漢路狗牙洞支線月中已在坪石開工
page 7	十九日寄韶關機場在修築中
page 7	江華發現鎢礦
page 7	桂平一大仇殺案鄉農吳桂合被族人槍殺其母及弟亦被殺投河中
page 7	一女同時嫁三人兩男竟與一女睡桂林最近的兩件趣事
page 7	五二○週年前夕長沙市宣佈戒嚴
page 7	名義之爭桂林師範學院學生反對改名南寧師院
page 7	汕頭東南堤建築費無着工程只好擱置下來
page 7	湖南水災情況嚴重湘資沅澧兩岸多成澤國長沙湘潭益陽大水入市沅水上游並曾沖倒一山
page 7	諸暨亦有人二月不吃飯
page 7	鄉下人哭戰亂後十室九空許多人吃觀音土
