page 1	社評應該召開對日和會
page 5	廣州十三行各倉家近採聯保辦法規定舊會員五家每家出五百港元如遇倉家倒閉由餘四家聯結清理
page 5	全國存棉三十萬包上海棉價瘋狂上漲新棉上市前缺四十萬包廿支原棉每擔直衝一億四二支紗竄出七億元關
page 5	世界黃金生產難望大量增加紐約金鑛股票看好
page 5	滬結匯證九十八萬金鈔黑市上升多
page 5	紗管會代理主委報告半年來工作原棉需要數量龐大有關各方應速開源
page 5	從幣值跌落的特徵推論國幣前途
page 5	穗市金融繼續波動黃金外幣人心看好結匯證高價七八萬
page 5	煤棉織品輸出激增
page 5	潮汕米荒嚴重揭陽每斗三百萬汕市日銷三千擔
page 5	台幣匯率昨起提高一比五五二元
page 5	國幣內匯市勢轉定
page 5	市場陷入休憩狀態金價上漲可能性較下跌為大遠東金市吸納力較以前為弱港金漲跌的幅度較去年為狹
page 5	黃金市場平靜呆滯
page 5	各地物價一致上升澳門金鈔內匯下降穗汕米價千五百萬
page 5	英國五月份出口總值增比四月超出三五○萬鎊
page 5	國幣匯價續降金融行情平穩三種紗籠暢銷
page 6	黑白征穗四戰兩敗昨受挫粵穗全運隊客軍全體今乘車返港
page 6	傑志南遊說復熾下週內可能出發
page 6	乒乓球總會籌辦公開團體聯賽明天起開始報名
page 6	公開籃球聯賽漸入緊張階段今晚三場將有劇戰
page 6	芬馬拉松名將創二項新紀錄
page 6	光華大夏兩校學生推派代表晉京請願要求教部改兩校為國立大學
page 6	看黑白挫民大後
page 6	馬華水球隊將出席世運
page 6	鍾志強函全運各選手注意領取襟章
page 6	蔡惠全受挫捷選手
page 6	郝更生抵星
page 6	港棍球隊抵星首與民聯對壘
page 6	十九日寄綱球聯賽今天六場昨戰因雨又改期
page 6	培正定期舉行畢業典禮
page 6	中健會舉辦男子投籃賽
page 6	教部長朱家驊視察青島學校
page 6	武大農學院增設兩學系
page 6	國立海疆學校派員赴星招生
page 6	九龍商會泳池定期開幕
page 6	滬市教局舉辦偽中學生甄審
page 6	教部續呈准政院各縣市設教育局
page 6	澳教育訪問團離滬飛京
page 6	韓尼波匆匆來港籃聯會幹什麽事
page 7	湛江水災毀屋百餘滿門滅頂者有六家
page 7	嶺東大雨韓江水漲
page 7	生二十日寄金中校產租費收實物　漲百萬倍汕市租客表示反對
page 7	縣長和他的太太谷正綱禁所屬隨身帶太太說帶去上任就是準備貪污
page 7	恩平水災後災民吃糠皮
page 7	真名馮愛琴曾經做舞女
page 7	岐澳車傾覆紅侍女發瘋澳門點滴
page 7	石龍大水中兩般景象農民修堤割稻忙得焦頭爛額公子哥兒別有閒情划艇取樂
page 7	上海楊妹原來如此姓名是假的丈夫也是假的雖然不吃飯但常常吃麵食一個和他同居過的男人把謎揭穿了
page 7	有一個特點可以四五天不吃
page 7	發揚民族氣節拒絕收買靈魂張奚若等退還配購美粉證
page 7	我做錯了邊說邊流眼淚
page 7	中央研究院派員檢驗她她想和楊妹做朋友
page 7	雲南麻瘋多患者逾萬人
page 7	張黛琳諱談身世但堅決說確曾九年不食
