page 1	"社評省縣自治的財政基礎"
page 4	"萬福士輪被劫案高等法庭昨提審由新按察司捷臣主理今天上午仍要繼續審訊"
page 4	"園林署徵聘植物助理員"
page 4	"一留再滯之後重慶靈甫行矣羅拔遜祝艦上官兵前途遠大兩艦官兵回說感謝他的幫忙"
page 4	"法官有情小販被罰款法官代他出"
page 4	"大鯊魚在赤柱捕獲重三百多斤"
page 4	"一船兵過港兩日逃七人"
page 4	"閉門拒警罰一百元"
page 4	"旺角避風塘附近民英撞沉飛熊船員十人均被當場救起"
page 4	"李麗蘭自殺救治後尚未清醒"
page 4	"女教員想學做生意錢未賺到惹出官司"
page 4	"走私船舶罰金提高二十萬倍"
page 4	"酒樓茶室組昨天選委員"
page 4	"研究輸管制度華商小組會將再會商"
page 4	"糧食燃料上週價格公布"
page 4	"東南亞首長們談些什麽新聞處方面說平常得很"
page 4	"翁屈聯婚"
page 4	"小論乘客投海遇救"
page 4	"澳門小姐失事詳情今天在立法局宣讀澳門海面發現一浮屍一般相信係罹難乘客"
page 4	"男子陳松潤被控恃械強姦"
page 4	"羅文錦返港"
page 4	"德輔道中一場虛驚"
page 4	"因為生意不好航空公司出頂"
page 4	"抱女跳海婦人定期廿五審訊"
page 4	"壯年男子失業自殺"
page 4	"拳師欺人范連打傷住客為要迫他搬家"
page 4	"是愛是恨尖沙嘴聖瑪利學校門前陳至煥被男友刺傷多處"
page 4	"旅業去函評委會再講限價的困難"
page 4	"更練有功四人獲獎"
page 5	"國幣內匯全面下降申匯尾市成五元七角五現鈔大量湧到價隨盤低"
page 5	"暹羅汕匯又呈低瀉"
page 5	"各地現鈔奇缺下週大量發行穗昨日已發出萬億"
page 5	"台幣匯率今又提高一比一四九七元"
page 5	"金市依然沉寂美匯美鈔轉疲"
page 5	"荷印限制外匯將減低輸入額傳十月起只剩百分之十"
page 5	"暹金轉堅美匯價俏"
page 5	"印對外貿易出口額增加"
page 5	"法國鋼鐵供不應求以前訂貨現只零星運到傳今後須付美元說不確"
page 5	"糖薑出口今起結匯以美元交易者結半數"
page 5	"滬物價指數上週五五○萬倍計漲百分之十一"
page 5	"洋紙市回醒我國韓菲均有扯銷"
page 5	"國華銀行辦理港暹結匯"
page 5	"穗結匯證價跌央行收購價五百萬"
page 5	"海關稅則關稅減讓不適用"
page 5	"銀行提高押匯洋行多家停業"
page 5	"股市清淡匯豐仍秀成交總數廿六萬餘元"
page 5	"攜帶現鈔到穗限額改為三億財部決定將即實施"
page 5	"滬紗布人絲升穗米紗菜油漲汕金鈔物價挺"
page 5	"我國對日易貨七月出超八十餘萬美元"
page 6	"世運競賽一宗抗議事件四百接力錦標重歸美國原判取消英國隊仍居第二昨天足籃球賽有劇烈爭奪"
page 6	"泰晤士河划船決賽英美各得金牌兩面"
page 6	"從世運隊失敗說起"
page 6	"曲棍球賽英勝巴基斯坦印度力克荷蘭"
page 6	"次輕量級舉重比賽美國選手創新紀錄"
page 6	"三幕籃球爭奪戰韓國智利同遭淘汰巴西隊勇戰勝捷克籃球規則將有更改"
page 6	"我籃球隊十四返國"
page 6	"英王招待我國選手王正廷等代表出席"
page 6	"各國積分統計"
page 6	"李惠堂留英三週考察體育"
page 6	"自由車比賽義法得錦標"
page 6	"督憲盃賽權益我力爭失敗六項意見僅接納一項"
page 6	"港菲埠際賽廢歷年舉行"
page 7	"軍區接受各縣請求決定展期開徵新兵開徵期由各區分別訂定省參會請省府禁拉壯丁"
page 7	"汕議會大會流會後陳偉烈議長被罷免汕市五區公所舉行公民投票以十對一的優勢通過罷免案"
page 7	"整理沙田發生困難土地改革之聲影響補價工作"
page 7	"生活指數突增穗各機關受窘七月份薪金多難如數補發"
page 7	"虎門海外緝私走私米萬斤被緝獲"
page 7	"穗集團結婚還沒人報名"
page 7	"韶庾路限帶現鈔違者鈔票沒收人處徒刑韶關商會籲請收回成命"
page 7	"穗商會大會下月開社局黨部召集各理監事座談兩小時中幾度鬧僵終獲協議"
page 7	"陽江一副鄉長率眾焚倉逸去"
page 7	"拒用小鈔倒霉在文昌被罰打屁股在海口罰排隊遊街"
page 7	"韶關金舖怪客常臨"
page 7	"臨時流通票河源已發行"
page 7	"惠陽風雨之災死了一百多人船隻吹沉了一百多艘"
page 7	"點驗縣警保安部派員到各縣"
page 7	"乞巧節即景牛郎織女坐上小汽車一座雀橋一億五千萬"
page 7	"饒平緊張共軍迫近城區連日戒嚴警備"
page 7	"廣州捉拿車上霸王兩百餘名昨天落網"
page 7	"催兵急國防部限下月中繳齊"
page 7	"鴉片戰爭的滄桑清除林則徐封河石塊將借用香港潛水銅人"
page 7	"穗貨物稅局長由熊哲身繼任"
page 7	"思凡為何禁演"
