page 1	社評鑾披汶小試排華
page 6	十五個國家參加世運騎術賽每人准攜馬二匹
page 6	黃兩正在京試跑中攔再創新紀錄
page 6	留美學生人數我佔第二位
page 6	台杯網球複賽捷克勝北利時
page 6	他不願和王正林合作也不願聽到他的名字
page 6	居聯會竹園洞新泳棚昨開幕同日舉行各項水藝
page 6	體協分會今日會議
page 6	保羅同學會改選新職員
page 6	世運紀念郵票開幕後即發售
page 6	中教研究會議前日在滬閉幕
page 7	保安團隊西路失利後瓊島空氣轉趨緊張海口連日捕人縣府科秘入獄數十遊民被驅幾家旅店封門曾傑之死一說在那大一說在白沙
page 7	八千餘輛汽車將撥瓊島使用美援物資一部給海南
page 7	文昌壯丁偷赴暹羅越南附近風起舟沈部分淹死數十困居西貢寧在異邦受苦不願還鄉
page 7	大埔郊區戒嚴百候郵局被劫之日防軍槍彈擊斃鄉民
page 7	請鄉長吃屎增城朱村的事情
page 7	軍隊裝平民恩平募便衣城郊構築防禦工事
page 7	旅行帶法幣年省入粵准帶二億出入廣州帶五千萬進出澳門帶五百萬
page 7	長沙縣長拘投一月因妨害人民自由但卻又緩刑二年
page 7	台灣新兵舉衣為號百餘人在上饒逃亡四人被擊斃一人跳信江
page 7	蕭十日寄揭陽共軍設立縣府佈告遍貼各個鄉村
page 7	汕頭私娼數逾五千
page 7	烟一切都是烟成都大公館裏居然在種鴉片附近五縣是武裝種烟地縣長抽烟稅每畝十兩金
page 7	新娘不肯同房還想燒死新郎
page 7	光十一日寄女生廚子吵架普寧興文中學罷課
page 7	上海熱前天氣溫過百度
page 7	十三日寄三塊洋鈿一粒米耳上海米價大漲
page 7	馬凡陀包子出籠二十年名歌選就
