page 1	展望英國的財政
page 3	印荷談判遭遇意外荷代表團抵日惹受群眾侮辱警告印尼政府負責保證安全
page 3	暹新閣就職據說擇的是良時吉日
page 3	英下議院決議謀殺罪免死刑
page 3	狗咬人不是新聞滬外記者會要作試驗
page 3	杜魯門促國會撥款援華援歐
page 3	國際合作防癆廿七國批准組織規程
page 3	美要加強陸軍參謀總長要求國會保證最低限度有十八個師團
page 3	防止戰爭宣傳新聞會議通過議案規定各國共同努力
page 3	路易士被控告在法庭不作聲
page 3	如此法學理論侵略戰爭不是犯罪有些法官替日戰犯辯護
page 4	陷期償債法案問題港九華商昨日會議決請港府收回成命
page 4	干諾道中新碼頭六月初可動工
page 4	電話費將加價可能五月份起就要實行大概由十五元加到廿元
page 4	生活艱難收入少人力車夫要求減租香港方面車夫昨已停交車租
page 4	沙頭角豎界工作中英昨派員完成我方派徐景唐辦理
page 4	港府文員會現正積極籌備恢復將容納華籍公務員
page 4	加軍火一批明天運上海昨由島邊號運抵港
page 4	岑載華等明日赴英
page 4	界限街木屋多間限月底拆除
page 4	提高運費統一發載省港輪船昨起實行新訂運費每擔二元七角
page 4	淺水灣泳場昨正式開幕
page 4	水手被開除糾眾毆船主
page 4	南洋紗廠昨天開幕麥道高主持剪綵
page 4	徐繼莊案續審方建標再出庭作證今天仍要繼續審訊
page 4	老婆打丈夫簽保五十元
page 4	兩人海邊談戀愛男的推女的下海
page 4	喬裝搶劫巴士案三疑匪初審終結
page 4	牛奶公司業務好去年賺了二百卅多萬
page 4	荃灣有賊三家被搶萬餘元還對少婦施強暴
page 4	三歲女孩被殺警局扣留後母
page 4	今天續配麵粉
page 4	因入三合會要坐半年牢
page 4	兩人窩娼被罰
page 5	市場人士全面看好黃金漲風在醞釀中昨滬尾市黃金突升三千七百萬元
page 5	美匯穩貢紙疲金單美鈔銷活內匯市場鬆弛現鈔期鈔沉靜
page 5	菲島禁止港產膠鞋
page 5	金鎊集團缺乏美元英今年動用不超過二億美元
page 5	短期內可望公布實施自備外匯部分開放美援物資運用辦法出售國營事業辦法在商討中
page 5	電燈電扇全部壞了
page 5	加緊緝私後澳門倒風盛十三家公司因此倒閉
page 5	遠東黃金需求殷國際金市價格漲
page 5	短期庫券恐將流產
page 5	台灣嘉南大圳二偉大的水利工程
page 5	國內工廠南遷聲中內衣廠搪瓷廠遷港香港工業遠景未可樂觀
page 5	新定機器無法入口
page 5	美陝鄂棉一齊來棉花供應可樂觀
page 5	漢銀聯會已告成立又傳外匯掛高
page 5	粵鹽產銷萎縮鹽商二百家資本二千億年產減至四百五十萬擔
page 5	工商供應處不准星鐵出口事實上商人認為無法理解
page 5	游資南流猖獗工商營業清淡辦理購配物資抄獲金鈔店家
page 5	桐油輸出達七萬噸
page 5	海關發表二月分全國貿易統計進出口燭皂油脂多入超二千四百餘億
page 5	滬穗商情穗銀根略緊物價有漲落
page 6	粵穗及格運動員今日起入營受訓籃球拳擊兩項昨補賽
page 6	粵穗運動員入營須知
page 6	勝利盾賽軍聯陣容總會改期廿二日決戰
page 6	甲乙兩組足球賽南華戰警察星島對東方星東爭奪乙組冠軍
page 6	及格運動員名單
page 6	樓文敖載譽返國在美四賽四捷博得好評王正林將在洛杉磯訓練
page 6	華僑網籃選手參加全運
page 6	學界籃球三場結果
page 6	公開籃球聯賽各隊實力檢討
page 6	南華足球隊征菲十九日出發甲乙組兩隊合組成軍莫慶任領隊約賽六場
page 6	公開網球聯賽各方陸續參加
page 6	草地網球賽昨三場戰績
page 6	公開籃球賽明天開始全部賽程編定明天首戰三場
page 6	星島不敗錦標可得
page 6	東方表演失常空軍大捷
page 6	馬華足球選手廿日離星飛港菲華僑田徑代表選出
page 6	讀者來書世運足球員編號用拈籌方式決定
page 6	真光校友音樂演奏
page 6	總理故鄉紀念中學舉辦各項球類比賽
page 6	排球對抗週末賽程
page 6	英殖民部長表示恢復港大規模期達到戰前標準
page 7	曲江一大命案祖墳前面同姓相殘蕭氏五人死於槍下兇手竟誣死者為共產黨向縣府報案後已被拘押
page 7	鐵路服務年各路業奉令改善
page 7	粵漢湘桂聯運問題還沒解決
page 7	改善湘桂黔路木橋多換鐵橋來湛段紅水河鐵橋趕修中
page 7	是非只為多開口看打麻將竟惹禍被人戳了十六刀
page 7	曲江白石洞中捉住男女五人
page 7	舊賬未清新債又至粵省各縣為徵兵忙首期猶未了二期又開始
page 7	益陽鄧梅魁被殺後縣府繼續下鄉抓人
page 7	韶關糧食生意難做米店倒了四十餘家
page 7	百餘人夜入鶴山與團隊戰至天明城內糧倉一座被焚燬
page 7	司令養羊強徒垂涎
page 7	汕頭求雨花了十億
page 7	是誰教壞了兒童江門一對早熟的小孩演桃色案被關進牢裏出事的日子正是兒童節
page 7	廣九路上私梟活躍緝私工作同時加緊
