page 1	社評停止備戰趕快談判美蘇今天應走之路
page 5	對工業界有關結匯意見當局重提新辦法三四季工廠用限額許可證分三月結匯第五季交國行五成保證金按月給利息工業界認為不能接受
page 5	紗錠南移須先請准
page 5	全經會商討金屬品進口事宜通過不必進口金屬品卅種 
page 5	桐油走私減少紗布走私增多日人造絲侵入本港
page 5	榆林鹽產運輸困難每擔再跌至八萬
page 5	台幣匯率昨又調整一比三四八元
page 5	美匯買賣兩難黃金漲跌有限盛傳最近管制美匯
page 5	申匯昨突起滬金紗報落省匯期現鈔均穩
page 5	津穗漢渝京同售國庫券
page 5	黃金市場既淡且穩
page 5	澳洲產金減少輸英劫告增加輸出三十五萬餘盎斯價值千二百萬餘美元
page 5	整肅證券市場抄獲金鈔店家出現鉅額支票收兌小額法幣
page 5	平津申匯又起波動較前再升卅元
page 6	香港以壓倒優勢穩握女子游泳總錦標男子錦標港馬將有劇爭兩天來競賽多刷新紀錄
page 6	黃婉貞又創新紀錄百公尺一分二十秒六男百公尺印尼破全國
page 6	水球表演開始廣州菲華獲勝
page 6	游泳各單位積分
page 6	球類落選賽結果
page 6	男網球雙打殲滅戰穗遭淘汰港晉一級女單打滬穗均勝
page 6	王文正體力不支葉觀雄最後勝利
page 6	錦標會落在香港嗎
page 6	足球循環賽港勝陸軍陸軍準備提出抗議滬警之戰上海棄權
page 6	香港球員多名受傷
page 6	體協多數代表建議下屆全運在台舉行體協理監事前夕改選
page 6	男子乒乓賽台灣獲錦標上海第二馬來第三女子賽上海得亞軍
page 6	會場即景
page 6	各單位選手準備返防粵穗首批選手返穗
page 6	上海籃球隊男女均告捷男勝警察女勝福建
page 6	滬菲兩隊準備決戰
page 6	上海對警察排球錦標賽全程戰鬥激烈滬隊卒以三比０見挫圖為滬隊躍起殺敵
page 6	男子排球賽香港勝上海廣州克警察香港積分居首席
page 6	摔角錦標賽全部解決
page 6	壘球賽兩場戰果
page 7	開平一大劫案僑眷二十餘家被搶損失在千億元以上單水口糧商被劫六艇穀
page 7	鶴山奇事一件共軍代審貪官
page 7	新會縣警長作惡小學生被騙當兵拿了千元港幣逃之夭夭
page 7	為了港幣代人坐牢開平審訊冒充賭犯
page 7	五邑警保會議有了五項決議
page 7	花費百億元荔浦大迎神監察委員高級軍官主持其事鄰近的修仁平樂都有人赴會
page 7	南海三水邊境匪徒襲擊輪渡
page 7	曲江牛瘟之後農民無力買牛許多田地被迫拋荒
page 7	黃海水產公司漁船即將南來展開活動擬在台灣設立兩個基地
page 7	自衛隊行同盜匪掠民物並燒民房河源燈塔順天兩鄉遭劫
page 7	武漢有人行騙假冒市黨部主委
page 7	廈門集美學校慶祝卅五周年
page 7	寧鄉煤礦殺人祭山
page 7	川北不靖南部一鄉長怕被裁擁匪自用攻佔鄉鎮
page 7	開麥拉下全運會的形形色色
