page 1	縱論國民大會
page 5	商洽對日易貨中信局副理抵港轉穗
page 5	廣州三月分票據交換統計
page 5	皖西茶葉產銷祁紅屯綠外銷多六安瓜片內銷盛
page 5	穗金鈔黑市報升黃金最高三三七港元港幣最高八萬三千元
page 5	柳州經濟復興可期輸出以桐油木材黃糖為大宗輸入以花紗布疋燃料為大宗
page 5	央行穗分行償付庫券本息
page 5	經委會獎勵化學品自產
page 5	遞延交割停止桐油收購繼續銀根鬆濫依舊行莊存放減退
page 5	英國財政貿易現勢去年黃金美匯尚存五億一千萬鎊今年貿易目標出口指數為一七五
page 5	商業社會輪廓
page 5	硬幣銀毫秘密使用
page 5	在灰燼中復興
page 5	滬穗商情
page 5	港匯黑市獲新線索
page 6	游泳聯會選將第一晚預賽成績黃家姊妹獲兩組冠軍今晚在中青繼續舉行
page 6	今日聯賽三場開火傑志逢警察星島遇空軍巴士進擊香港會
page 6	爪哇隊七日飛滬滬方已編定賽程比賽四場先戰鐵路
page 6	馬華全運足球員正選十七名發表預選賽巫聯大勝馬華
page 6	中華中學生修業旅行
page 6	公開網球賽第二週開始今天共三場舉行
page 6	金手套專家授拳術開始收生徒
page 6	庇理羅士昨開聯歡會
page 6	學界籃球賽今日高級組兩場昨初級組兩場改期
page 6	王正林在美獲馬拉松賽冠軍樓王將再參加十英里賽
page 6	龍林拳師放棄比武
page 6	我世運足球隊選委今開會王正廷昨與各方商討人選將以港隊為基幹
page 6	馬華出席全運會田徑預選成績平平參加男女運動員百四十人
page 6	教會籃球賽尖沙咀冠軍
page 6	十四日舉行冰國游藝會
page 6	冠雲球隊中止征穗
page 7	西江流域農村凋敝雲浮一帶離鄉背井者多到香港來成了一種風氣
page 7	浙贛鐵路三段論上浙贛鐵路週覽記之二
page 7	地主避居城市石龍畸形繁榮
page 7	預徵所得稅一徵徵六倍梧州各業公會表反對
page 7	兵役獎券南海鄉間發行籌款來買壯丁
page 7	洋場道士率徒週遊南北打醮最近在桂林要搞半個月
page 7	粵西桂東聯防指揮機構成立
page 7	德國人看德國原載雜誌文摘
page 7	德境四佔領區現況蘇區是麵包籃美區是風景地英區是工廠法區則是酒坊
