page 1	社評中立與中間派的北歐
page 3	越傀儡政府成立與論界甚少提及
page 3	西貢華僑代表無端被法方控告
page 3	印尼華僑政黨成立號稱為中國統一陣線爭取民主維護僑胞利益
page 3	魏茲曼赴華府訪杜魯門總統
page 3	英國賭風頗盛日本邪教未衰
page 3	聖地廝殺未停安理會延長停戰令期限英美促阿人速遵令住手
page 3	美總統競選誰是共和黨候選人國會議員多屬意塔虎脫
page 3	鼓勵僑生回國升學教部訂定三項辦法安置落取僑生問題在磋商中
page 3	南非承認以色列國
page 3	暹壓迫我僑教學校開不了學
page 3	英拿美援接濟阿人美參院邀請霍夫曼報告議員要求停付援英款項
page 4	英國飛艇由日飛港曾遇美機開槍警告追到沖繩島後美機纔離去槍彈從艇前掠過驚險萬分
page 4	用假金騙取真金少女黎金被騙金戒指拿了銅塊到警署報案
page 4	海宙輪檢查完了今天將離港赴日昨天檢查沒有緝到東西
page 4	裁員福利問題海軍船塢工人要求英海軍大臣允考慮
page 4	棉興布廠工潮尚無解決辦法
page 4	市區地價好貴建一棟小洋房的地要十萬元荔枝角幾塊公地港府將收回標賣
page 4	麥景陶談香港警務警署編制兩月左右可足額最近新界方面犯罪者增多
page 4	飛機折翼飛行學院教練機失事右膠輪破裂幸無死傷
page 4	東印戰時損失可有發還希望
page 4	新機動三輪車樣品近已到港日內試車滿意即向美國訂購
page 4	騙支匯豐存款案初級法庭昨審結三被告對控罪無言可說
page 4	中華文協香港分會舉辦青年創作競賽分詩歌小說戲劇理論四種投稿日期六月起至九月止
page 4	劫殺活特案續審情形
page 4	大華鐵工廠工場倒塌男女工人有八個受傷
page 4	淺水灣游泳棚不准預先定租
page 4	青年梁光漢判罪罰款二十元並驅逐出境
page 4	貝祖詒有新居着了涼不願談公事
page 4	西區三令會活動警署正密切注意
page 4	肥田料七千噸即運華南應用
page 4	皮箱內有槍陳啟良被拘
page 5	仰光匯率升金價平匯兌由四盾漲到五盾港傘到貨多市價步跌
page 5	馬來亞舊鈔票禁止流通九月初起向貨幣局兌換
page 5	金市低價三一九元
page 5	申匯漲勢猛烈金價退潮洶湧國幣期鈔再跌落省匯較申匯還低
page 5	禁止日膠鞋進口工商供應處說沒有這回事
page 5	桐油白糖輸出大宗
page 5	南甯經濟近狀常年貿易出超匯入多於匯出
page 5	工廠南遷暫存觀望大成申新知難而退
page 5	董顯光表示新結匯目的原售價平衡
page 5	進口貨物紗布為多
page 5	進口利潤的是非政府指進口商獲暴利進口商認為並無所得
page 5	桐油收購價格提高二百萬元滬梧每擔千四百五十萬廣州每擔千五百五十萬
page 5	張耀章表示進口貨利潤百分之二十
page 5	廈門農貸配額決定共計四九○億元
page 5	水坭外銷難開展生絲外銷遭打擊蘇聯水坭二百萬袋運菲島日本生絲萬一千包運南洋
page 5	穗市未核准行莊暫緩予以取締另定處理辦法
page 5	滬米麵回藍鳳紗挺穗米平田料煙膠漲
page 5	外匯平衡會昨討論業務方針
page 5	洋商差進少銀根寬暗息平
page 5	星市國酒價格低落
page 5	上週退票金額減一萬四千億
page 5	滬市物價平定總指數無甚變動
page 5	輸管會開會討論三問題
page 5	滬貨大量到穗市申匯升滬物價較穗低三分之一
page 5	進口利潤的是非政府指進口商獲暴利進口商認為並無所得
page 5	昆明物價漲警察搜市場拘捕擡價商人十一名
page 6	世運大軍昨晨開赴爪哇籃泳田徑選手晉京集訓陸空交通均特別優待選手世運會特在英國南部舉行
page 6	世運隊遭遇滑鐵盧萬餘僑胞相顧失色廿二日鏖戰星聯經過
page 6	西文報大事宣傳十三號果然不利
page 6	夏令足球比賽本年或可續辦
page 6	雙方佈定陣線龍虎戰爭開始
page 6	學籃錦標大勢已定喇沙臨時棄權不顧體育精神的球隊賽會應早日設法制裁
page 6	華僑教育會選出新理監事今日舉行教育座談會
page 6	戰情速寫
page 6	金海操之過急我軍大錯鑄成
page 6	足球小組會討論興建足球場內容如何未發表
page 6	足球場的興建談談我們的意見
page 6	中山大學學潮趨和緩工院學生仍力爭實習費廿六個學會發緊急宣言
page 6	明日黃花集
page 6	衛生週標語作文各校比賽成績當局定廿七日頒獎
page 6	體協港分會今開理事會
page 6	公開籃球賽今天一場
page 6	公開團體網球賽昨因雨改期今日乙組比賽五場
page 6	中藝夜校正式開課
page 6	新疆選手副領隊談在滬無人招待全運會刊也沒有名字
page 6	世運選手昨日抵京
page 7	廣西各地大雨為患湘桂路一鐵橋被水沖斷不能通車公路車輛最近常常被劫
page 7	不堪回首的世界第一銻礦湖南新化錫礦山已冷落十年了
page 7	梧州一艇沉沒溺斃搭客二十餘人米千餘斤隨波而去
page 7	正副總統就職日桂林熱鬧了一天舉辦兩種球賽要打六年單是紙紮生意便過百億
page 7	新會葵扇即將擴大生產有人組合作社
page 7	粵省五區賠償新令
page 7	翁源激戰縣長中伏身陷重圍拼命衝擊始得脫險
page 7	甘肅老道闖四川省府說王陵基有九五之尊
page 7	稅捐逼人繳不起所得稅汕一商人自殺
page 7	益陽已成水城街頭到處行舟商店一律休業避水
page 7	汕報業工潮
page 7	天府謀礦慘案詳情龍廠連續爆炸七次之多員工百人壓在礦層底下全礦不安無心工作
page 7	歷城大風一攤販被吹上天跌下來粉身碎骨
page 7	蘇州小學生告狀說校長袒護女生
page 7	大涼山恩仇記題記
