page 1	南洋華僑經濟的展望
page 4	工團登記尚未開始
page 4	香港住屋建築置業會建築住宅計查批准將討論出售渣甸山九龍仔地段章則
page 4	僱主聯合籌備成熟定十九日舉行大會發起人主要是西商廠家公司
page 5	法國黑市英鎊再漲反映出法國經濟地位的脆弱並非英預算案加強英鎊地位馬歇爾援歐計劃增強英國反通貨膨賬力量
page 5	期現鈔下游申省匯齊跌股市下週可望活躍
page 5	外圍呼應大戶做作
page 5	英鎊區制內容增加輸出減少輸入節省外匯爭取美元
page 5	黃金買賣不會禁止
page 5	黃金美匯晨漲午跌巴黎金價猛漲市場人心振奮
page 5	金市漲跌三項因素
page 5	台灣嘉南大圳三偉大的水利工程
page 5	香港貿易愈趨冷落游資在港炒買黃金地產股票
page 5	暹羅市場已臨淡季
page 5	南游來資辦貨的少
page 5	越南貿易管制出口
page 5	菲島市場業趨飽和
page 5	中紡棉紗供給香港有問題供給需求無法配合成本售價距離太遠
page 5	荷印方面較有化算
page 5	穗象牙業今非昔比香港該業工作繁忙
page 5	紙商請求要做生意
page 5	港需求少星椰油跌
page 6	港全運選手隊準備開拔各運動員名單限期彙繳全體運動員職員百卅五人參加項目男女合計十七個
page 6	參加項目人數
page 6	保羅排球隊隨軍出發
page 6	粵穗入選運動員今起舉行總測驗足球人選昨經決定
page 6	公開籃球比賽今天開火
page 6	滬市長籃球杯決戰大公擊敗華聯女子組綠隊蟬聯錦標
page 6	第四次特別賽馬各場結果預測今天下午共賽十場
page 6	預選成績總檢討足籃球難與外隊爭雄排球將以培英為骨幹
page 6	女子田徑不差奪標較有希望
page 6	我世運足球隊在菲比賽節目
page 6	乙組足球爭標戰東方贏星島仍待第三戰解決冠軍南警之戰昨因雨改期
page 6	中正校董會昨會議商討募款進行通過募款獎勵等辦法
page 6	參加全運單位陸續報到已報單位四十餘個暹羅華僑決派隊參加
page 6	拉薩校長刑碧松過港返京述職十九日乘中航機飛滬
page 6	中山大學近事
page 6	學界籃球昨天戰績
page 7	徵兵加緊鄉里騷然四會壯丁身價驟漲每名由千多萬漲到四千多萬佛山催收安家費以折扣鼓勵
page 7	為了一千萬元外甥砍死舅父
page 7	鄂省府舊去新來萬耀煌下台發表萬言長文張篤倫上任盼得記者為師
page 7	一中將自殺浮屍漢口附近江面
page 7	婚姻和事業兩者能兼得
page 7	上海人爭取發財機會兩萬人擠買房屋獎券黑市每張賣一百萬元
page 7	江門銀號門戶半掩
page 7	惠陽車禍汽車翻落西湖乘客七人身死
page 7	如此美國人何物潘尼來華詭稱開公司回美竟想買軍火
page 7	贛省府內海棠失蹤時價逾千萬元
