page 1	社評美國外交是怎麽一回事
page 3	英日大談生意商議交換價值六千萬鎊貨物合約正在草擬中七月可完成
page 3	倫敦居民害怕炸彈包裹巴黎群眾高呼公主萬歲
page 3	美軍火援歐杜魯門否認
page 3	北歐各國不甘寂寞瑞典提出締盟建議
page 3	聯合國蘇代表易人馬立克將接替葛羅米柯各方對馬氏赴美多臆測
page 3	美反共法案杜魯門反對
page 3	暹人排華不遺餘力企圖停閉僑校三百餘所並頒布新規例禁止開設
page 3	暹劫金案複雜曼谷當局偵查忙
page 4	華商總會五十值理聯名發表告各界書說明停止審查新會員完全是時間關係
page 4	值理會討論訴訟事雷蔭蓀昨退席高院裁定將憑雙方意見書
page 4	清華校友會歡送謝保樵
page 4	新界屏山大旗嶺村十二學童失蹤同學說他們去投共產黨屏山警署正設法追查中
page 4	利銘澤退休米焓商會歡送
page 4	翁伯達的悲哀黃金千餘兩既得而復失另外還要罰款百元
page 4	金邊公司的士司機曾降福非義不取約值美金萬元行李交還乘客失主送他港幣五元
page 4	華僑歸國帶來金磚被緝私差沒收
page 4	夏季大賽馬今天首次舉行頭彩可得六十八萬餘元且看誰是富翁
page 4	小童騎單車撞著電單車
page 4	一場大亂的士撞着三輪車路人爭相叫打更練誤會竟開槍
page 4	被控圖劫五人無罪
page 4	超公價多賣二元被處罰港幣六百
page 4	流浪街頭原是日人
page 4	沙頭分卡被襲事九龍關派員調查受傷分卡主任談當時情形
page 4	夏季大馬票售出近百五十萬張
page 4	租房索取頂手男女四人受罰
page 4	慶祝總統就職大會推銷餐券
page 5	管制港國幣黑市實施技術待討論港府發言人說未簽訂任何協定某經濟界權威說一切多是謠傳
page 5	謠言攻勢下金融市場失卻常軌美鈔竟比金單高出半點
page 5	申匯續盤升期現鈔略漲省匯徘徊於五元三四間
page 5	金市行家看跌澳門到金四萬盎斯
page 5	滬金價低市勢轉疲
page 5	輸出外幣證券先由指定銀行初步審查後由部核發許可證書
page 5	日產水泥回空運港南海裝來四千餘噸
page 5	長沙市場一月四月三日至五月二日
page 5	星綢商聯會陳炎林談阻止日布南銷國布貨質應積極改良成本價格須盡量減低
page 5	管制金融國地聯繫財政部解釋
page 5	改善省行聯匯處加強業務聯繫集中辦公地點
page 5	滬抽緊銀根結果暗息高達二九物價一致回小當局目的抽緊五萬億
page 5	滬物價下游梧州復挺穗米麪穩桐茶油稍起海口各種物價再上揚
page 6	足球錦標賽糾紛未決陸軍警察各提出異議上海棄權影響警察奪標香港贏仗陸軍不肯干休全體裁判員向大會請辭
page 6	男二百接力泳預賽兩組均破全國紀錄千五公尺複賽港將露鋒芒
page 6	男百公尺泳決賽印尼吳傳玉冠軍一分三秒三破全國紀錄女二百接力香港得首名
page 6	閒話水球
page 6	香港金魚黃婉貞游泳姿勢和泳罷更衣後留影
page 6	女籃錦標循環賽印尼勝福建男籃今日滬菲爭霸
page 6	男女游泳積分香港高踞首席
page 6	田徑壓軸好戲今日國際對抗
page 6	女排錦標賽台滬均奏捷
page 6	男網球單打賽今日陶葉爭冠軍互敬互讓昨日王徐雙棄權女單打最後一戰楊陳必勝
page 6	男女雙打四場港穗同時告捷
page 6	球類落選賽結果吉林獲男排冠軍
page 6	世運足球隊昨抵西貢離暹前又勝聯隊
page 6	女子網球單打循環決賽四健將左起一陳金石印二陸元春馬三朱芝英滬四楊渭濱穗
page 6	場邊拾零裁判員當堂認錯棒場的加油加鹽王正廷讚台選手棄權之風不可長
page 6	水上兒女英雄傳
page 6	女壘球賽滬粵同捷
page 6	學生足球兩場決賽聯賽喇沙冠軍銀牌皇仁第一
page 7	西江一帶風聲鶴唳開平等七縣指揮所成立鶴山縣長接到打單怪信
page 7	興寧報上登啟事稅捐處長去復來
page 7	四川軍官河南小姐漢口結識桂林試婚女的不願試了要求離去男的雖然留戀無可如何
page 7	羨慕大婦生男妾侍溺斃女嬰
page 7	為天下後鄂高檢處要肅奸發出百多張傳票
page 7	桂嶺師範兩國大代請改國立
page 7	嶺東蝗災嚴重早稻生蝗六十年來未見各地米價已受刺激上漲
page 7	東江航運恢復老隆市面活躍
page 7	武漢嚴防工潮設立執行小組
page 7	儋縣大械鬥和解有待因賠償問題未獲協議
page 7	豐順射殺巨虎潮安人食虎肉
