page 1	社評南韓的選舉
page 3	軍事的勝利聖地阿軍攻勢猛烈占領迦撒城後繼續北進耶路撒冷也已展開激戰
page 3	學生國文程度低的問題
page 3	猶人向安理會呼籲武力制裁阿軍人入侵
page 3	日本大學生集體盜竊法國劊子手個人罷工
page 3	北韓停止供電霍奇指責蘇方
page 3	軍火運濟猶人美國打算解禁
page 3	暹政府曲解條約封我僑校迫僑生受暹化教育打算專設學校收容華僑學生
page 3	日人對外貿易盟總給予自由私人可與外商訂合同
page 4	答覆翁世晃的指摘普益商會發表聲明陳仲池確是合法代表
page 4	住屋建築計劃吸收資本困難住屋建築置業籌委會負責人談
page 4	失去上帝恩寵的人參觀香港精神病院
page 4	由英定巴士兩批已到港
page 4	要員一批休假返英
page 4	港九居聯會首期徵求會員改期結束竹園洞泳池定廿日開放
page 4	洋務工會選出職員
page 4	潘華否認中彩未能自圓其說
page 4	歐陽予倩六十生日六國飯店內二百人祝壽茅盾希望他再活六十年
page 4	南洋辦莊廣益商會再要求船公司減價
page 4	內河輪船公會昨開同人大會
page 4	廣東研藝社紀念九周年
page 4	郭沫若祝壽詞郭沫若的祝壽詞如下
page 4	落魄軍人告地狀左襟上猶佩獎章
page 4	中華劇藝社設免費夜校
page 4	聯愛互助社舉行十五週年紀念
page 4	夏季賽馬第二日各場成績預測共賽十二場正午開始
page 4	走私新法火車開過渣甸倉飛包黨內外接應
page 4	東華三院新總理仍在當局察核中
page 4	昨日浴沸節各寺賀誕忙
page 4	本港邊界警察嚴防學童越界
page 4	馬窩村劫案
page 4	九龍鮮花檔因禍得福
page 4	丈夫與妾出入偕行婦人午夜臥電車軌崗警及時拖開倖免輾死
page 5	本港上週末國幣內匯一致回挺歸納原因可有三點國幣下跌不能歸咎於黑市港匯
page 5	滬中央銀行否認拋售美鈔金鈔黑市下瀉乃係自然趨勢
page 5	輸英絲織品中蠶公司發表本年估計
page 5	台幣匯率今起掛低一比三三四元
page 5	中日以貨易貨味精桐油豆餅運日運回窰木二十萬噸
page 5	三月份僑匯減少
page 5	輸日本貨值三百萬美元
page 5	桐油走私猖獗原因牌價過低多由桂境大鏟關出口
page 5	華北水泥試銷南洋
page 5	經濟要談
page 5	資金南流與香港國幣黑市
page 5	美國援華糧食一部購自暹緬暹米二萬七千餘噸緬米六萬三千餘噸
page 5	馬來樹膠輸出減四月份比上月減四千噸
page 5	行局內匯率今起有修正
page 5	金鈔漲勢日甚一日
page 5	鮑魚海參禁止銷售
page 5	暹羅政府鼓勵柚木出口錫膠二特產聞亦將解禁
page 5	一至三月米漲四倍
page 5	廈門物價漲風厲金鈔領導物價僑匯影響金鈔
page 5	短期庫券銷售暢半月達一萬四千餘億
page 5	港日貿易與香港商業的前途
page 5	穗金管局長說管制國幣黑市對於香港有利
page 5	穗汕商情穗物價漲跌參差汕糧食一致回穩
page 5	紐約證券繼續上漲
page 5	小回後大漲
page 5	管制香港國幣市場
page 5	制止日貨傾銷
page 6	七屆全運會圓滿閉幕十二天競賽收獲良好朱家驊致詞王正廷夫人頒獎
page 6	七屆全運各項錦標優勝單位榜上題名
page 6	新鮮玩藝兒鏈球比賽吳振武爭得第二
page 6	雙打網球錦標決賽香港警察並列冠軍女子雙打冠軍屬印尼
page 6	華北籃球聯隊今日出戰大公
page 6	香港選手二批今飛返
page 6	入水表演楊顯應冠軍
page 6	我世運足球隊昨勝南圻選手
page 6	大會閉幕花絮
page 6	男拳擊賽上海李愷勝許大偉港鄧仁勝粵陳勁
page 6	吳傳玉大吃辣椒黃太太淚洒泳池曾鳳群婚期有阻陳震南碎玻璃瓶
page 6	中健乒乓賽今夕八場
page 6	端正校運花絮
page 6	公開排球頒獎賽南乙勝聯隊三比零競爭劇烈
page 7	賓陽打虎記三狀山上人虎角逐兩晝夜後虎始跌斃
page 7	李濟深大喊飯都沒有吃了還選什麽總統
page 7	惠陽牛朗徑共軍設有收稅總站每日收入三四十億
page 7	岐關汽車公司中山蕭家村站被炸
page 7	大風吹和尚吹到十里外
page 7	海南島築堡伐林每隔十里修建碉堡一座軍隊可以隋時斬伐森林
page 7	辰雞煙民準備抗剷已組織所謂人民自衛隊設有大隊長指揮參謀等
page 7	一個青年的訴苦
page 7	武漢碼頭不像話風氣越來越壞了惡勢力操縱下日有械鬥兩位權貴遭受工人抨擊
page 7	不吃飯是真是假楊妹之謎即揭開重慶三團體聯合檢查
page 7	宛西的地方團隊萬餘人退集鄧縣淅川邊境劉茂恩催丁叔恆回去收容
page 7	但聞已聯防不見聯防處錫武澄聯防一笑話
page 7	訪問九年不食的楊妹一個與科學違背的故事
page 7	她大約有二十歲是一個道地的鄉下姑娘
page 7	十一二歲的時候就開始不吃飯了
page 7	偶然喝一點水並不是天天喝
page 7	為了不吃飯竟誤了婚姻
