page 1	社評近節關看僑匯
page 3	南非舉行普選史末資勢將得勝
page 3	暹羅黑象團製造恐怖事件
page 3	僑胞的災難芹苴連續發生不幸事件
page 3	日貿易港口將增十四處
page 4	港府收支情況良好清償戰時未付款外尚有盈餘財政司奇勒昨在立法局答問
page 4	如何防止政黨煽動學生僑教會昨開會研討
page 4	史巴曼抵港
page 4	西裝剪綹匪要坐九月監
page 4	陷期債務條例法案下次立法局會議將提出首讀
page 4	反對扶植日本發起人日內開會
page 4	海軍船塢工人將開代表會議
page 4	公務員等陷期薪給當局即將開始支付辦法經獲英殖民部批准總共港幣九百五十萬元
page 4	布力文今天招待青年團體
page 4	海宙輪昨赴日
page 4	華商會選權證昨已全部寄出
page 4	阮文春抵港
page 4	洋務工會各部負責人選出
page 4	歌劇白毛女廿九日公演
page 4	華南廣播電台今天試播
page 4	投祖游泳木屋明日抽籤
page 4	誰去荔枝角廿八起有船
page 4	反對現行輸管制度麪粉商會昨發告僑商書
page 4	霸王六個各罸十元
page 4	三個畫展下月在勝斯酒店舉行
page 4	煙土四罐在眾生輪搜出約值五萬餘元
page 4	太古船墺壞船失火
page 4	為防肺癆傳染萬勿隨處吐痰衛生週第四篇論文
page 4	阻街女郎多人分別被處罰款
page 4	劫殺活特案今晨還要審
page 5	輸管會發表廿日來上海結匯出口數額計九百二十萬美元天津青島台灣廣州均未包括在內
page 5	省港國家行局舉行聯席會議商討有關經濟問題
page 5	黃金市場醞釀上漲僑匯購黃金內地納胃強
page 5	滬穗價升港金堅穩
page 5	評輸出入管制下
page 5	僑匯源源來內匯市場穩
page 5	工業原料更形冷淡
page 5	國產工業製品月來南銷疲滯成本高結匯低為主因
page 5	漢市米價漲風復起零售近七百萬關
page 5	私售美金支票禁賣玻璃絲襪
page 5	滬商檢局發表上月檢驗商品統計茶葉輸出增加豆類減少
page 5	外銷南洋色布准換棉紗坯布但須放棄輸入原料權利
page 5	比國向基金會請求停止提取比法郎
page 5	上海物價一致報升穗米麵挺紗布齊降
page 5	蛋品出品適逢旺季
page 5	無證輸入貨物沒收期限展緩
page 5	洋場十里無奇不有聲色貨利人同此心
page 6	體協分會昨開會議商討修章改組問題成立五人委員會負責進行鍾志強報告參加全運經過
page 6	先修改會章再討論改組
page 6	港暹足球對抗今在嘉山開火雙方都曾出席全運演來當有一番精彩
page 6	足球總會章程實在不滿人意蔡惠鴻主張要力爭
page 6	全運籌委會限期結束各組舉行聯席會議廣告組收入僅卄七億元剩餘物資應即交回大會
page 6	督憲杯受控制莫慶大抱不平
page 6	公開中西羽球賽達緊張階段今明兩晚有劇戰
page 6	武大招考新生增平穗長三區
page 6	田徑場內廣告旗為各方攻擊目標郝總幹事沉痛聲明
page 6	嶺大兩教授服務四十年定期熱烈慶祝
page 6	團體網球賽兩誤佳期
page 6	僑生獎學金審核竣事
page 6	昨天雙打兩場成績
page 6	粵穗全運收穫好廣東精神表現佳副總幹事石玉琨談話
page 6	今天大華盛會全運健兒祝捷梁玉傑紅到發紫
page 6	世運籃球選手決定正選十名
page 6	世運足球隊抵巴達維亞
page 6	公開籃球賽警察勝西報
page 7	廈門有人偽造郵票未曾問世便遭破獲主犯擬逃避來港於行前被捕案中案不速之客曾登門勒索
page 7	長沙通信不堪回首的世界第一銻礦湖南新化錫礦山已冷落十年了
page 7	湛江市一場鬥毆為了反抗武力迫遷攤販圍打建築委員
page 7	汕頭打風南華大學學生被毆
page 7	汕頭米價飛漲逼近千萬大關
page 7	滯廈緬僑三百名下月去緬
page 7	塞北頭名富翁派捐六百億元歸綏開始收救濟特捐
page 7	馬家軍頭銜馬繼援拒受
page 7	調解傷兵鬧事巡官慘烈殉職玉山縣城四天紛擾綜記
page 7	增城禁烟賭發生妙事縣警捕人被駐軍搶去
page 7	徵兵不力鄉長被判徒刑三月
page 7	信宜捕一參議員張炳慶原為張炎舊屬戰時曾任學生隊隊長
page 7	崖縣曾受五路圍攻百餘囚犯被釋放了九區組織清剿設計委會
page 7	返家十日被劫三次文昌二歸僑的不幸
page 7	和平怪豬六腿二尾
