page 1	社評從香港看中國的經濟計劃與經濟行政
page 5	川化肥工廠籌措資金中
page 5	穗金價徘徊每三二三港元
page 5	經濟通訊一二三期發刊
page 6	亞洲體育聯合會組成後我國將居領導地位預定每四年開運動會一次遠運會將成歷史上的名稱招待席上郝更生談話
page 6	中國體育在艱苦中求進步全運舉行後各方一致好評
page 6	亞洲運動會希望兩年後舉行
page 6	籌組全國性網球會
page 6	羽球乒乓跟世界水準比較
page 6	國民教育的經費問題中
page 6	我留美學生接受學位
page 6	南洋小球隊籌備征澳
page 6	世運籃球隊取消菲島之行七月二日離滬出國經港星等地飛英倫
page 6	黑白在穗第二戰險勝南專四分戰績三十九比三十五冒雨比賽難顯真功夫
page 6	黑白是怎樣打垮的
page 6	哄動全市球迷
page 6	開仗時候便輕敵輸了球後太緊張
page 6	黑白隊節節失利
page 6	昨晚公開籃球賽公民擊敗金銀黑鷹勇退勝斯頭場警察隊棄權
page 6	僑務委員會推進僑教工作邀教部代表商討一切
page 6	台省華南銀行員工捐款助教育
page 6	小球總會職員今舉行就職
page 6	培僑中學改選事董長
page 7	五邑水災損失重大倒塌房屋逾一千間死傷民眾四百多人
page 7	懷集山洪入粵四會頓成澤國
page 7	黔桂路上事水牛撞火車車被震出軌道牛被火車輾死
page 7	犯第五戒掛牌遊街孫立人治軍嚴
page 7	桂林一場大勢鬧無人不道看龍回端午節起扒了三天龍船小小山城平添十萬觀眾
page 7	美國贈艦廿二隻分五批開高雄
page 7	空頭善舉房屋出賣已多年居然要送給醫院
page 7	越來越神奇了成都有位王小姐不食已二十五年
page 7	福州水災造成大悲劇房屋倒塌壓死千餘人全市毀屋總數在五千間以上單是江濱旅社便壓死五百人
