page 1	社評美國選舉戰正式開始
page 3	美國修改給援條件不迫各國貶低幣值據說協定談判即可協議
page 3	日海軍大將之子賣三文治妻子認為丟臉要和他離婚
page 3	監督聖地停戰調解專員有艦隻可用聯合國衛士飛赴中東
page 3	美主張日向南移民澳洲宣布不讓入境
page 4	華商總會改選名單昨天經已全部發表理事八十名監事二十名
page 4	歸僑鍾勇生被擄案主控詳述破獲經過被告持函取款中伏被捕引警至藏票處將鍾起回
page 4	反扶日工作運動委員會將開會商討今後工作步驟
page 4	英礦業專家今天可到港
page 4	工展代表返港後酬酢忙
page 4	羅文錦做了爵士華商會即將慶祝
page 4	潮州公會徵求會員工作下月一日結束
page 4	台山商會電查台屬水災
page 4	新郵車四輛月底可使用
page 4	九龍改裝巴士一輛昨在沙田附近翻車一個乘客死了四個重傷司機鍾鍔失事後已逃走
page 4	挂號信箱本月增三百個費用還是照舊
page 4	深灣夥劫貨艇敖乃新判獄六年
page 4	僑商反對債務法案決電英請暫緩批准華商會九龍總商會等昨會商
page 4	請求撤銷工作約需款五萬元
page 4	東華三院銀兩新舊總理今天點收
page 4	黃炳妹與吳五姑被控誘少女當娼
page 4	港九兩地商會可能聯合行動
page 4	去荷印的人請注意錢袋
page 4	利威行被騙去的鑽石輾轉買賣下落不明該案昨續審證供仍未完
page 4	印度馬戲班抵港將在半島酒店旁空地表演
page 4	大埔發現吊頸鬼野草談論怕老婆
page 4	陪審員遲到被罰廿五元
page 4	阻街女十四人受審其中一個自稱已經從良她的丈夫也在法庭聽審
page 5	貨物滯銷銀根奇緊下市面賤價推售花貨中以洋紙和五金為最顯著
page 5	黃金美匯晨穩午跌市態欲跌不成欲漲不能
page 5	銀行封關武漢市穩
page 5	澳金入口證有停發可能
page 5	國幣內匯續瀉華北資金南湧上海米潮洶湧刺激金融
page 5	穗港幣紗布米續升銀行結算一部虧損五季進口配額公布
page 5	去年新加坡商務的檢討星洲特約通訊
page 5	荷印舊幣解凍後影響爪物價上漲當局將採取平抑步驟設法使舊幣逐漸回籠
page 5	盧香海談星將限制日貨馬星經濟部長表示
page 5	吧城布疋求過於供紗衫充斥銷路滯
page 5	南京取締銀幣交易
page 5	港出入口署重訂布疋產地證辦法限貨出口五日前申請須繳呈樣本以便檢查
page 5	滬市銀樓將復業銀樓業公會向社會局要求金價按結匯證成交價計算
page 5	九龍關通告關稅減讓部份未簽字國緩辦暫緩貨品共廿二類
page 5	穗梧米麵紗布升汕米麵回紗布穩廈門物價起落微
page 5	沒頭金市混亂異常港匯漲至三十七萬
page 6	黑白又傳捷訊昨日大勝穗民大隊五十比卅四林珠德最出色今戰全運選手明天返香港
page 6	黑白征穗第二戰擊敗南專隊詳情
page 6	世運籃球隊昨晚勝恩卡斯五三比三四戰來十分精彩今日第四戰對勁旅大公隊
page 6	日匈游泳界創新紀錄
page 6	國民教育的經費問題下
page 6	自力籃球隊擬恢復組織先對黑白後戰世運昨在中青開始練球
page 6	世界拳王爭霸大戰喬路易逢華爾考特卄三日在紐約舉行
page 6	世界體育動態
page 6	師職畢業生升學規定暫緩施行
page 6	我世運足球隊留星期間延長可能在星多賽兩場 
page 6	型足球總會新舊職員交代並舉行首次執委會議
page 6	團體網球聯賽混合組今有兩戰分在港九兩球場舉行
page 6	僑民教育處增設社教科主要工作計劃已擬定
page 7	粵北徵兵艱難萬分新豐佛岡一兵未交全區差額還達一萬多名
page 7	饒平捉獲五彩世蝶
page 7	補報戶口要送酒席汕頭許多事非錢莫辦
page 7	湛江通信易長後的湛江一大堆的問題等待解決來湛鐵路下月開始興工
page 7	上海捉薄刀黨二十五名落網
page 7	沙坪恐怖氣氛地方派系鬥爭激烈
page 7	隍罕事柯樹無花
page 7	不知縣長來所以抬米價蘇州一米商這麽說
page 7	那個參議會太原議紛紛
page 7	臧大二子案如此這般了美國正兇逍遙我方抗議無效
page 7	楊妹再度受檢驗先住賀國光公館後住林園白生委員會成立主持其事
page 7	張黛琳不食並不希奇蘇聯過去也曾有過的
page 7	電燈時明時滅電話若斷若續用霸王電的太多了法商出賣電燈公司
page 7	河北高院下令通緝丁四小姐
page 7	常熟一老處女據說卅年不食
page 7	亂世亂象呈准不打差的船還是被打去應差民俗輪在漢口被騷擾
page 7	校長被控貪污學生擁送法院
page 7	韓江兩岸共軍多配備齊全有十二人抬的土砲船隻被攔收行水排列如長蛇
page 7	有槍階級搶劫勒索
