page 1	社評法幣的前途如何
page 5	中央合作金庫決完成華南金融綱
page 5	穗卅一家進口商輸入配額公布
page 5	行局存款利率逐步調整方式相當時期後接近市場利率
page 5	傳說廣東發行新幣將與港幣保持聯繫
page 5	雖疲猶漲福州物價再起漲風
page 5	新漲風
page 6	全運登記單位四十一個邊省交通不便註冊延期
page 6	大會場修理竣工郝更生招待記者
page 6	嘉山麓華聯敗仗勝利盾錦標未決二比一軍聯士氣振奮
page 6	華聯演出散漫軍聯利用閃擊
page 6	全運會與世運會二
page 6	第三戰再決輸贏
page 6	軍樂隊參加揭幕演奏
page 6	全運籌委會常務會議推朱家驊任會長籌備工作已達成熟階段普通入場券最低五萬元
page 6	張金海馮景祥願辭代表
page 6	容啟兆今天來港
page 6	昨天學界籃球賽保羅打垮德明今天初級比賽兩場
page 6	羅次卿向大會報到
page 6	各單位分別動程
page 6	粵穗參加全運旅費傷腦經許民輝昨再飛滬向有關方面募捐
page 6	分開籃球賽戰程排定
page 6	吳宣昭盧振暄補入籃球正選陸德彰去函聯會棄權
page 6	中正中學建校募捐成績可觀
page 6	我出席世運足球隊將於五月底訪印尼
page 6	香港拳擊選手參加全運
page 6	傑志體育會歡送世運隊並設冠軍祝捷宴
page 7	佛山榕洲堡一奇景官兵來清剿百姓都避開整個村莊走得不剩一人台山不靖各鄉紛紛聯防
page 7	龍空涵水利工程粵省府派員視察潮安揭陽雙方各執一詞偌大工程遂致半途而廢
page 7	汕頭東南堤碼頭沒錢修
page 7	佛山土布業惡運當頭半數停工幾千人失業
page 7	瓊島農貸地方人士嫌少請求省方核增
page 7	在北平大招山下程艷秋隱居務農他主張平劇越新越好
page 7	壯丁一名黃金四兩
page 7	自衛隊不能自衛台山龍溪自衛隊部被劫隊員四名被擄後又獲釋
page 7	先見之明蔣主席當選總統台灣事先出號外
page 7	給閩省賢能做官並提前實施地方自治閩省參會向中央要求
page 7	民社黨一黨員插足閩省府中許紹珊出任省委
page 7	榕一地下要關重要分子數史被捕
page 7	長沙南昌間公路鐵路聯運
page 7	民主今日落誰手益陽參議會竟反對限祖護佃王東原感慨談鄧梅魁被殺案
page 7	這就叫做官衡一警官掌摑坤伶坤伶還要放鞭謝罪
page 7	橋通人死象山歐陽大橋落成爭過橋一老嫗跌斃
page 7	連雲警局演習捕盜
