page 1	社評東南亞的糧食問題
page 5	金融波動劇各地匯率改
page 6	世運隊勇挫南圻甲今日由越啟程飛星在星比賽四場難關不易渡過馮張二將定廿一日赴星歸隊
page 6	全馬來亞混合隊世運隊的死對頭
page 6	世運隊赴越前夕勝暹聯詳情五比零衛優於鋒
page 6	暹聯前鋒毫無聯絡
page 6	公開籃球賽今夕三場
page 6	建築足球場館草案昨獲總會通過需經費三十八萬餘元成立小組會負責籌畫
page 6	中衛三將功不可沒
page 6	向全運選手諸君呼籲
page 6	世運開幕日電慰中國隊
page 6	保羅包辦學籃冠軍昨勝喇沙隊總結果卅四比廿二頭場皇仁擊敗培僑
page 6	中山大學風潮未息
page 6	粵穗健兒分批歸來姚寶猷談觀感將促進體育大眾化
page 6	華僑選手抵京遊覽今午返滬轉回各地
page 6	游泳選手一批回港
page 6	華北世運預選隊前晚敗於大公結果七四比五一
page 6	迎人散記
page 6	中山大學風潮未息國庫無力負擔實習費荒廢學業決嚴辦昨又發現刺激性標語
page 6	本屆畢業總考決定停止舉行
page 6	鍾聲慶祝總統就職舉行水陸遊藝大會
page 6	台杯賽匈勝法
page 7	惠來城中一場激戰縣警察局遭受圍攻
page 7	五邑治安問題嚴重共軍多股近極活躍
page 7	海口恢復戒嚴
page 7	興寧一瞥白骨已枯的羅驚濤的靈魂又在今天的青年身上復活了
page 7	澳門近事查對敵偽產業第一聲鳳凰九的洋房被接管
page 7	中山的單車業一度雄踞全國各縣之冠萬餘輛車來往載人載貨公路修復後生意漸衰落
page 7	潮安發現古窰尋獲明代瓷器
page 7	蔣主席夫婦暢遊無錫赴錫前曾至宜興掃墓
page 7	馬桶掃帶作武器無錫鄉民阻築路
page 7	石龍煙賭犯釋放之前打屁股眉毛也被剃去了
page 7	草衣乞丐在南昌街頭出現
page 7	蝴蝶黨武漢當局查辦
page 7	粵桂越邊境思樂憑祥共軍活躍
page 7	蘇聯十四人決定蘇聯政務的政治局委員
page 7	私人團體徵地地主可否抗拒
page 7	日月潭的風光與電源
