page 1	社評第三勢力在法國
page 3	倫敦工潮擴大海員也參加罷工
page 3	小公務員分贈兒女男爵夫人供養畜牲
page 3	迫害豈患無辭暹捕我僑胞五十人所控罪名是為學校募捐大部分將要被遞解出境
page 3	東歐各國集議華沙傳莫洛托夫率蘇代表團出席
page 3	四國會商不歡而散蘇宣布東德也改革幣制要避免西德舉措有害影響
page 3	聯合國總部蘇贊成遷歐
page 4	淪陷期間租務法案短期內可草擬完畢代律政司昨天招待記者解釋該法案意義及內容
page 4	西藏商務代表團昨由上海飛抵港在京滬杭等地考察五個月週後飛加爾各答轉返西藏
page 4	淪陷時期租金照軍票還債法案比率辦理
page 4	華商會明天開幹事值理會
page 4	福建商會新任理監事就職
page 4	南韓商務部長昨天飛滬轉韓
page 4	夥劫米店兩男子昨被高庭判重型一個入獄九年一個七年次被告之妻聞判後大哭
page 4	投寄包裹郵局通告注意事項
page 4	鮑毅德明日赴星洲
page 4	三個警員瀆職各被判刑一年被告具保外出進行上訴
page 4	本港將有新醫院由何明華等合資建築建築費共約八十萬元
page 4	疏散範圍分危險區與戒備區
page 4	注意事項海事處昨有通告
page 4	鯉魚門陸軍火藥庫當局定期徹底炸燬官方宣布下月二日實行筲箕灣居民到時要疏散
page 4	增強港九警力當局計劃增建派出所百間基幹人員亦在積極訓練中
page 4	女客跳車重傷
page 4	何事懸樑黃麗明自縊獲救
page 4	拾遺不報入獄三月青年男子勞世昨被審
page 4	說代領牌照騙人六百元
page 4	反對債務法案籌款已有結果華商會等所組之反
page 4	騎劫巴士兩匪判罪
page 4	大利機帆失蹤恐為海盜劫去
page 4	港督招待工展代表
page 4	粵閩旅港人士分別會商救災
page 4	倒霉的空中小姐腰間藏金條準備去曼谷因為她心虛陣上失風了
page 4	被告偷絲襪婦人願出境
page 4	商人將向神農行禮漆匠樓上跌下受傷
page 5	入口洋行並無增收定貨按金事實表示商業清淡洋行招徠生意傾向少數商人逃避提貨致洋行遭損失故提高警覺特例非代表一般趨勢
page 5	香港五月貿易統計進出口值較前減少全月入超四千三百萬餘元
page 5	印尼生產與貿易鳥瞰巨港特約通訊
page 5	寄往中國郵政包裹大部恢復少數例外星馬禁止瑞表入口
page 5	行局匯率今起修正
page 5	戰後空前稀有現象五金行市疲弱不振星鐵現價跌過來價建築鋼條實銷不多
page 5	市場膠著人心懶散金融商品無法振作港銀錢業月底結算日近黃金美匯國幣價均穩盤
page 5	穗華昌廠突告倒閉炒買港幣投機失敗虧欠款項六百餘億
page 5	黃金市場牛皮狀態
page 5	股市靜悄貢紙疲軟
page 5	滬結匯證一○一萬
page 5	穗金略挺澳金牛皮
page 5	滬米麵續漲紗布跌穗澳兩地物價小回海口金鈔米價堅挺汕廈米穩紗布再揚桂林米價瀉紗上升
page 5	紗廠原棉缺乏將被迫先減工滬區棉織工業緊急呼籲
page 5	滬批發物價指數一百二十八萬倍比前週增百分之廿九
page 5	穗市金融大漲小回米價回跌二百萬
page 5	上海銀根業外轉緊北來現鈔還是很多華中運現二十萬億
page 6	總會改建足球場銅鑼灣最合理想愉園場地狹窄自動棄權嘉山交通不便恐難入選
page 6	一幕緊張籃球賽世運隊力戰勝大公五三比四二世運始終領先
page 6	選手揚威記黑白在穗二次喪師主隊軍師調動得宜
page 6	世界拳王爭霸戰或改期今晚舉行拳迷多料喬路易勝
page 6	世運足球隊廿五日飛星洲在印尼最後一戰取消
page 6	團體綱球賽昨天戰績
page 6	世運隊授旗典禮昨在總統府舉行
page 6	公開籃球賽三場結果
page 6	中山大學工學院實習費照發校方防範歹徒混跡嚴格管理學生宿舍
page 6	穗國民大學增設教育系
page 7	潮汕災民流入廈門衣食無着出賣兒童
page 7	韓江之水大漲潮安城四門下柵興寧城在水中央
page 7	馬鞍圍現狀目前只有驚不致有險慈威閘滲水淹沒農田合山門段圍內外有爭執
page 7	張黛琳自白身世幼年喪父母在津作舞女到上海後一度與人同居不堪虐待投江幸被救起
page 7	台山新昌築堤即入實施階段
page 7	王世杰西服被竊京警廳手忙腳亂派員四處追緝毫無結果決請常州名手出山幫忙
page 7	梅縣和蕉嶺都在修機場
page 7	黃麟書專員致華醫師函下面是黃麟書專員
page 7	致書華淑君請留養保護
page 7	式文廿日寄海口捉賭糾紛傷兵包圍警局
page 7	粵五區懸賞捉共軍首領最高的價格是三十億元
page 7	鬱林辦自來水
page 7	穿鼻刺腹吊拷恩施有人如此虐待新兵
page 7	青島歌后被罸兩億因不肯參加勞軍
page 7	婢女被誘姦成胎胎兒被墮下鋤斷婢女死了訟棍設計勒索廣西象縣的一宗命案
page 7	區雀屏勒索
page 7	白天提燈籠大聲喊冤枉
page 7	再度考驗楊妹受阻卓松岱忽要保障人權
page 7	陳東妹慘死
