page 1	"社評暹羅排華何時了"
page 6	"勵進團水運會今晚最後決賽三個節目最動人"
page 6	"我國足球隊後天抵曼谷希望下屆參加獲得決賽機會"
page 6	"青泳團水運昨晚閉幕"
page 6	"體協港分會昨天開會議"
page 7	"各級機關窮困已極紛紛派員進京請求補助有的機關全部預算不夠發薪"
page 7	"黃埔港粗具雛型賠償物資堆起幾丈高工程局躭心壓塌碼頭"
page 7	"其美輪卸下賠償的物資"
page 7	"起重機工作忙"
page 7	"大興土木築倉庫和驗貨倉"
page 7	"參觀的人最近很多"
page 7	"雨季後修廣韶線三區局奉令準備搶修"
page 7	"新會秋與鬥蟋蟀貴的每隻要港幣百餘元鬥蟋蟀時每局也要十元"
page 7	"韶關到東瓜鋪月底可望通車"
page 7	"廣州記者團將來港訪問考察財政經濟情形"
page 7	"徐傳霖從南京飛到廣州談到經濟改革表示不感興趣說漲風是國民黨闊人搞起的"
page 7	"反對派特捐應該選豪門穗一參議員發表意見富有的特捐委員沉默無聲"
page 7	"夢中一聲來了突起操刀割喉順德一更夫在穗自殺"
page 7	"韶關竊風大起一洋服店衣料被偷光另兩商店同時失貨款"
page 7	"張宗良新任務督導寶安東莞縣政"
page 7	"韶關發生軍憲衝突"
page 7	"晏陽初將南來視察農村復興計劃包括華南"
page 7	"糧經會借錢買米湘米十萬石即分批運粵"
page 7	"拒用濕柴廣州依然如此用時要打折扣"
page 7	"饒平漁村墟繁榮之後賭攤林立"
