page 1	"社評均平生產互助"
page 5	"九龍關公布海關進口稅則修正定今天起開始施行進口貨附加稅同時停徵"
page 5	"汕頭商情一週"
page 5	"國際銀行貸款五億"
page 5	"中國聯合銀行昨已正式開業"
page 5	"滬物價起落互見穗市米麵齊上揚汕米麵生油續漲"
page 5	"川省鐵產共萬餘噸"
page 5	"買賣雙方仍持觀望態度"
page 6	"我籃球隊贏了瑞士明日與英國隊交鋒今後兩戰倘能打勝仗可希望進入第十七名"
page 6	"我隊在英獲得好評返國期近英人依依惜別啞將樓文敖受與論讚美"
page 6	"世運曲棍球賽天氣對英有利印度隊可望得冠軍"
page 6	"世運隨筆"
page 6	"昨日划船決賽英美分得冠軍"
page 6	"日泳將古橋又創新紀錄"
page 6	"本屆世運已近尾聲各國選手分別歸去"
page 6	"四百接力糾紛美堅持抗議上訴委會提出研究特別放影活動影片"
page 6	"青年會勵進團舉行水藝會今天起在青年會演出"
page 6	"老惠歸鴻第廿一函"
page 7	"穗市府派員飛京請中央快撥政費七至九月需款一萬九千多億"
page 7	"水災振款續撥出七區各縣加撥一○三億並提款購糧食等物散振"
page 7	"窮市府的好理想準備改善職工警生活替他們繳交水電等費"
page 7	"士紳所借積穀如今都要還了五區清剿部內規定"
page 7	"馮君銳抵韶視察韶庚路"
page 7	"對各縣公路開投很少人感覺興趣因治安不好物價波動營業上沒有多大把握"
page 7	"佛山剪影勤儉而守舊的佛山正像一個忠實的舊式商人經不起時代的沖激而淒涼落伍了"
page 7	"五華殷富奉令獻穀"
page 7	"一保一警運動各地成效不佳"
page 7	"六名到了汕頭押在警局聽候偵查"
page 7	"精巧牙章兩個穗象牙商將獻蔣總統"
page 7	"狼狽的公路局數度裁員裁了一半仍然無法支付薪津"
page 7	"不許百姓買賣官家卻要港幣汕頭警察購機彈派捐款引起反對"
page 7	"新會捉賭的喜劇員警到賭場時賭徒溜光了封另一賭場時被鄉民繳械"
page 7	"穗將辦理戶口抽查"
page 7	"增城議會問縣府虧空賦穀何以不間不問便衣警察應否隨便抓人"
page 7	"闢地育苗農林處在三處辦理"
page 7	"怎樣學習任何青年如果愛學習肯學習並且不斷地學習則其人必有前途反之其人一定沒有前途"
page 7	"封建是什麽意思"
page 7	"颱風和颶風"
page 7	"海濱巡禮"
