page 1	社評香港工業能夠發展嗎
page 7	督糧人員下鄉要煙又要酒菜酒菜不好碗碟都摔壞增城參議會猛烈抨擊參議會成立正副議長選出
page 7	汕頭擴港決定實行初步計畫已經擬定工程費估計在千億以上楊華日等奉命赴汕考察
page 7	台山霹靂三人觸雷斃命耕牛死數十頭
page 7	揭陽考古報告潮州修志館在趕編
page 7	捧着一對男胎跑到法院告狀桂林地院一場官司
page 7	穗柳長途電話柳梧段已接通月中可望全部通話
page 7	閩省參會質詢省行董事問題
page 7	巧克力專家可能是跳海
page 7	益陽殺氣沖天數十人曾被捕暗殺因鄧梅魁案一紳士透露
page 7	梧州一幕爭奪戰保安隊沒收走私米私梟又把米搶回來
