page 1	農業國漠視農業
page 4	屈臣即離港立法局議員缺即將選舉遞補
page 4	何明華十二日受勳他還謙遜的說勳章應該給艾黎和司徒永覺夫人
page 4	華商總會選舉元老舉足輕重革新派昨日再作聲明
page 4	日昇廠工潮未解決勞工處當局昨約雙方會談廠方未同意勞方所提辦法
page 4	魚市場八審合益堂書記在庭作證人
page 4	廠商考察南洋定六月中旬起程將攜帶樣品前往推銷
page 4	彌敦道三房客自願撤消起訴
page 4	妻嬌郎更嬌作者得賠償
page 4	海軍船塢職員監守自盜被判刑
page 4	中航公司何來上尉強盜丟槍原是銹的尺二怪人被解出境
page 4	私接水管入獄四月
page 5	黃金美匯退潮洶湧滬穗扯銷弱港金存底厚息價去七分交收萬餘兩
page 5	上海金鈔回香港申匯昇現鈔期鈔省匯未動
page 5	貢紙穩股市平
page 5	外匯掉期息提高為一角一分
page 5	短期國庫券出世期不遠
page 5	最近時期內日本五金銷港難定貨起碼一萬噸外匯只准二千元
page 5	台幣匯率一比二二九元
page 5	高雄鋁業擴展台鹽運日易貨
page 5	工業原料價格齊瀉國內和暹羅扯銷不力
page 5	原棉供應無問題年內紗廠需棉約六百萬擔存棉外購湊起來可以應付
page 5	卅二支中紡紗本月中可抵港
page 5	搶運陝棉
page 5	澳麥二萬噸不日將運華
page 5	對日貿易限制放寬
page 5	丁世祺來港轉滬
page 5	限運現鈔收效不大凍存超額僅四十九億
page 5	福州貿易的分析一
page 5	外匯牌價低僑匯逃港多廣州僑匯當局主張開放外匯吸收僑匯
page 5	卅六年僑匯統計
page 5	滬穗商情
page 5	物價動盪下游資轉移中
page 6	我參加世運足球隊出國行程稍變更英王喬治六世主持揭幕蔡惠全對全運選手較量
page 6	足球聯賽最後階段星島傑志分頭出戰七場大戰七路華軍齊上陣
page 6	足球法庭昨天審案南華場兩個球員分別儆誡端士陀怕人家罵
page 6	譚振輝的辯白
page 6	拳國三雄
page 6	昨天學籃戰績今天只賽一場
page 6	全運會記者訪新聞入場受限制
page 6	空軍運動大會昨天開幕一般成績尚佳南京獲團體總錦標
page 6	西洋拳賽非罵不可黎東芬反駁許大偉
page 6	游泳補賽兩項成績陳其松泳罷暈倒莫森蘭需要休息
page 6	四位香港學生旅英生活狀況
page 6	新加坡僑生統計五萬六千三百餘人
page 6	公開排球對抗賽今明日均有戰事
page 6	左手健將賽網球潘世安勝馬兆康羅文錦組氣力不繼另有一場出了冷門
page 6	湖南一學生發明數學公式
page 6	美撥美金三萬援助我國教師蒙旗流亡失學青年教部儘量設法救濟
page 6	全港公開籃球賽今召開代表會議
page 6	南方學院聘英人教師
page 6	浙省運會前天揭幕
page 7	開發瓊島聲浪日高軍墾區分水田旱田畜牧三部份初期經費兩千億粵省府即撥發榆林捕魚基地準備訓練漁民
page 7	捕魚分配問題引起漁民關心
page 7	新聞自由談何容易潮安兩記者失蹤其中一個傳已被幹掉
page 7	開平鶴洲被攻激戰達一晝夜
page 7	薩鎮冰壽辰壽堂之中壽翁不在陳紹寬請也請不來
page 7	爭飯碗佛山運穗木材有人武裝截擊
page 7	上海禁舞之謎限期早過禁令遲遲不來得跳且跳舞廳生意興隆
page 7	金山寺之火坐禪和尚死四人方丈急得去跳河
page 7	又一殺婢案婢女屍浮於井事出廣西賀縣
page 7	瘋漢滿嘴胡說進京競選總統
page 7	為了裁員幾乎動武曲江一場爭辯
page 7	黑熱病猛襲蘇北病人已達一百二十萬竟有全村因此死光的
page 7	龍井新茶廿萬一兩
page 7	美國在南韓的失敗
page 7	東方的愛爾蘭人對託治萬分憎恨
page 7	韓人堅持要自治
page 7	對不起不合作一個午餐的故事
page 7	政治上毫無準備霍奇空手入朝鮮
page 7	霍奇的虛偽朝鮮人並未獲得自治
page 7	美軍和韓人難建立友好關係
