page 1	社評馬來亞的陣壘拉開了
page 3	子孫滿堂老寡婦再嫁盲眼多年妙女郎學成
page 3	青年的集會國際青年會議定期舉行
page 3	和約雖未簽訂日將參加國際組織已向國際郵政聯會申請
page 4	淪陷期間租務法例本港當局正草擬中華商總會認為足以增加糾紛
page 4	干諾道中臭氣洋溢衛生當局設法改善
page 4	租務法例草案要點
page 4	宵箕灣疏散團已募得七十人
page 4	擴大啓德機場徵地酌定地價補償業主立法局明日將討論該法案地價每方呎最高定為五元
page 4	義勇軍頒獎定今日舉行
page 4	華商總會結果選舉事宜
page 4	東華新主席分訪各機關
page 4	南洋紗廠自紡自織
page 4	泳棚濫收費公眾可檢舉
page 4	發展本港工業應定共同政策岑載華昨在電台廣播
page 4	民道輪全部改裝完畢下月駛旺角線
page 4	本港反美扶日星洲復函響應
page 4	港穗澳警長會議可能在廣州舉行麥景陶認為至早須在九月間
page 4	法庭審三合會員案警長出庭供述和字組織歷史被告判無罪警方再拘捕
page 4	高院審肥婆蘇案主控陳述全案經過
page 4	藉詞搜查烟館共敲搾二百元主控官繼申述其他罪名
page 4	向麻雀館勒索在食物店講數
page 4	港九果菜工商總會舉行廿八周年紀念主席葉若林提出七項工作綱領
page 4	廣九路上地雷爆炸駐軍搜索發生遭遇戰兩地對開車昨晨誤點
page 4	中和黨不是中和堂關特夫昨抵港發表聲明
page 4	既綁票又殺人陳談金昨受審
page 4	嘉馬拉馬戲昨開始公演
page 4	法庭審啞男女啞語專家任翻譯
page 5	中央銀行宣布放寬華南匯款限額由華南匯款到滬限制也一併廢除但央行得斟酌需求隨時停止兌款
page 5	黃金市況漲跌兩難定金有利似成問題澳門到金估計四萬五千盎斯美匯卻徘徊於五點五元左右
page 5	國際局勢動盪來金價高昂四圍金價低沉港人心向好
page 5	國幣內匯由跌轉穩本港申匯買氣較前濃厚滬結匯證高價一九○萬
page 5	貨幣貶值外鈔狂升廣州貨價漫無標準商場陷入有價無市
page 5	政局動盪下星馬工商業蕭條上星洲特約通訊
page 5	六底將屆物價盤旋門售米價二千萬元棉紗普降一或二成布疋呢絨汽油軋堅
page 5	駐日商務專員報告對日貿易現狀非必需品自當嚴禁進口私人進貨值數十萬美元
page 5	金市動向尚難判斷
page 5	穗物價回椰油挺汕廈梧百物齊漲
page 5	股市沉靜成交卅三萬餘元
page 5	關鹽兩稅將加調整
page 5	游資流廈三千餘億
page 5	美製百貨落價上海產品香俏玻璃皮帶跌百分廾五
page 5	天津市場拋售糧食央行社局聯合辦理
page 5	穗市金融淡順結匯證價一○八萬各地匯率閃鑠不定
page 5	財部通令取締私營外股買賣
page 5	星洲國幣跌落僑匯生意清淡申匯低至一占三左右港幣百元值五三餘元
page 6	黑白再戰南華今晚八時開火客軍能否全勝繫於此戰
page 6	公開團體網球賽今天兩場接觸第六週賽程排定
page 6	青年會游泳場七月一日啟用
page 6	看黑白望廣州
page 6	美女泳明星破百米紀錄
page 6	假動作不宜太多別注意個人表演望南華有好的演出
page 6	全馬籃球勁旅備戰世運隊各地健兒齊集新加坡
page 6	中華校友聯歡聚餐
page 6	港教育司今視察鄉師
page 6	世界體育動態英國奧林匹克編尉譯自世界體育
page 6	星洲體育界歡送世運選手霍爾勃願為星洲爭光
page 6	日本泳將創新紀錄
page 6	京聯中止赴滬籃球友賽取消
page 6	滬中學籃球賽四強獲複賽權
page 6	國語教育會推行國語將在港九分設國語班
page 6	聖保羅同學會值理首次會議
page 7	軍方接管韶庚公路路局有異議只交出兩站其餘三站湘粵贛邊總武裝接管
page 7	東江共軍勢漸坐大揚言要新編四個團
page 7	淳廿六日寄東江共軍專要槍枝
page 7	博羅水災東潦為患
page 7	瓊島壯丁山窮水盡三千新兵集訓安定
page 7	台北通信饑饉澎湖台灣零拾之七
page 7	臭事引起誤會汕市府說不統制新聞
page 7	桂省行政區調整新增了兩個專員公署
page 7	美援用處不大應該徵財產稅何成甫表示贊成 
page 7	互相懸賞共軍跟涂思宗開玩笑
page 7	財產稅應不應該開徵滬市參議會上曾有一場激辯有的人贊成有的人極力反對
page 7	急振四邑水災振款五百億元急振團出發視察災情
page 7	韓江水退田禾被淹多成白穗
page 7	資本家有六等頭等逃外國二等逃香港
page 7	找不到老虎找了羊和狗嚴諤聲表示反對
page 7	徵收是合法的
