page 1	社評從捷克普選說起
page 3	阮文春粉墨登場越南臨時中央政府成立
page 3	狄更斯園丁前天纔死去愛丁堡公爵被裁縫品評
page 3	新郎兒子一語驚四座楊格小姐自薦嫁小兵
page 3	羅遜王的悲哀定期與丹麥郡主結婚梵蒂岡當局頒令禁止
page 3	勞工大會代表九日首途赴美
page 4	住屋建築置業計劃兩週內可開始實施將在渣甸山築屋一百九十間
page 4	週末泳場
page 4	九龍關蓮塘分卡緝私隊被路劫隊長被殺武器被搶去
page 4	選舉香港小姐辦法今天決定
page 4	滿地卡車碎片
page 4	橫門燒烤檔請准繼續營業
page 4	袁崇煥生日袁氏宗族昨紀念
page 4	閩水災振款發生糾紛翁世晃昨發表自白書
page 4	荃灣狗爬徑卡車翻下山坡車身全碎七人受傷
page 4	跌碎後的車身
page 4	端節龍舟競渡鐘聲慈善社屆時舉行得款充免費學校經費
page 4	香港電燈公司限制工廠使用電力一部廠商希望改善
page 5	最近一月中港日貿易一比四十入超三百九十五萬六千餘港元
page 5	實施新結匯辦法後豬鬃業提出三意見結匯證限期延長到一個月外匯市價今後不宜常更動打包貸款照結匯證價核放
page 5	經濟要談
page 5	台幣匯率今起調整一比三六八元
page 5	豬鬃價格上漲兩成
page 5	中信局標賣日貨毛紡界表示憤慨希望暫停標售討論持平處理
page 5	行局內匯率部分重訂正
page 5	輸入許可證限期將規定
page 5	國際糧食委會議定我國配額本年計四十二萬噸
page 5	結匯新辦法頒布後廣州市的出口貿易
page 5	穗金融市淡穩僑匯增加現鈔入鄉小額法幣視同濕柴
page 5	舊荷幣解凍後荷星市場反應良好舊荷盾尼加幣價相等荷印宮民均表示快慰
page 5	荷印物價不受影響
page 5	星洲市場無大變化
page 5	金融市場未受激動
page 5	國產桐油星市滯銷
page 5	荷星貿易未可樂觀
page 5	菜油礦產挺米麵紗布穩
page 5	平市現鈔限制外運二億以上停核
page 6	嘉山排球表演賽南華打垮了五和苦戰四局三比一分勝負南華全軍用命贏來爽脆
page 6	培根指揮有度鑑池守土立功
page 6	世運選手黃兩正再創中欄新紀錄
page 6	世運足球隊在吧城賽前試場記
page 6	世運籃球隊將赴星洲預定逗留一週比賽四場門票收入補助世運隊旅費
page 6	籃球賽印尼隊對港全運隊明晚在嘉山場接觸
page 6	世運籃球隊初度顯身手卅九比卅小勝京聯上半場曾屈居下風
page 6	滬大專運動會閉幕院專組國防醫學院獲分最多立信會計專科居女子組首席
page 6	公開籃球賽青年會大勝金銀隊乙組中華黑貓報捷
page 7	粵漢路局整頓路政護路工作分段進行用煤無問題鋼梁橋已換修完成接受美援計劃要等美專家修改穗漢改設辦事處分轄南北兩段
page 7	粵漢路不滿人意原因在因陋就簡
page 7	六十餘擔穀被人押上山單水口糧商被劫
page 7	新會一鄉民代表死於惡勢力之手
page 7	新會怪嬰由男變女
page 7	北平通信有尼姑自東北來
page 7	清遠徵兵出事一中隊長被鄉民打死
page 7	汕配米又延期十一日纔開始
page 7	澳門要分期禁賭又封閉攤館一家東方蒙特卡羅值得玩昧的事
page 7	龍山議長之死傳是自衛隊長襲殺的
page 7	同性相劫台山一少婦被搶四強徒盡是女人
page 7	邕一軍官妻子投江自殺殉夫
page 7	長沙街巷即將正名
page 7	昆明的越人反對阮文春
page 7	滇緬邊境曾有衝突
page 7	上海漢口路大火詳情黃色粉末炸掉眾發堆棧屋頂濃煙沖霄兩小時後始被撲滅死三人傷百餘人焚燬十餘處
page 7	消防司機領班腦壳都被打碎
page 7	消防隊灌救之一瞥
page 7	上海有熊貓芳齡纔半歲
page 7	上海的半歲熊貓
page 7	大貪污犯小老婆變了法官的太太天津馬甲藏寶案新發展
page 7	懷來鼠災鼠長盈尺不避貓
