page 1	社評日本開始再武裝
page 5	國家行局繳存儲存保準金比照省縣銀行辦理
page 5	滬梧兩地物價均小回穗米秀紗布互有起落汕米漲百萬餘同步升
page 6	長江後浪推前浪黃婉貞獲五十公尺冠軍打破美人魚楊秀瓊紀錄男八百接力港隊壓倒群英
page 6	多項預賽成績香港名列前茅
page 6	足球大戰如火如荼陸軍通破上海香港戰和警察上海球迷皆大過癮
page 6	誰是優勝且看得分
page 6	乒乓賽女子錦標榮歸香港
page 6	港警之戰過程緊張
page 6	男籃錦標賽菲華勝聯勤菲華球藝巧奪天工
page 6	網球單打大戰楊渭濱晉入循環週印馬穗滬四傑爭盟主男子雙打賽亦漸緊張
page 6	男子單打四強揭曉海外新星均落選
page 6	男子器機操表演成績
page 6	昨天男排惡戰警察勝上海將與香港奪錦標
page 6	世運隊在暹第二戰和青年隊經過天雨場滑球證偏袒應罰觀眾不滿
page 6	女子標槍決賽台灣張瑞妍得冠軍
page 6	男女壘球四場戰果
page 6	男子摔角決賽昨天各場結果
page 6	老惠歸鴻第三函
page 7	汕市提前於月底配糧當局趕辦各項準備工作市民領戶口證非錢莫辦
page 7	澳門大群酒店司理之女自殺從六層樓上跳下
page 7	曲江大盜藍澤被一跛子打死
page 7	海南礦務局一日已成立聘有日人充任顧問
page 7	粵漢南段交通阻滯橋梁枕木因雨捐壞
page 7	百姓自己沒鞋還要募鞋勞軍惠陽人民一件苦事
page 7	南洋瓊島僑胞請政府緩徵兵
page 7	另一萬里輪的悲劇在河源虎頭崗爆炸沉沒乘客跳水逃生死傷甚眾
page 7	佛門弟子作縣宮歸田之後再出仕林森縣長一段曲折經歷娶有兩個妻子都是姓陳其一之死有人傳係被殺
page 7	初識陳徵萱在北平訂婚
page 7	海口修械廠槍械被劫奪
page 7	邵陽怪事蝦蟆結隊遊行居民打醮祈禳
page 7	由北平飛到閩侯陳徵萱與管完婚
page 7	不願做新兵寧可跳樓死海口可哀的事
page 7	房屋義賣獎券海口也將發行
