page 1	社評論以色列之謎
page 5	票據交換變態退票驚人紀錄退票金額三萬一千餘億
page 5	滬糧食人絲回粉布升穗米麵布疋落棉紗挺汕米跌麵漲紗布參差
page 5	便利外貨進口的關稅減讓表細目續昨日本版
page 5	林五公司等三家送特種刑庭審判最高當局電令警局辦理
page 6	出席世運籃球代表初選名單正式宣布田徑游泳兩項決定四人參加
page 6	參加世運單位總數已達五十九國足球大軍廿日抵星洲
page 6	最後一批選手昨乘機返港包括足球網球員乒乓皇後也在內
page 6	當前童軍訓練問題上
page 6	梁玉傑客氣一番
page 6	青年會今晚頒獎大會青年會主辦之書法
page 6	全港公開籃球賽廿六日恢復美艦隊中途退出
page 6	公開籃球比賽日程
page 6	本報滬館再設茶會招待華僑選手王總編緝致歡迎詞賓主歡聚一團和氣
page 6	沈昆南席上盛讚華僑運動道德好僑胞的控訴祖國對他們不關懷
page 6	英殖民部撥出學額利便參加實地研究
page 6	菲島黑白籃球隊下月經港返菲預定在港比賽三場
page 6	華僑都卻步裁判不公平
page 7	澳門當局助我緝私中澳關務協定簽字澳方完成立法程序五日後生效我方簽字代表為總稅務司李度
page 7	白米飯變粥粥又攙清水儋縣地院院長夫妻尅扣囚糧被提公訴
page 7	英十六日寄南海追龍黨由乞丐們組成專打賭徒主意
page 7	江門銀號被抓人十六名全獲保釋
page 7	這瘋狂的世界湖南寧鄉一件怪事祖孫三代同時發瘋
page 7	重建風景分為八期來修
page 7	伏波勝境闢河濱公園
page 7	桂林山水近貌
page 7	新雙包案一個保警隊長缺委了同個人來做
page 7	難覓相思子家家種桂花
page 7	寄自桂林新興東城墟被千餘人攻陷
page 7	中正橋沒錢修
page 7	美國商人搞不好駱駝祥子
