page 1	國慶夜再走出金水橋毛主席席地而坐同百萬羣眾聯歡並與劉少奇董必武周恩來等在天安門同看焰火
page 7	欖鎮同鄉會下月初旅行
page 7	港九街坊會籌祝街坊節
page 7	白喉預防注射隊今起到沙田工作
page 7	鄉民赴英國工作申請辦法有改善據說非香港出生亦可申請
page 7	反對大香港政制西貢決定支持荃灣鄉議局昨天亦開會研討
page 7	四警涉嫌收規昨分兩案繼續審訊
page 7	土瓜灣朗月街明開放單行車
page 7	十一萬兒童打了白喉針
page 7	東區婦會西菜班增設新班招學員
page 7	夏令時間十六結束
page 7	大阪經濟考察團經港到我國訪問
page 7	佔世界人口百分之九十以上的人民都站在我們這一邊我們決不會孤立
page 7	毛主席是當代最偉大的馬克思列寧主義者
page 7	新中國已成為一切革命人民仰望的中心
page 7	新聞界歡祝國慶孟秋江在大會上的講話
page 7	我國的國民經濟正在出現新的全面躍進的局面
page 7	毛澤東思想威力所向人變地變村莊變一切都變
page 10	國產秋冬女裝轉暢薄身套裝短褸連日銷出較多睡衣與恤衫個別花式已銷清
page 10	遠東棉織貨品西德要減輸入針織業會發起限制運動港商現正注意此事發展
page 10	龍門草菇今天開盤
page 10	廠商訂棉花上月兩萬包多為十一月後付船
page 10	食米市突活躍大盤成交一萬八千多包泰米部分成價繼續上漲商人申請輸入內地米轉多
page 10	桂林馬蹄粉登場
page 10	星膠市呆企
page 10	菲對外貿易上半年出超
page 10	股價多數堅挺不少已漲至未跌前價位置地黃埔回跌交投未達百萬元
page 10	濃香生油今到一批
page 10	星商購蘋果白梨昨扯去共四千件大連鴨梨首批昨日上市
page 10	金鈔均順
page 10	馬匯買賣價改低
page 10	銀根緊匯水跌印尼來單又轉疏布疋新單均訂下兩月貨
page 10	電器輸出值今年增幅大
page 12	第三周足球聯賽最後一場警察花墟撼東昇東昇前鋒凌厲警察後衛受考驗
page 12	金禧杯賽首輪淘汰秩序排定廿三日開幕南愉流警輪空首輪四仗星巴一戰最可觀
page 12	星島贏到笑東方輸到仆十一比一皆為星島所射
page 12	南愉球票甚搶手六日起公開預售
page 12	元東火氣大被罰次數多元朗勝在老練淨贏兩球
page 12	戰馬華港選陣容足總昨選拔產生
page 12	籃聯執委會六日有會議
page 12	戰果正常的一周由本周已賽五仗談到今戰
page 12	南華後勁了得前日先負後勝九巴愉園流浪同日分挫港會陸軍
page 12	中青港池對消防昨日水球賽陸軍大勝海天
page 14	台灣青年不願當兵蔣幫施以恐怖控制
