page 1	社評遠東經濟委會第三次會議
page 3	遠東經濟會議印尼參加問題引起爭執
page 3	英國首相首次看賽馬帝俄皇室死剩一個人
page 3	甘地暗殺案疑犯受優待東條判決書譯員被看管
page 4	華商會訟案公審雙方律師舌劍唇槍精彩百出原告被告靜坐兩旁或打瞌睡今日上午繼續審訊
page 4	改選投票今天開始定本月八日為開票日期還有五分二人未領選票
page 4	英婦女時裝表演會昨在天台花園舉行莊重高貴態度各有不同女賓之外還有男賓到會
page 4	筲箕灣填海工程工務局派人再測
page 4	般含道謀殺案續審陳淑馨黃建家出庭作供
page 4	海濱服時裝表演
page 4	因為接贓遞解出境
page 4	下體藏金案判決黃金百餘條判全部充公每人入獄五月或罰款四千元
page 4	晚禮服時裝表演
page 4	英國人看香港問題倫敦泰晤士報特約通訊員著文論述我政府對港意向
page 4	中華廠商聯會決定續請限制日貨傾銷全體會員工廠統一售貨合同
page 4	八路巴士被劫情形售票員昨出庭供述
page 4	時髦少婦真大膽荔枝簍內帶煙泥
page 4	疑匪劉榮墮樓案法庭認為死於意外
page 4	偽製輔幣疑犯三人否認串同欺騙政府證供未畢押候今晨再審
page 4	嶺南畫家六人下週聯合畫展由廣東省民教館主持明天在大華飯店預展
page 4	債務法例首讀後港九商人感焦灼九龍總商會明天開會討論
page 4	宣誓時亂說一通一罪外再加兩罪
page 4	隨便倒垃圾十餘人被扣
page 4	王德仁非禮疑案定九日宣判
page 4	貧病交加男子黃新之自殺未遂
page 5	金融市場獲悉英財相聲明後英鎊悲觀氣氛濃厚美匯美鈔買賣頻繁價格不斷步漲並影響金價盤升
page 5	美匯美鈔堅挺原因對日貿易英鎊結匯香港除外香港黑市美匯需求更加增大
page 5	結匯證明書跌價出口貿易無起色由卅五萬到卅六萬成交少又乏人購買
page 5	英鎊外價低美元內價落
page 5	結匯新辦法影響下港進出口貨多有行無市桐油菜油一致喊低五金洋紙辦貨稀少
page 5	日本棉織品每月產六百萬方碼只有三分之一出口
page 5	澳金去息三毫港金價格轉落
page 5	粵省僑匯一百億元四五兩月相等
page 5	黃金續挺升實際潛伏下降因素
page 5	輸管會發表五月份出口外匯收入共計一億六千餘萬美元上海最多台灣津穗次之
page 5	四月份全國貿易入超二萬五千億較三月減少四千五百億
page 5	國幣內匯落游資再度外逃申匯賣家仍湧
page 5	英財相宣布本年首六月入超估少七千三百萬鎊年底無法平衡貿易
page 5	滬物價一致上升穗椰油紗漲布跌海口金鈔物價挺
page 5	南京傳出消息貨幣改革勢在必行發行基金美國貸款新幣分硬幣與紙幣二種銀幣一元合美元四分一
page 5	穗申匯跌破平算丁世祺兼金管局長高方調漢口金管局
page 5	加拿大減少對英信用貸款英應以現金交換加貨物
page 5	穗商檢局發表五月份出口商檢統計桂皮桐油豆類增加蛋類豬鬃較前減少
page 6	域多利游泳預賽丹麥健將顯身手明夕舉行水藝大會中西對抗短期實現
page 6	世運隊訪問記
page 6	應該舉辦一個東亞運動會
page 6	上海醞釀籃球大戰世運選手對聯合隊
page 6	團體網球賽中華乙喪師九龍西洋均奏捷
page 6	美國網球巨星下
page 6	粵穗選手團總幹事郭經綸返穗短期召開結束會議黑白赴穗將成事實
page 6	菲律賓參加世運決定選手廿四人籃球隊希望最濃厚
page 6	為干涉僑校謠言事國民黨總支部聲明
page 6	國際東方學者大會下在法舉行
page 6	同濟中學復校紀念
page 6	台省體育會商談全運舉行問題
page 6	中山大學校友今夕歡迎吳康
page 6	中健會籌辦乒乓賽投籃比賽同時舉行
page 6	台北橄欖球隊八比六勝英艦
page 6	中山大學學潮實習費問題未獲解決工院生宣言長期罷課
page 6	陳英郎抵京受訓
page 6	夏令杯球賽隊字勝健字
page 7	一條褲帶引起大打湛江囚犯戰於獄中以鐵釘為武器兩人受傷獄中囚徒多為警局及稅處中人
page 7	澳門捕獲一巨竊飛天老虎落網
page 7	地方雖小徵募可多石龍商民疲於應命
page 7	興寧縣境內煙土走私多
page 7	弄假成真叉傷秦檜桂林一戲院驚險場面
page 7	西安通信煩噪的西京畢業生請續留校黑香蕉百萬一斤
page 7	湘省水風災二十二市縣受害
page 7	令人顫慄的人性廈門一個落海工人強姦一歲多的女孩
page 7	若非出賣人民利益議會何事不可公開魯省參議會招待王耀武拒絕記者採訪引起糾紛
page 7	邵陽之匪殺人烙傷之後砍死
page 7	洋場石翁仲膜拜的人多滬警局要求拆掉
page 7	小鈔堆滿一屋幾天都點不完成都收稅一小插曲
page 7	愁鹽愁米無心進修汕頭市長尊重公意答應屬員提前發薪
page 7	傳輔仁大學將南遷安慶
