page 1	社評工會與政治紀念國際勞工節
page 5	滬金穩盤澳金落價穗金轉軟
page 5	黃金萬餘兩新舊貨難定
page 5	閩省重視糧食增產
page 5	昨日黃金大量拋出交收幾達九千兩之多
page 5	美匯低跌內匯落期鈔現鈔又步降近來英鎊國際市價穩定
page 5	西藥新貨到市價即下瀉史特杜邁仙等慘跌
page 5	世界糖荒之檢討二
page 5	股市穩挺成交增進
page 5	配米沖銷漲勢近徵跌一二元第二期配米一萬包
page 5	米價領先一日數漲
page 5	工商百業蕭條洋米源源運到
page 5	米油漲風領導下福州物價掀起狂潮來源稀少實銷旺盛高價競購
page 5	食油跟蹤一躍五成
page 5	百物漲勢普遍澎湃
page 5	黃金上揚破四千萬
page 5	四大原因
page 5	華南貿易漸出超走私情形已減少一月出超七百多萬港幣
page 5	穗桐茶油漲紙張布落汕金鈔匯瀉米麵油揚
page 5	投機心理微妙表演動作精采
page 5	影響港布業兩事外地布疋冒充港製日布出口英鎊結匯織布商公會籌商對策
page 5	商人神經質港滬沒兩樣
page 5	輸入貨品無須結匯行政院另有規定
page 6	勝利盾最後決戰華聯軍聯四次交鋒下午四時半在銅鑼灣開火採八十分鍾賽制戰和加時
page 6	是全運隊的試金石且看錦標落在誰家
page 6	公開籃球賽今明日賽程
page 6	暹華選手昨抵港逗留一宵定今晨飛滬排球隊因事未能出發
page 6	公開排球賽最後一幕
page 6	私立學校按月收費以後的檢討中
page 6	昨天網球爭奪戰徐家兄弟獲決賽權使用軟硬兼施的戰略兩羅欠經驗卒遭慘敗
page 6	今天第五次特別賽馬各場成績預測下午一時半首次嗚鍾
page 6	西拳比賽明晚舉行
page 6	馬華選手第二批昨天過港轉滬第三四五批繼續飛港舉重選手成績最優良
page 6	港區乒乓選手三日起程飛滬
page 6	英童書院昨天改名港督夫婦臨場頒獎
page 6	世運足球選手昨午踏上征途
page 6	粵穗全運選手名單續公布第三批選手昨登程
page 6	今夕高級學籃賽保羅皇仁有劇爭
page 6	南華主辦學排賽會本月九日止截報名
page 6	真光中學舉行運動日
page 7	韶關練兵基地擇定用美式方法造新型幹部首期已開學調訓四百人
page 7	鬱南在動盪中富紳數人聯合起事攻入桂墟開倉散糧西江各縣不安梧州急戒備
page 7	萬里輪的故事百餘軍人被留共區受訓一個乞丐因禍得發橫財
page 7	旅客到了上海曾受嚴格檢查
page 7	共區政府義務供膳宿
page 7	訓話討論十五天便過去了
page 7	新會徵兵糾紛數十人包圍鄉公所武力搶回中籤壯丁
page 7	旅客之中有人發財有一乞丐鈔票滿身
page 7	桃色新聞產生了不少
page 7	先生學生戀愛一男兩女私奔
page 7	湘省兩報被搗毀邵陽一晚報開罪了汽車司機長沙光華報請警局抓人惹禍
page 7	有獎傳單慶祝總統就職台省積極準備
page 7	武裝單幫在粵漢北段活動
