page 1	美援與西歐經濟新機構
page 6	神仙杯球賽友字獲冠軍
page 6	順德義學增推校董
page 6	武大救濟清寒學生決定成立輔助委會
page 6	足球總會今開月會
page 7	高要雲浮一帶苦旱新江水淺船隻來往困難農民救旱之餘還要防潦
page 7	三啞姻緣啞男啞女結婚媒人也是啞子
page 7	韶關邊境出現共軍粵漢路上戒備加強
page 7	廈大學生墾荒罷課兩日聲援北平學生
page 7	禁令自是具文廈門仍可跳舞地下舞廳舞客互毆
page 7	誓反盟共帶罪立功粵四區清剿部規定自新部隊必須如此
page 7	遷江發現煤田
page 7	南雄一少婦利剪殺親夫
page 7	人類的喜劇全縣婦女警察之爭三八節要警局佈置會場警局不理會竟沒有開成
page 7	澳門新會加緊護航
page 7	美國人替廣西幫忙撥物資助鬱林建設
page 7	東莞賭場只用港紙和稅金
page 7	新化銻鑛國營資委會設立工程處即將收購私人鑛權全部資金定為百億
page 7	故都兩股洪流西城是學生群請願東城有信士們進香
page 7	海鹽怪火天寧寺鎮海塔被燒
page 7	綏靖忽成救濟換個名目要錢鄂省府接受省參會建議
page 7	鄂省一偽廳長黃大中病死獄中
page 7	潮汕怪事多稻田間青蛙互鬥每次均陳屍數百
page 7	澄海狼吃人
page 7	與其做傀儡夫人不如自己謀生活
page 7	我們要來一個金融獨立運動
page 7	蘇聯的新式潛艇
page 7	定風猴東莞鄉人捕獲一頭
