page 1	社評為四邑災民呼籲並談談今天的地方政治
page 6	世運隊技藝進步三比零打垮馬華重返星洲後首仗紀錄
page 6	公開團體網球賽今天男女組六場
page 6	生理學研究班明天在京開學
page 6	上海酷熱下賽籃球世運隊再勝恩卡斯五十比四六緊張不及上次今日奪獎海軍之戰已取消
page 6	黑白征港全捷昨晚小勝南華
page 6	傑志赴澳作籌款賽
page 6	郝更生返滬後前日招待記者世運團經費有著落亞洲體育會籌組中
page 6	江蘇醫學院院長胡定安今日赴美
page 6	金陵大學前日舉行五十三屆畢業典禮
page 6	朝鮮世運隊二日抵港
page 6	星洲元老足球賽中國勝英軍世運隊在星多賽三場七月九日飛加爾各答
page 6	瀋陽中正大學奉令遷平四百學生血書陳情
page 6	全國教育會議十月在京舉行三千美元贈款分配教育學會經已擬定
page 6	菲捧球隊昨天過港
page 6	嶺東中學籌設高中
page 6	大夏大學期考停止廿九日起放暑假
page 7	閩粵邊區米彈戰術防止青年貧民投奔共軍利用祖嘗獎學並辦族振 
page 7	樂助嗎大埔縣府收樂助稅向過境船隻打主意
page 7	港報銷汕竟受阻撓汕頭報界想加限制
page 7	汕設海軍巡防處轄區北起詔安南達大亞灣專責對付海盜並協助緝私
page 7	大火纔十天又遭大水神州水退後謠言滿城倒塌房屋盈萬災民逾五萬戶
page 7	澳門自殺案多按摩女郎跳海
page 7	水是退了米價卻漲
page 7	我們不是楊妹教師要餓死了滬私小教師向教局請願雨中圍坐教局門前過夜
page 7	局長未見代表
page 7	代表聲淚俱下局長未允所請
page 7	局長責問代表
page 7	洪水入屋街上行舟
