page 1	東西兩大集團的經濟鬥爭
page 4	沙頭角豎界我決定十五日派員辦理英方人員到時會同前往
page 4	發展紡織業當局協助購買小型機器紡織機一批已由日運港
page 4	桂海輪修理竣事
page 4	魚市場案改今天續審
page 4	三院護士學校定期舉行畢業禮
page 4	央航闢京港線由京來港旅客須檢疫
page 4	偷竊鋸肉被人查出
page 4	雙重生活即將運港放映
page 4	冒名提款案一申行出入口莊損失二萬餘元離職夥伴被控罪名二十項
page 4	天不下雨人造雨菲島將運亁冰來
page 4	劉湛恩逝世十周年六國飯店昨有集會紀念
page 5	申匯跌百分之十二上海金鈔一致報升廣州港幣價昂省匯同趨下跌
page 5	楊津生抵穗商對日貿易
page 5	香港貿易趨勢轉變洋行群趨輸出本港工業品
page 5	局部開放外匯短期內不致實施
page 5	促進中英貿易
page 5	台幣匯率一比二一○元
page 5	放鬆五金出口禁令確否尚待證實
page 5	銀根鬆濫外匯調整證券遞交停止後物價全面猛漲
page 5	西商會主席檢討馬來亞商業星馬貿易總值三億一千萬鎊
page 6	王正廷在體協招待席上祝世運隊旗開得勝體育要具有團體性個人英雄主義應該打倒有了體育精神中國一定可以轉弱為強
page 6	百公尺游泳選拔賽劉帝炳破全國紀錄今晚續在中青舉行試賽
page 6	浪裏白條劉帝炳
page 6	網球賽昨天戰績今天賽程
page 6	星島巴士分頭出戰今天甲組聯賽兩場
page 6	馬華參加全運月底動程返國
page 6	今年的世界運動會中
page 6	廈大新生分兩區招考馬尼刺和新加坡
page 6	我世運足球選手將戰馬來聯隊新加坡排定賽程
page 6	港督葛量洪講述香港大學的將來復校籌委會謀按步發展四年後可恢復戰前狀態
page 6	培養世運選手體力可獲食糧額外供應
page 7	汕頭海外一宗慘事二十餘人葬身碧波福安輪載重逾額兩倍在紅羅淺被巨浪擊沉江門北街翻車死傷十二人
page 7	瓊島國軍全面搜擊空軍即將飛往助戰
page 7	海口肉價一漲三倍瓊島解除禁豬出口令
page 7	活埋髮妻安陽縣長被控行兇
page 7	開平將戒嚴警局已擬訂戒嚴辦法
page 7	要去太原自帶糧食
page 7	海口祭海瑞盛況如黃花節
page 7	海南苦旱民食堪憂榆林三亞一帶最甚
page 7	鄧錫候進京一幕突奉蔣主席電召莫明究竟扶病飛京之後便以辭職聞
page 7	江門市區不靖劫案一日三起
page 7	北平兇殺案案情漸白可能是謀財偵緝隊長斷定非勒斃孔家密友白連城被捕
page 7	中山催徵人員又有一個被殺
page 7	校長自領公文不領不發經費重慶教育新辦法
page 7	湘潭宵禁午夜以後禁通行
page 7	兵戈擾攘文物凋零故都古建築橫被糟塌許多名蹟都已經毀壞得不成樣子胡適等上書北平行轅請加意保護
page 7	廈門米價大漲與偷運來港有關
page 7	范旭東紀念塑像劉開渠最近造成二尊
page 7	理髮一次美金十元
page 7	為了地中海的軍事地位也為了石油福勒斯特爾戰勝了馬歇爾美國改變巴勒斯坦分治計劃的內幕
page 7	美國的私心為了和蘇聯鬥爭怕得罪阿刺伯人
page 7	第二計猶太擴軍
page 7	華萊士競選的初步勝利對美國競選整個形勢的影響
