page 1	"社評杜魯門與民主黨大會"
page 4	"本港出入口商有經營日貨者反扶日工業會中有人指出"
page 4	"中港協定未決問題是因我政府請修改"
page 4	"餽送朱古力糖一盒內有毒質是誰放的"
page 4	"用丈夫月季票被罰了四十元"
page 4	"工商出品展覽廠商熱烈參加"
page 5	"仰光國幣匯率每百萬升到二盾黃金市價每拔突漲至一五○盾星洲申匯每十萬降為八至九占"
page 5	"黃金美匯市勢穩升成本價轉高來途又有問題賣家見利脫手市成一面倒"
page 5	"人心向好市場盛旺"
page 5	"穗金鈔漲申匯改按直兌價計"
page 5	"拱北關公布進口郵包稅額提高免徵限度"
page 5	"星洲半年來的商業下"
page 5	"股市仍淡成交四十萬餘元"
page 5	"西藥行市多告回升"
page 5	"滬米價叩三千萬澳黃金國幣價跌汕頭金鈔百物降廈金鈔物價回漲梧桂百貨再上揚"
page 5	"國幣內匯全面再降申省兩匯創新低價期鈔市勢仍稱穩盤"
page 5	"日貨大量到星造成戰後高峰搪瓷銻鍋日用品等多種"
page 5	"玻璃器皿英貨退却"
page 5	"穗結匯證提至一九八萬照滬方證價減百分之十結匯牌價出稍增入略減"
page 5	"台弊匯率昨再提高一比九五二元"
page 5	"陶搪瓷器國貨難敵"
page 5	"玻璃器皿英貨退卻"
page 5	"輕量銻鍋較歐貨廉"
page 5	"其他用具應有盡有"
page 5	"星製膠品深受排擠"
page 6	"南開大學"
page 6	"老惠歸鴻"
page 6	"足球總會昨開同人大會黃家駿獲多票重膺主席足球聯會修章提案竟遭否決華聯隊挑選權仍操總會之手"
page 6	"羅文錦報告一年會務改建足球場案交由下屆執委會解決港滬港菲兩埠際賽明春決派隊報聘"
page 6	"本年總會盈餘二萬六千餘元"
page 6	"世運足球隊在星勝華巫聯隊經過二比零演出很平淡"
page 6	"團體網球聯賽本週賽程編定今天兩場將有劇戰"
page 6	"國際慈善游泳參加健兒選定"
page 6	"老惠歸鴻第十五函"
page 6	"台參通過歡迎全運在台舉行"
page 6	"世運足球隊抵加爾各答"
page 7	"海南水電廠被圍恐怕要完全停頓輸電路八十公里全被破壞交通給養甚困難或將不保"
page 7	"貴州不用女職員谷正倫要各機關照辦省參議會雖表示反對保安部却首先實行了"
page 7	"自衛經費數鉅難籌省縣各級均感頭痛下半年中央不補助省省也無力補助縣都要在田賦附加了"
page 7	"款料兩缺入不敷出粵漢鐵路困難重重杜鎮遠昨在穗召開會議討論防止破路活動辦法"
page 7	"廣韶西線公路工程開展迅速"
page 7	"月入兩億增城縣府會計主任以貪污案被扣訊辦"
page 7	"廣州特種刑庭十六正式成立沙面事件嫌疑犯二十九人將先審理"
page 7	"延交水災振款省參議員高深屢遭指責新會參會請他引咎辭職"
page 7	"惠陽治安壞田賦徵收難"
page 7	"保警下鄉父老輩袍褂相迎壯丁們逃避一空"
page 7	"海南水電廠被圍恐怕要完全停頓輸電八十公里全被破壞交通給養甚困難或將不保"
page 7	"早造有蟲害河源糧價上漲不已"
page 7	"海關加強查緝粵港走私略減"
page 7	"薪津有着省級人員六月份薪照五十五萬倍發給"
page 7	"水災振款六百億分別配發各縣市"
page 7	"販賣兒童汕頭一艘電輪上查出三十九小孩"
page 7	"桂十二縣鬧水災振款過少無濟於事省府轉請中央撥款"
page 7	"貴州不用女職員谷正倫要各機關照辦省參議會雖表示反對保安中却首先實行了"
page 7	"衡陽怪蛋"
page 7	"寕鄉異事一室萬蛇"
