page 1	社評民主要表裏一至論泰勒的犯罪壯舉
page 3	鑾披汶上台後暹人猛烈排華政府與反動社團互相呼應誣衊我僑胞主張禁止入境
page 3	越南三圻條件談妥傀儡政府月內成立並要組特別機構與法談判
page 4	警察終日搜索白黎英軍出動砲隊協助地面廣闊尚未發現賊蹤警務處長說明海盜來歷
page 4	蓄犬者須知
page 4	九龍雜貨商會通告會員拒售鷹嘜煉奶
page 4	海蜂特務隊昨日審結一被千釋放
page 4	新機場計畫中啟德機場可能標賣改成華麗的住宅區
page 4	偽造毫票案初審昨終結
page 4	海軍船塢協進會主席麥耀全今日受審十九工會代表將去旁聽
page 4	華商總會十日開幹事值理會議
page 4	鍾德光上訴高庭判無罪
page 4	殺司機兩犯昨日判死刑
page 4	英國廢除死刑將影響殖民地
page 4	五盜行劫連搶兩家
page 4	劫萬福士嫌犯兩人被認出
page 4	我國駐暹大使謝寶樵昨日抵港港九各僑團茶會招待
page 4	本港工商界發表意見書指責美國扶植日本望中英政府採自立政策
page 4	議員選舉結果公布港督任命兩非官守議員第一位女候選 人未當選
page 4	本港的消費雪糕每日四千五百加侖香煙三月八十八萬多磅
page 4	無照女醫代人墮胎法庭昨審結
page 4	鋤奸團寫信勒索要詐李洪伙食費萬元二人被捕搜出偽造手令
page 4	新任穀米統制局長中文譯名是李殿臣
page 5	香港織造業多減產東南亞市場需求低落中日的布疋競爭劇烈
page 5	日布十萬碼將到港
page 5	中央銀行公布輸入結匯新辦法照核准額半數折國幣存央行憑存款收據領取輸入許可證
page 5	外匯更張短期難決霍寶樹晉京商談
page 5	內匯攜現限制取銷與否未定中港擬控制國幣市場
page 5	金鈔內匯創新低價黃金先落後回國幣跌後小穩
page 5	論收購出口物資
page 5	緬甸歡迎我棉紗生絲經濟部轉知有關廠商
page 5	樹膠椰油暢銷韓國
page 5	由港轉運可獲厚利
page 5	四聯理事會改訂存款計息起點
page 5	滬金尾市突瀉每兩回到五千五百萬
page 5	傳說黃金到港來價四三美元
page 5	股市恍惚
page 5	高利影響由低轉堅
page 5	汕頭定期計口配糧
page 5	台幣匯率一比三百
page 5	滬米麵穩紗布上漲穗糧食錫鬃紗堅挺汕梧海口物價齊升
page 6	全運會第三天節目田徑決賽多項冒雨完成女子跳高演出全場生色男子組台灣得分扶搖直上
page 6	百十公尺高欄決賽馬來黃兩正獲第一
page 6	千五公尺接力台灣隊獲冠軍
page 6	千五公尺決賽空軍代表破大會紀錄
page 6	劉夢九夢想不到
page 6	低欄複賽兩組成績王樂義保持優越紀錄
page 6	第三日足球賽香港勝海軍浙江對空軍之戰發生不愉快事件
page 6	男四百公尺複賽兩組台灣佔鰲頭
page 6	香港贏來吃力海軍提出抗議
page 6	昨天籃球次賽結果上海勝廣東聯勤贏香港潘陽苦戰僅勝南京
page 6	馬華上海先後告捷
page 6	網球初賽無大精彩上午男子單打賽八場葉觀雄勝聯勤徐乃放徐潤培勝空軍夏功權
page 6	天津及空軍勝江蘇貴州
page 6	乒乓球初角逐男女兩組成績
page 6	世運隊在菲第五戰重創長勝軍昨乘機飛曼谷
page 6	張金海今飛滬加入陸軍參加全運馮景祥行止仍未定
page 6	舉重昨繼續舉行馬華得第一首名成績二三０斤
page 6	學界初級賽季軍爭奪戰
page 6	拳擊比賽許大偉勝黔選手黎東芬對手棄權
page 7	嶺東饑民湧到高雄台灣當局想送他們回去他們表示寧跳海不還鄉
page 7	羅定降冰雹其大如排球
page 7	王陵基表示決以硬治川
page 7	儋縣一鄉長攔路劫搶再審後處徒刑十二年
page 7	徵兵不足只好募兵瓊山縣府新辦法
page 7	韶關修築機場
page 7	屠稅增加之後韶市罷屠兩日
page 7	潮汕人價大跌幾十萬元便可買一女孩志願兵供過於求也跌價
page 7	南川有人囤積壯丁
