page 1	"社評西歐國家應該促成四強會議"
page 6	"遠東摔角兩選手獲勝希望很濃厚"
page 6	"我籃球隊今日戰比國李世僑昨日抵倫敦菲律賓擊敗朝鮮隊"
page 7	"南路幹線即可通車電白水東段土方將修竣陽江電白段正招商行車"
page 7	"穗市下半年總預算編就收支相差四千六百多億市參議會準備在日內開會研討"
page 7	"省保安部昨成立將在各縣籌設軍民合作站並派員督導民眾組訓工作"
page 7	"各江水都漲七夕水可慮廣州雲低霧重雨意濃"
page 7	"省府轉令各縣防範搶米風潮"
page 7	"各縣賦額已核定省府不發表怕起爭執"
page 7	"工人生活苦穗被服廠工人工資僅夠日買兩根油條"
page 7	"兩稅局合併裁員八十餘人"
page 7	"控告縣長應該注意不許隨便組織團體省府訂定補充注意四項"
page 7	"軍政聯席會議綏署今天舉行"
page 7	"狗牙洞支線工程未展開因為經費無着落"
page 7	"改進廣九路行車速率特別快車只走四點鍾改進辦法由下月一日起實行"
page 7	"廣州麻將聲越來越響了大酒家皆設特別室賭客們全都使港幣"
page 7	"一五四旅擴編為師溫淑侮奉調任師長"
page 7	"南洋煙草公司會計員被勒索穗警局捉住兩歹徒"
page 7	"陳述經書面聲明答覆汕議員警告"
page 7	"炮火聲中的繁華太原人得過且過拍賣衣物盡情享樂影院客滿暗娼日多"
page 7	"蔣總統視察太原帶去了大批水果閻錫山把它們轉送榮譽官兵"
page 7	"南平大火燬屋二百多棟"
page 7	"天堂醉女橫臥路中"
page 7	"黔省望謨一度陷落"
page 7	"省銀行好象掉在水裏問題全在怎樣游過去桂財政廳長答覆議員質詢省參議會追究桂中白金杯"
page 7	"莫樹杰談話桂北有隱憂"
page 7	"閩贛鐵路路線初定由廈門經福州到上饒全長三百三十多公里"
page 7	"汪逆之子假釋出獄"
page 7	"台北通信槍決高萬？台灣零拾之十二"
page 7	"桂開始實行限田預定在年底辦完"
page 7	"被罵貪吃氣憤而死"
page 7	"大鈔發行前重慶鬧鈔荒本票滿天飛商民叫苦中央印製廠重在渝印鈔"
page 7	"印鈔機構決定恢復不堪虧累飯舘關門"
page 7	"山崩地裂嘯聲震天川省忠縣近事"
